DateTime,AddedIPs,RemovedIPs
1536019548,2,3
1536023149,1,1
1536026748,2,2
1536030354,0,2
1536033924,0,1
1536037535,3,1
1536041133,1,1
1536044716,1,2
1536048336,1,1
1536051927,1,1
1536055535,1,1
1536059155,2,1
1536062726,2,2
1536066347,2,5
1536069939,4,1
1536073562,1,2
1536077139,1,2
1536080746,2,1
1536084343,0,2
1536087940,2,1
1536091538,1,1
1536095161,1,1
1536098738,0,1
1536102341,2,1
1536105961,2,4
1536109541,4,1
1536113149,2,0
1536116739,2,2
1536120357,1,1
1536123957,1,5
1536127528,4,3
1536131138,1,1
1536134730,2,1
1536138346,2,2
1536141954,2,2
1536145551,1,1
1536149140,1,2
1536152741,3,2
1536156332,1,1
1536159939,2,0
1536167161,0,1
1536170745,2,4
1536174349,3,2
1536177937,0,2
1536181542,1,0
1536185137,1,1
1536188727,2,1
1536192349,1,1
1536195934,1,0
1536199541,3,3
1536203129,3,2
1536206741,1,2
1536210325,3,2
1536213927,2,3
1536217540,2,0
1536221135,1,3
1536224750,1,1
1536228349,1,4
1536231926,3,1
1536235548,2,1
1536239121,5,3
1536242749,3,0
1536246344,1,2
1536249926,2,3
1536253540,1,6
1536257125,4,1
1536260737,3,1
1536264328,2,2
1536267943,3,2
1536271539,0,1
1536275145,1,3
1536278768,1,2
1536282347,4,1
1536285923,2,2
1536289556,3,3
1536293143,2,1
1536296724,3,4
1536300339,2,3
1536303929,2,1
1536307543,1,3
1536311143,0,4
1536314731,5,2
1536318357,1,2
1536321944,2,3
1536325530,3,1
1536329137,4,1
1536332743,2,1
1536336334,2,3
1536339938,1,2
1536343533,2,4
1536347131,3,2
1536350736,2,1
1536354351,1,2
1536357943,2,1
1536361550,0,3
1536365151,3,1
1536368756,1,2
1536372352,2,0
1536375936,2,1
1536379546,1,4
1536383163,1,0
1536386762,1,2
1536390330,2,1
1536393943,2,1
1536401170,1,2
1536404749,2,2
1536408366,1,3
1536411955,2,4
1536415555,4,1
1536419154,1,3
1536422745,3,1
1536426340,3,1
1536429930,1,3
1536433537,1,1
1536437144,1,0
1536440753,0,2
1536444355,2,2
1536447927,4,3
1536451560,3,0
1536455139,1,0
1536458745,2,1
1536462324,2,2
1536465934,1,2
1536469532,0,3
1536473139,0,2
1536476747,2,1
1536480335,2,0
1536483923,2,2
1536487527,1,2
1536491137,2,1
1536494741,1,1
1536498340,0,1
1536501955,0,3
1536505541,2,2
1536509139,3,2
1536512729,3,4
1536516316,3,0
1536519930,3,1
1536523536,0,2
1536527151,0,2
1536530717,2,2
1536534345,4,2
1536537975,1,2
1536541526,1,0
1536545140,3,3
1536548761,2,2
1536552333,1,0
1536555943,1,0
1536559536,3,2
1536563143,2,3
1536566736,4,3
1536570344,2,2
1536573936,1,1
1536577545,3,4
1536581150,3,3
1536584725,1,2
1536588333,2,2
1536591934,3,1
1536595518,3,2
1536599137,0,2
1536602728,1,0
1536606341,1,1
1536609940,1,3
1536613529,2,3
1536617125,1,2
1536620753,1,2
1536624356,1,0
1536627965,1,1
1536631540,2,2
1536635146,2,1
1536638743,2,1
1536642339,2,0
1536645954,0,2
1536649540,2,4
1536653151,2,1
1536656765,2,2
1536660340,1,1
1536663925,2,3
1536667527,3,2
1536671141,2,1
1536674753,2,2
1536678347,2,2
1536681957,1,1
1536685555,2,3
1536689149,1,4
1536692742,3,2
1536696349,4,1
1536699942,3,2
1536703542,2,1
1536707145,0,4
1536710788,5,1
1536714339,1,3
1536717945,3,1
1536721536,1,2
1536725148,3,4
1536728732,1,1
1536732344,1,1
1536735939,1,1
1536739547,2,2
1536743126,2,3
1536746745,2,2
1536750349,1,1
1536753943,1,1
1536757552,2,1
1536761143,1,3
1536764752,2,0
1536768350,2,2
1536771948,1,2
1536775538,1,3
1536779156,2,2
1536782734,2,0
1536786333,3,2
1536789944,2,2
1536793536,2,1
1536797185,1,1
1536800772,1,1
1536804327,1,1
1536807935,1,3
1536811548,2,2
1536815144,0,1
1536818743,1,3
1536822339,1,4
1536825930,4,2
1536829530,1,0
1536833144,3,1
1536836739,3,1
1536840342,3,2
1536843949,3,3
1536847541,1,0
1536851150,3,3
1536854730,2,2
1536858337,1,2
1536861937,0,2
1536865546,2,2
1536869112,1,1
1536872745,1,1
1536876340,3,4
1536879945,4,2
1536883564,2,2
1536887133,4,2
1536890737,2,3
1536894331,2,2
1536897933,2,1
1536901548,4,1
1536905120,1,4
1536908728,3,1
1536912336,3,5
1536915952,2,3
1536919535,1,3
1536923144,1,0
1536926756,1,2
1536930335,2,0
1536933935,1,3
1536937535,1,1
1536941137,0,1
1536944756,0,2
1536948342,2,1
1536951941,1,1
1536955532,3,2
1536959160,1,1
1536962713,1,1
1536966336,1,0
1536969974,1,0
1536973538,1,1
1536977140,0,1
1536980727,3,1
1536984348,2,0
1536987926,1,1
1536991546,2,1
1536995137,1,3
1536998743,2,5
1537002329,1,2
1537005928,2,2
1537013140,1,4
1537016740,1,1
1537020333,3,1
1537023929,1,1
1537027543,4,1
1537031148,1,3
1537034712,2,3
1537038341,3,0
1537041920,1,4
1537045534,1,1
1537049130,2,3
1537052748,2,1
1537056362,1,2
1537059946,2,4
1537063531,5,2
1537067138,2,2
1537070739,0,2
1537074328,2,1
1537077946,2,2
1537081538,0,1
1537085134,1,2
1537088716,2,0
1537092335,2,1
1537099534,1,0
1537103137,1,2
1537106732,1,3
1537110314,0,2
1537113936,2,11
1537117537,11,0
1537121115,2,2
1537124721,2,0
1537131945,1,1
1537135551,0,2
1537139136,0,1
1537142774,1,1
1537146346,0,2
1537149931,3,0
1537153523,1,0
1537157129,2,2
1537160719,3,0
1537164334,2,2
1537167938,1,1
1537171524,1,1
1537175119,0,2
1537178743,2,3
1537182326,0,2
1537185915,3,0
1537189537,2,0
1537193142,1,2
1537196730,1,0
1537200328,2,1
1537203931,1,2
1537207537,1,2
1537211130,0,2
1537214734,1,0
1537218322,1,2
1537221931,1,0
1537225520,0,1
1537229159,2,1
1537232783,1,1
1537236345,2,1
1537239943,0,1
1537243557,1,1
1537247137,4,2
1537250748,2,2
1537254329,2,3
1537257961,2,1
1537261527,1,4
1537265151,3,2
1537268743,1,1
1537272344,1,2
1537275947,0,1
1537279550,2,1
1537283137,1,1
1537286752,1,0
1537290347,2,2
1537293936,3,1
1537297532,1,1
1537301142,1,1
1537304732,1,3
1537308355,1,1
1537311937,1,1
1537315556,1,1
1537319145,0,2
1537322745,2,0
1537326356,3,2
1537329964,1,1
1537333546,2,1
1537337152,1,5
1537340734,3,3
1537344345,1,0
1537347934,2,1
1537351538,0,3
1537355145,1,2
1537358748,2,1
1537362337,2,3
1537365979,2,2
1537369539,3,1
1537373157,1,1
1537376738,1,0
1537380344,1,0
1537383938,1,1
1537387549,1,6
1537394735,0,1
1537398334,2,0
1537401964,1,2
1537405527,3,0
1537409132,1,0
1537412759,2,2
1537416349,3,0
1537419946,2,1
1537423543,3,1
1537427134,2,2
1537430743,2,5
1537434325,3,2
1537437922,2,2
1537441550,1,3
1537445143,2,1
1537448750,2,0
1537452337,3,3
