DateTime,AddedIPs,RemovedIPs
1534644455,1,3
1534648066,0,4
1534651665,9,5
1534655275,2,0
1534669661,0,1
1534673245,1,0
1534680464,0,1
1534684064,1,0
1534698483,0,1
1534705654,1,0
1534720065,0,3
1534723701,1,0
1534727271,2,1
1534730858,2,5
1534734463,5,0
1534738091,0,4
1534741652,1,2
1534745239,1,1
1534748876,1,4
1534752462,1,0
1534766873,0,1
1534770453,0,1
1534777653,1,1
1534781254,1,0
1534799269,0,1
1534802861,1,0
1534810122,4,1
1534813697,2,0
1534817274,5,0
1534820865,1,3
1534824508,2,0
1534828109,4,2
1534831647,3,1
1534838870,1,0
1534842484,0,2
1534849686,0,2
1534853281,1,2
1534856864,0,2
1534860457,3,1
1534864068,3,0
1534867671,0,1
1534878489,1,0
1534892866,1,1
1534900080,1,2
1534903665,3,0
1534907232,1,9
1534910864,2,0
1534914459,0,1
1534921659,0,1
1534928852,1,0
1534936055,0,1
1534939666,1,0
1534943252,0,1
1534954063,0,1
1534957694,1,1
1534961265,0,1
1534964863,1,0
1534968460,0,3
1534972088,0,1
1534979275,1,7
1534982881,4,1
1534986430,5,0
1534990000,3,0
1534993633,2,1
1534997251,1,0
1535008020,0,2
1535011650,0,2
1535015232,1,0
1535022433,0,1
1535029633,1,1
1535033225,0,1
1535040443,2,0
1535054834,0,2
1535058453,2,1
1535062043,0,3
1535065621,2,0
1535069266,2,0
1535072846,0,1
1535076417,2,1
1535090824,0,8
1535101647,4,0
1535105236,0,1
1535112417,1,0
1535116031,0,4
1535123241,2,1
1535126816,1,0
1535134050,0,1
1535137647,0,2
1535141258,1,2
1535144834,4,0
1535148434,7,0
1535155682,8,0
1535162859,0,5
1535166438,3,0
1535169972,1,2
1535173567,3,0
1535177275,3,0
1535180819,0,2
1535184408,4,0
1535191601,0,1
1535206018,0,4
1535209623,4,0
1535252829,0,4
1535259997,1,1
1535263612,2,0
1535274416,0,1
1535278149,0,1
1535310553,0,1
1535314137,1,0
1535321170,0,7
1535342763,1,0
1535346365,0,2
1535349971,1,3
1535353577,3,1
1535357160,2,1
1535360777,1,0
1535364374,0,1
1535382385,0,2
1535385972,1,0
1535389575,1,3
1535393157,3,0
1535411170,0,6
1535414794,1,0
1535418376,3,0
1535421964,1,2
1535425567,1,0
1535429157,0,2
1535432765,0,1
1535461571,0,1
1535493981,0,1
1535497569,1,0
1535501196,2,0
