DateTime,AddedIPs,RemovedIPs
1536896899,23,15
1536898850,25,81
1536900745,316,79
1536902681,36,34
1536904594,22,20
1536906526,34,21
1536908470,363,12
1536910610,31,23
1536912549,24,24
1536914457,35,14
1536916359,23,24
1536918271,462,22
1536920216,70,21
1536922098,54,15
1536924068,55,24
1536925951,83,23
1536928127,34,26
1536930074,36,45
1536931964,24,24
1536933869,24,20
1536935772,41,52
1536937739,34,24
1536939891,44,29
1536941801,23,758
1536943706,26,24
1536945626,37,114
1536947564,35,16
1536949468,37,9
1536951394,22,24
1536953328,371,15
1536955265,143,14
1536957156,18,27
1536959085,21,49
1536961014,21,16
1536962913,18,14
1536964864,220,14
1536967013,40,25
1536968895,10,19
1536970839,14,21
1536972761,17,30
1536974681,518,22
1536976570,616,19
1536978498,773,35
1536980462,347,31
1536982358,45,29
1536984295,30,18
1536986182,16,51
1536988123,33,253
1536990043,25,21
1536992212,25,24
1536994349,21,230
1536996511,16,37
1536998459,27,21
1537000360,10,33
1537002277,16,35
1537004204,16,484
1537006104,17,30
1537008038,12,13
1537009955,496,23
1537011872,67,16
1537013836,137,23
1537015969,19,24
1537017870,25,23
1537019799,19,24
1537021705,27,33
1537023663,17,30
1537025554,21,37
1537027537,32,31
1537029630,25,36
1537031568,34,36
1537033462,54,21
1537035419,35,27
1537037295,29,22
1537039249,26,86
1537041144,26,77
1537043080,30,15
1537044977,27,22
1537046938,37,26
1537048862,17,31
1537050770,12,60
1537052672,19,248
1537054623,14,14
1537056533,18,20
1537058447,14,25
1537060347,13,314
1537062284,32,739
1537064195,46,650
1537066098,31,557
1537068034,44,89
1537069946,24,63
1537071882,23,18
1537073775,25,35
1537075713,23,26
1537077661,35,30
1537079564,244,21
1537081478,60,15
1537083512,23,18
1537085337,81,18
1537087237,17,11
1537089159,15,23
1537091345,20,22
1537093253,14,16
1537095142,11,700
1537097087,12,19
1537098988,14,331
1537100930,18,241
1537102841,101,23
1537104774,48,34
1537106674,1202,14
1537108615,21,53
1537110527,15,13
1537112448,38,27
1537114399,16,42
1537116276,784,30
1537118203,23,30
1537120348,615,30
1537122252,170,44
1537124471,38,39
1537126350,20,23
1537128311,25,29
1537130173,35,69
1537132117,19,22
1537134017,120,39
1537136203,29,15
1537138123,37,14
1537140027,26,19
1537142185,38,20
1537144103,1290,25
1537146080,1103,19
1537147948,1302,16
1537149864,226,31
1537151812,24,36
1537153953,27,47
1537155889,81,244
1537157791,202,17
1537159726,23,20
1537161632,11,27
1537163574,18,26
1537165474,20,87
1537167399,20,66
1537169300,54,23
1537171264,15,29
1537173163,17,76
1537175089,39,12
1537176991,47,20
1537178925,39,27
1537180834,36,18
1537182764,24,17
1537184668,48,16
1537186614,36,22
1537188509,42,65
1537190447,34,32
1537192352,58,851
1537194536,549,274
1537196673,38,30
1537198593,39,40
1537200552,50,15
1537202541,84,485
1537204347,65,18
1537206269,98,215
1537208204,44,432
1537210110,48,27
1537212025,36,17
1537213952,45,20
1537215862,34,49
1537217801,36,21
1537219706,34,119
1537221650,21,23
1537223738,35,42
1537225703,27,29
1537227632,25,18
1537229553,26,627
1537231474,33,1288
1537233399,18,1128
1537235310,198,944
1537237247,133,20
1537239141,41,27
1537241081,25,21
1537242972,26,267
1537244917,27,18
1537246846,24,16
1537248769,22,17
1537250672,20,19
1537252581,10,13
1537254527,32,60
1537256449,38,12
1537258465,14,13
1537260287,18,21
1537262211,668,67
1537264128,2658,29
1537266040,2489,37
1537267943,2808,34
1537270117,748,37
1537272091,11,35
1537273965,22,26
1537275875,44,44
1537278062,69,51
1537279967,46,52
1537281875,56,20
1537283801,13,331
1537285708,52,97
1537287907,15,64
1537291010,30,96
1537292922,14,92
1537294844,18,44
1537296761,19,43
1537298654,25,30
1537300597,20,34
1537302516,170,34
1537304469,263,20
1537306352,23,29
1537308273,12,23
1537310184,18,20
1537312124,16,29
1537314042,23,19
1537316207,24,26
1537318093,19,23
1537320038,16,26
1537321941,31,119
1537323877,28,53
1537325774,87,30
1537327715,24,17
1537329639,19,18
1537331557,261,110
1537333465,35,12
1537335371,36,28
1537337318,40,20
1537339230,75,13
1537341395,51,23
1537343302,13,33
1537345245,47,17
1537347144,13,11
1537349063,289,1209
1537350988,15,2478
1537353203,10,2859
1537355088,8,2295
1537356972,20,20
