DateTime,Entries,UniqueIPs
1536896899,3799,3799
1536898850,3743,3743
1536900745,3980,3980
1536902681,3982,3982
1536904594,3984,3984
1536906526,3997,3997
1536908470,4348,4348
1536910610,4356,4356
1536912549,4356,4356
1536914457,4377,4377
1536916359,4376,4376
1536918271,4816,4816
1536920216,4865,4865
1536922098,4904,4904
1536924068,4935,4935
1536925951,4995,4995
1536928127,5003,5003
1536930074,4994,4994
1536931964,4994,4994
1536933869,4998,4998
1536935772,4987,4987
1536937739,4997,4997
1536939891,5012,5012
1536941801,4277,4277
1536943706,4279,4279
1536945626,4202,4202
1536947564,4221,4221
1536949468,4249,4249
1536951394,4247,4247
1536953328,4603,4603
1536955265,4732,4732
1536957156,4723,4723
1536959085,4695,4695
1536961014,4700,4700
1536962913,4704,4704
1536964864,4910,4910
1536967013,4925,4925
1536968895,4916,4916
1536970839,4909,4909
1536972761,4896,4896
1536974681,5392,5392
1536976570,5989,5989
1536978498,6727,6727
1536980462,7043,7043
1536982358,7059,7059
1536984295,7071,7071
1536986182,7036,7036
1536988123,6816,6816
1536990043,6820,6820
1536992212,6821,6821
1536994349,6612,6612
1536996511,6591,6591
1536998459,6597,6597
1537000360,6574,6574
1537002277,6555,6555
1537004204,6087,6087
1537006104,6074,6074
1537008038,6073,6073
1537009955,6546,6546
1537011872,6597,6597
1537013836,6711,6711
1537015969,6706,6706
1537017870,6708,6708
1537019799,6703,6703
1537021705,6697,6697
1537023663,6684,6684
1537025554,6668,6668
1537027537,6669,6669
1537029630,6658,6658
1537031568,6656,6656
1537033462,6689,6689
1537035419,6697,6697
1537037295,6704,6704
1537039249,6644,6644
1537041144,6593,6593
1537043080,6608,6608
1537044977,6613,6613
1537046938,6624,6624
1537048862,6610,6610
1537050770,6562,6562
1537052672,6333,6333
1537054623,6333,6333
1537056533,6331,6331
1537058447,6320,6320
1537060347,6019,6019
1537062284,5312,5312
1537064195,4708,4708
1537066098,4182,4182
1537068034,4137,4137
1537069946,4098,4098
1537071882,4103,4103
1537073775,4093,4093
1537075713,4090,4090
1537077661,4095,4095
1537079564,4318,4318
1537081478,4363,4363
1537083512,4368,4368
1537085337,4431,4431
1537087237,4437,4437
1537089159,4429,4429
1537091345,4427,4427
1537093253,4425,4425
1537095142,3736,3736
1537097087,3729,3729
1537098988,3412,3412
1537100930,3189,3189
1537102841,3267,3267
1537104774,3281,3281
1537106674,4469,4469
1537108615,4437,4437
1537110527,4439,4439
1537112448,4450,4450
1537114399,4424,4424
1537116276,5178,5178
1537118203,5171,5171
1537120348,5756,5756
1537122252,5882,5882
1537124471,5881,5881
1537126350,5878,5878
1537128311,5874,5874
1537130173,5840,5840
1537132117,5837,5837
1537134017,5918,5918
1537136203,5932,5932
1537138123,5955,5955
1537140027,5962,5962
1537142185,5980,5980
1537144103,7245,7245
1537146080,8329,8329
1537147948,9615,9615
1537149864,9810,9810
1537151812,9798,9798
1537153953,9778,9778
1537155889,9615,9615
1537157791,9800,9800
1537159726,9803,9803
1537161632,9787,9787
1537163574,9779,9779
1537165474,9712,9712
1537167399,9666,9666
1537169300,9697,9697
1537171264,9683,9683
1537173163,9624,9624
1537175089,9651,9651
1537176991,9678,9678
1537178925,9690,9690
1537180834,9708,9708
1537182764,9715,9715
1537184668,9747,9747
1537186614,9761,9761
1537188509,9738,9738
1537190447,9740,9740
1537192352,8947,8947
1537194536,9222,9222
1537196673,9230,9230
1537198593,9229,9229
1537200552,9264,9264
1537202541,8863,8863
1537204347,8910,8910
1537206269,8793,8793
1537208204,8405,8405
1537210110,8426,8426
1537212025,8445,8445
1537213952,8470,8470
1537215862,8455,8455
1537217801,8470,8470
1537219706,8385,8385
1537221650,8383,8383
1537223738,8376,8376
1537225703,8374,8374
1537227632,8381,8381
1537229553,7780,7780
1537231474,6525,6525
1537233399,5415,5415
1537235310,4669,4669
1537237247,4782,4782
1537239141,4796,4796
1537241081,4800,4800
1537242972,4559,4559
1537244917,4568,4568
1537246846,4576,4576
1537248769,4581,4581
1537250672,4582,4582
1537252581,4579,4579
1537254527,4551,4551
1537256449,4577,4577
1537258465,4578,4578
1537260287,4575,4575
1537262211,5176,5176
1537264128,7805,7805
1537266040,10257,10257
1537267943,13031,13031
1537270117,13742,13742
1537272091,13718,13718
1537273965,13714,13714
1537275875,13714,13714
1537278062,13732,13732
1537279967,13726,13726
1537281875,13762,13762
1537283801,13444,13444
1537285708,13399,13399
1537287907,13350,13350
1537291010,13284,13284
1537292922,13206,13206
1537294844,13180,13180
1537296761,13156,13156
1537298654,13151,13151
1537300597,13137,13137
1537302516,13273,13273
1537304469,13516,13516
1537306352,13510,13510
1537308273,13499,13499
1537310184,13497,13497
1537312124,13484,13484
1537314042,13488,13488
1537316207,13486,13486
1537318093,13482,13482
1537320038,13472,13472
1537321941,13384,13384
1537323877,13359,13359
1537325774,13416,13416
1537327715,13423,13423
1537329639,13424,13424
1537331557,13575,13575
1537333465,13598,13598
1537335371,13606,13606
1537337318,13626,13626
1537339230,13688,13688
1537341395,13716,13716
1537343302,13696,13696
1537345245,13726,13726
1537347144,13728,13728
1537349063,12808,12808
