DateTime,AddedIPs,RemovedIPs
1535797948,1,0
1535799873,1,0
1535801792,0,1
1535809470,1,0
1535817169,1,1
1535819057,1,1
1535822890,1,0
1535825793,1,1
1535827986,0,1
1535829864,1,0
1535833700,1,1
1535840421,1,1
1535842351,0,1
1535848103,1,0
1535857717,0,1
1535861590,1,1
1535863473,0,2
1535865400,1,1
1535867316,1,0
1535869254,0,1
1535871163,0,2
1535873062,0,1
1535874982,2,0
1535876921,0,1
1535878885,0,2
1535882668,0,1
1535884838,0,1
1535886746,0,2
1535890614,1,0
1535896340,0,1
1535900174,1,0
1535904273,1,1
1535906446,1,1
1535910283,0,1
1535912211,0,1
1535917961,2,1
1535925660,1,0
1535927566,0,1
1535932880,1,0
1535934760,0,1
1535936672,1,0
1535942670,1,0
1535946505,0,1
1535950362,0,1
1535952288,0,2
1535958084,1,0
1535959963,1,0
1535961888,0,2
1535966196,2,0
1535971952,1,0
1535975801,1,0
1535977705,0,1
1535985381,0,1
1535991200,0,1
1535993072,1,1
1535998842,1,0
1536002670,0,1
1536004601,0,1
1536006518,1,0
1536008479,1,0
1536012291,0,1
1536018757,1,1
1536024525,0,1
1536028378,0,1
1536032213,1,0
1536041815,1,0
1536043962,0,1
1536045996,0,1
1536048995,2,0
1536052840,0,2
1536056679,1,0
1536060512,1,1
1536062481,0,1
1536064362,2,0
1536078760,0,1
1536080688,1,0
1536084518,0,1
1536092445,0,1
1536094378,0,1
1536106355,1,1
1536119787,0,1
1536127466,0,1
1536129643,1,0
1536131556,1,0
1536133492,0,1
1536135386,0,1
1536143066,0,1
1536148362,0,1
1536150303,0,2
1536152176,1,0
1536156076,1,0
1536157947,1,0
1536167677,0,1
1536169876,1,0
1536175696,2,0
1536179535,1,0
1536185562,67,0
1536192255,1,0
1536194186,1,0
1536202128,1,0
1536207889,2,0
1536211701,2,0
1536223215,1,0
1536225173,1,0
1536236693,1,0
1536244354,0,1
1536248195,2,0
1536252273,1,0
1536254188,1,0
1536256114,0,1
1536261871,0,1
1536263775,1,0
1536267664,1,1
1536269563,1,0
1536271459,1,72
1536279400,0,1
1536281300,0,1
1536288997,0,1
1536290892,1,0
1536293804,1,2
1536297630,1,2
1536309163,0,2
1536311069,0,1
1536314927,1,0
1536320684,2,0
1536322602,0,1
1536328363,1,0
1536334117,0,2
1536337242,1,1
1536341078,1,1
1536342991,1,0
1536346857,2,0
1536348760,1,0
1536350681,0,1
1536352585,1,0
1536354523,1,1
1536356412,1,1
1536358364,0,1
1536362152,2,0
1536376943,1,1
1536378759,0,1
1536380657,1,0
1536382587,1,0
1536384487,0,1
1536386467,1,0
1536399864,0,1
1536403706,1,0
1536407552,0,2
1536413300,1,0
1536415281,0,1
1536422974,0,1
1536426998,1,1
1536428903,1,0
1536430844,0,1
1536432748,0,2
1536434692,0,1
1536440475,0,2
1536442370,0,1
1536448108,2,1
1536450044,1,1
1536457703,1,0
1536459644,1,0
1536461553,0,1
1536467313,0,1
1536469279,0,1
1536471151,1,1
1536477160,1,0
1536481001,1,0
1536482909,1,0
1536484853,58,0
1536504021,1,0
1536511709,0,1
1536513619,0,1
1536528954,1,0
1536534880,1,0
1536562368,1,0
1536566207,1,1
1536570075,0,1
1536575774,1,0
1536581573,0,12
1536589250,0,55
1536596930,1,0
1536598887,1,0
1536600765,0,1
1536604616,1,0
1536606502,1,0
1536616348,0,1
1536622119,0,1
1536631713,1,0
1536637457,1,0
1536643252,1,0
1536647184,2,0
1536649280,0,1
1536653067,1,1
1536659092,2,0
1536660998,0,1
1536678311,1,0
1536682346,0,1
1536686217,0,1
1536690267,0,1
1536692168,0,1
1536696014,1,0
1536697857,1,0
1536701770,2,0
1536707792,1,0
1536715483,1,0
1536719302,0,1
1536723151,0,1
1536730823,0,1
1536732772,0,2
1536736618,1,0
1536738516,2,1
1536746222,0,2
1536750991,1,0
1536752902,1,0
1536754828,1,0
1536760584,1,0
1536764674,1,1
1536766529,1,0
1536768785,1,0
1536782200,0,1
1536784102,0,1
1536787947,0,2
1536791778,1,0
1536793708,0,1
1536799460,1,0
1536801398,1,1
1536807154,1,0
1536809061,2,0
1536823700,1,3
1536837141,1,1
1536839069,0,1
1536841021,1,1
1536846780,0,1
1536850586,1,1
1536854472,0,2
1536862111,1,0
1536867886,1,0
1536873864,1,0
1536877704,1,0
1536879688,0,1
1536881540,1,0
1536885423,0,1
1536887335,0,1
1536889246,1,0
1536893056,0,1
1536895028,0,2
1536896900,1,0
1536902682,1,0
1536904595,1,0
1536906527,1,0
1536908480,0,1
1536910611,1,0
1536924069,0,1
1536925951,1,1
1536935773,49,0
1536939892,1,0
1536941802,1,0
1536943707,1,0
1536947565,1,0
1536955275,3,0
1536967014,2,0
1536968896,1,1
1536994350,1,0
1536996512,0,1
1536998481,2,0
1537002279,1,0
1537009956,1,0
1537011873,0,1
1537021706,1,59
1537025555,0,1
1537027541,1,1
1537029631,0,1
1537031570,1,0
1537033464,1,1
1537039251,1,0
1537041150,0,3
1537052673,1,2
1537054624,1,0
1537056534,0,1
1537058448,1,0
1537060347,1,0
1537073776,1,0
1537079566,0,1
1537083514,0,1
1537085338,0,1
1537089160,0,1
1537097088,1,1
1537102852,1,0
1537108616,0,1
1537114399,0,1
1537118204,0,1
1537120349,4,1
1537122253,1,0
1537126351,0,1
1537136204,1,0
1537138124,0,1
1537142186,0,1
1537144105,0,1
1537146088,1,1
1537159726,0,1
1537167400,1,0
1537176992,1,0
1537178926,1,0
1537182765,0,1
1537188517,1,0
1537190449,0,1
1537194536,1,0
1537196674,4,0
1537206270,0,2
1537208205,1,2
1537210112,0,1
1537212026,1,0
1537221670,0,1
1537223738,1,0
1537233400,1,1
1537242973,1,0
1537252582,0,1
1537264129,1,1
1537266040,0,1
1537267944,1,0
1537275876,0,1
1537279968,1,0
1537281876,0,1
1537283802,2,4
1537287908,72,0
1537291964,1,0
1537299613,1,0
1537311152,1,0
1537317159,1,0
1537320971,1,1
1537324844,1,0
1537326738,1,0
1537332494,1,0
1537334428,1,0
1537336340,2,0
1537340202,1,0
1537342355,1,0
1537349782,0,1
1537367071,1,0
1537371146,1,0
1537376905,0,4
1537382684,0,8
1537396099,0,1
1537401882,1,0
1537403790,0,1
1537407630,1,0
1537419165,1,0
1537432826,1,0
1537436662,1,0
1537438591,1,2
1537442440,1,0
1537444364,1,2
1537446276,2,0
1537448188,2,0
1537450099,1,0
1537453945,0,1
1537455877,0,2
1537465482,1,0
1537467398,0,73
1537473146,1,0
1537478897,1,0
1537484664,1,0
1537488509,1,1
1537494267,0,1
1537496217,1,0
1537505785,0,1
1537507725,2,0
1537519239,0,1
1537521423,0,1
1537523330,2,0
1537525235,0,1
1537529085,0,1
1537530996,0,1
1537532919,2,2
1537534867,0,2
1537536761,0,1
1537546605,1,0
1537550676,0,2
1537560264,1,1
1537562173,15,0
1537564128,4,0
1537566036,1,0
1537571807,1,0
1537573718,2,0
1537577801,1,0
1537580436,6,0
1537582361,4,0
1537584277,3,0
1537588340,3,0
1537590268,1,0
1537592166,3,0
1537594360,3,0
1537596275,2,0
1537600114,3,0
1537602038,1,0
1537603953,3,0
1537605869,2,0
1537607791,2,0
1537609705,1,0
1537611622,1,0
1537613551,3,0
1537615469,1,0
1537617382,2,0
1537619298,3,0
1537621279,3,0
1537623145,3,0
1537625073,2,0
1537626995,1,0
1537628905,1,0
1537630821,1,0
1537638509,1,0
1537640421,2,0
1537642343,3,0
1537646199,1,0
1537650997,1,1
1537654816,1,0
1537656780,2,0
1537664450,1,0
1537666345,2,0
1537670186,1,0
1537672113,1,0
1537674023,1,0
1537675951,1,0
1537677879,2,0
1537702816,1,0
1537704750,3,0
1537706659,1,0
1537708589,1,0
1537710517,2,0
1537712422,1,0
1537716264,1,28
1537718180,0,64
1537720103,1,0
1537723942,2,1
1537725877,2,2
1537727778,1,0
1537729705,0,3
1537731620,1,1
1537733786,103,0
1537737618,1,0
1537739538,3,0
1537743398,4,0
1537748197,2,0
1537750111,1,0
1537752019,2,0
1537757798,2,0
1537759695,1,0
1537761661,3,0
1537763549,1,0
1537767391,3,0
1537769306,1,0
1537771220,3,0
1537773147,2,0
1537775069,3,0
1537776993,1,0
1537778900,4,0
1537780820,2,0
1537782841,2,0
1537784671,1,0
1537786599,2,0
1537788490,3,0
1537790482,0,1
1537792361,1,0
1537794267,1,0
1537796202,3,0
1537800114,3,0
1537801961,1,1
1537803860,3,0
1537805812,1,0
1537807703,1,0
1537809871,1,0
1537811794,1,0
1537813944,4,0
1537815899,1,0
1537817803,1,0
1537819727,2,131
1537821637,0,1
1537823555,2,1
1537825460,1,2
1537827397,2,1
1537829298,3,2
1537831220,0,2
1537833166,1,1
1537835076,5,2
1537836995,1,2
1537842772,2,0
1537844683,0,2
1537846573,3,4
1537848522,2,0
1537850437,1,1
1537852341,0,1
1537854257,2,2
1537856212,2,2
1537858097,0,2
1537860039,1,3
1537861980,1,2
1537863875,0,3
1537865776,0,3
1537867711,170,0
