DateTime,AddedIPs,RemovedIPs
1532401249,2,0
1532410823,1,0
1532412759,0,2
1532444171,1,0
1532446101,1,1
1532451865,1,0
1532459667,0,1
1532461722,1,0
1532469393,0,1
1532486739,0,1
1532488583,1,0
1532498480,0,1
1532509950,1,0
1532515724,0,1
1532531343,0,1
1532533246,0,1
1532537314,1,1
1532548859,0,1
1532569988,1,0
1532573818,0,1
1532581519,1,0
1532594900,0,1
1532604832,1,0
1532610527,1,0
1532624410,0,1
1532639556,8,0
1532656361,0,1
1532665970,1,0
1532667886,1,1
1532691633,1,1
1532697387,0,1
1532726680,0,7
1532743480,1,0
1532751165,0,1
1532755004,0,1
1532760755,1,0
1532778742,0,1
1532780653,1,0
1532784491,0,1
1532792172,1,0
1532826098,1,0
1532829863,0,1
1532845456,0,1
1532866607,0,1
1532889859,1,0
1532893717,1,0
1532901875,1,0
1532911454,0,1
1532928507,1,0
1532932368,1,0
1532947706,1,0
1532953473,1,0
1532955395,1,0
1532965001,1,0
1532968820,1,0
1532976503,0,1
1532980840,0,1
1532986811,0,1
1533000513,1,0
1533015866,1,1
1533017809,1,1
1533023591,1,0
1533033418,0,1
1533037245,1,0
1533041067,0,1
1533043017,0,1
1533050902,0,1
1533056920,0,1
1533077314,0,1
1533083070,1,0
1533086791,0,1
1533102167,0,1
1533103967,1,1
1533109801,0,1
1533117441,1,0
1533124315,0,1
1533145705,1,0
1533166480,1,0
1533170177,0,1
1533174014,1,0
1533189371,0,1
1533204763,2,0
1533218667,2,0
1533220573,1,0
1533228742,2,0
1533232882,0,1
1533259962,0,1
1533265727,0,1
1533275309,1,0
1533286882,2,0
1533292604,1,2
1533294510,0,1
1533304339,0,2
1533306271,0,1
1533314421,1,1
1533329775,0,1
1533349461,1,0
1533361005,1,1
1533364823,1,0
1533372497,0,1
1533384054,0,1
1533387870,1,0
1533401539,0,1
1533403465,1,0
1533423836,1,0
1533427694,0,1
1533435674,0,1
1533447245,1,1
1533452937,0,1
1533458919,1,0
1533472819,0,1
1533490353,0,1
1533507620,1,0
1533524916,0,1
1533532592,0,1
1533544120,1,0
1533586181,1,0
1533590052,1,0
1533593872,0,1
1533605387,1,0
1533609214,2,0
1533616875,1,0
1533631460,0,1
1533633383,1,0
1533645172,1,0
1533647060,0,1
1533672559,1,1
1533676453,0,1
1533678275,1,0
1533684343,1,0
1533692054,0,1
1533693860,0,1
1533695936,0,1
1533703693,0,1
1533709453,1,0
1533718968,0,1
1533730842,0,1
1533734706,1,0
1533765913,0,1
1533769801,0,1
1533786972,1,0
1533794679,0,1
1533813871,1,0
1533821789,0,1
1533831408,1,0
1533836060,1,0
