DateTime,AddedIPs,RemovedIPs
1530579885,0,1
1530585879,1,0
1530589714,1,0
1530615193,1,0
1530637368,0,1
1530663865,1,0
1530672495,0,1
1530685055,0,1
1530694905,1,0
1530701362,1,1
1530707057,1,0
1530713122,1,0
1530737549,1,0
1530750996,0,1
1530752903,1,0
1530760825,1,0
1530781029,0,1
1530786743,0,1
1530792754,1,0
1530794660,0,1
1530800427,0,1
1530818684,1,0
1530825320,0,1
1530838112,0,1
1530845800,0,1
1530874598,1,0
1530878514,0,1
1530906299,1,1
1530952579,1,0
1530954505,1,0
1530960499,0,1
1530993146,0,1
1531000883,1,0
1531016918,1,0
1531024842,1,0
1531040194,0,1
1531042098,0,1
1531053860,1,0
1531086253,0,1
1531105465,0,1
1531111493,0,1
1531113408,1,0
1531140503,0,1
1531200494,0,1
1531202911,1,0
1531255963,1,0
1531267969,1,0
1531289547,0,1
1531343234,0,1
1531353152,0,1
1531376896,1,0
1531383851,1,0
1531385786,1,0
1531412927,1,0
1531464499,0,1
1531470262,0,1
1531472194,0,1
1531497368,0,1
1531510815,1,0
1531516592,3179,1
1531520428,14,0
1531542593,1,0
1531547336,1,0
1531574960,1,0
1531632531,1,0
1531727566,1,0
1531792373,1,0
1531865566,0,3198
1531877073,0,1
1531883321,1,0
1531887162,1,0
1531914029,1,0
1531935193,1,0
1531950016,1,0
1531971388,0,1
1531973332,0,1
1532000686,0,1
1532021785,0,1
1532029454,1,0
1532037403,0,1
1532112997,0,1
1532156907,1,0
1532159430,1,0
1532188363,1,0
1532208495,1,0
1532243566,1,1
1532247395,0,1
1532263210,1,0
1532274757,0,1
1532278755,1,0
1532296114,0,1
1532313633,1,0
1532329007,0,1
1532336658,1,0
1532338583,1,0
1532349139,0,1
1532379762,0,1
1532399327,1,1
1532424738,0,2
1532430516,1,0
1532434372,1,0
1532484769,1,1
1532486739,1,0
1532517618,0,1
1532521459,0,1
1532523400,1,0
1532564193,1,0
1532569988,0,1
1532573818,0,1
1532610529,0,1
1532635472,1,0
1532646402,1,0
1532650247,0,1
1532695465,1,0
1532715163,1,0
1532720897,0,1
1532762679,1,0
1532770357,1,0
1532774913,1,0
1532782592,0,2
1532801799,0,1
1532807777,1,0
1532849294,0,1
1532858916,0,1
1532860831,0,1
1532866607,1,0
1532874262,1,0
1532893717,0,1
1532903773,1,0
1532921543,1,0
1532952277,0,1
1532967869,0,1
1532988981,1,1
1533006274,0,1
1533035319,1,0
1533039169,1,0
1533075311,0,1
1533092504,1,0
1533121344,0,1
1533126279,0,1
1533147636,1,0
1533159143,1,0
1533177857,0,1
1533181695,1,0
1533234757,0,1
1533244379,1,1
1533263778,1,0
1533269555,0,1
1533320172,1,0
1533329775,0,1
1533337700,1,0
1533345397,1,0
1533349461,0,1
1533359056,1,0
1533372498,1,0
1533405374,0,1
1533423836,0,1
1533431753,0,1
1533435675,1,0
1533458919,0,1
1533461080,1,0
1533494196,0,1
1533521090,0,1
1533546046,0,1
1533578552,1,0
1533605387,1,0
1533664598,1,0
1533666495,0,1
1533680232,1,0
1533684343,1,0
1533686311,1,0
1533692054,0,1
1533715120,1,0
1533734706,2,0
1533736580,1,0
1533738506,2,0
1533750265,0,1
1533767795,0,1
1533769801,0,1
1533771644,1,0
1533773549,0,1
1533775456,1,0
1533802355,0,1
1533806192,1,0
1533819891,0,1
1533821789,0,1
1533823729,1,1
1533825618,0,1
1533857054,0,1
1533861733,0,1
1533871238,1,0
1533875061,0,1
1533892441,1,1
1533900109,1,0
1533909770,0,1
1533927031,1,0
1533946582,1,0
1533958109,0,1
1533977531,1,0
1533979471,0,1
1533987134,0,1
1534004651,1,0
1534032757,0,1
1534052418,0,1
1534063941,0,1
1534081230,1,0
1534091051,0,1
1534117957,1,0
1534137637,1,0
1534149156,0,0
1534167370,0,1
1534203780,1,1
1534218994,1,0
1534222854,0,1
1534259808,1,0
1534286926,1,0
1534288816,0,1
1534305378,0,1
1534347612,0,1
1534351709,1,0
1534375220,0,1
1534377264,1,0
1534423664,1,0
1534439305,0,1
1534458497,1,0
1534463578,0,1
1534477486,1,0
1534510361,0,1
1534545852,0,1
1534551622,1,0
1534565420,0,1
1534632973,2,0
1534637776,0,1
1534647683,1,0
1534649535,1,0
1534719213,0,2
1534732848,0,2
1534802661,1,0
1534806741,1,0
1534812810,1,0
1534889567,0,1
1534893393,0,1
1534897458,0,1
1534902975,1,0
1534937061,1,0
1534975479,1,0
1534987484,1,0
1534989377,0,1
1535012415,1,0
1535023964,0,1
1535027774,1,0
1535060658,0,1
1535074095,0,1
1535097668,0,1
1535107232,1,0
1535112998,0,1
1535142980,1,0
1535144935,1,0
1535190027,1,0
1535193885,0,1
1535209278,1,0
1535216905,1,0
1535227459,1,0
1535229634,0,1
1535231555,0,1
1535235406,1,0
1535260338,1,0
1535276199,0,1
1535295390,0,1
1535303077,0,1
1535313185,0,1
1535323224,0,1
1535378897,1,0
1535412054,1,0
1535413999,1,0
1535423788,1,0
1535427862,1,0
1535433636,0,1
1535460770,1,0
1535464593,0,1
1535497497,0,1
1535499440,0,1
1535508992,0,1
1535514822,0,1
1535546011,0,1
1535582582,2,0
1535588440,1,0
1535604041,1,0
1535636901,1,0
1535640877,3,0
1535650609,1,0
1535670070,0,2
1535676021,2,1
1535689462,0,1
1535724756,0,1
1535726689,1,2
1535728801,0,1
1535736627,0,1
1535763388,0,2
1535807559,1,0
1535811395,1,0
1535813307,0,1
1535892501,1,0
1535894437,0,1
1535898278,0,1
1535916069,1,0
1535948435,1,0
1535977706,0,1
1535981547,1,0
1536002671,1,1
1536034102,0,1
1536068205,1,1
1536088359,0,1
1536119788,2,0
1536125549,1,0
1536154114,0,1
1536165611,1,0
1536183625,2,0
1536205963,0,2
1536211702,0,1
1536213678,1,0
1536227061,1,0
1536229010,1,0
1536248196,1,0
1536250385,1,0
1536252274,0,1
1536263776,1,0
1536269564,0,2
1536300521,0,1
1536313958,0,2
1536321663,1,0
1536335052,0,2
1536343000,1,0
1536344913,1,0
1536350698,0,1
1536358365,1,0
1536371793,1,0
1536385231,1,0
1536405635,1,0
1536409489,0,1
1536413301,1,0
1536422975,1,0
1536426999,1,0
1536428904,0,1
1536430845,1,1
1536444265,0,1
1536450044,1,0
1536457704,0,1
1536471152,0,1
1536492516,1,1
1536500295,0,1
1536509795,0,1
1536513620,0,1
1536517454,0,1
1536536925,0,1
1536540733,1,0
1536579638,0,1
1536593081,1,0
1536625947,0,1
1536655255,1,0
1536676346,1,0
1536680429,0,1
1536728934,1,0
1536742350,0,1
1536752903,1,0
1536762504,0,1
1536815800,0,1
1536817726,1,0
1536835217,1,0
1536841022,0,1
1536902683,0,1
1536906528,1,0
1536908484,1,0
1536914460,1,0
1536922100,0,1
1536933871,1,0
1536959087,1,0
1536982359,1,0
1536984320,1,0
1536992214,0,1
1536996513,0,1
1537000363,0,1
1537019800,0,1
1537025556,1,0
1537043081,1,0
1537044979,1,1
1537066100,1,0
1537068036,0,1
1537069948,0,1
1537112449,0,1
1537128319,0,1
1537130174,0,1
1537140028,1,0
1537151814,0,1
1537157793,1,0
1537178927,1,0
1537227633,0,1
1537235312,1,0
1537244919,0,1
1537248771,1,0
1537254529,1,0
1537262213,1,0
1537264130,0,1
1537267945,1,0
1537273967,1,0
1537278071,2,0
1537279969,1,0
1537281877,1,0
1537285709,1,0
1537290076,1,0
1537293884,1,0
1537297715,1,0
1537301557,2,0
1537313079,1,0
1537320972,1,1
1537334429,1,0
1537336341,0,1
1537340203,0,1
1537349783,0,1
1537355546,1,1
1537357482,1,0
1537359426,0,1
1537363236,0,1
1537365150,0,1
1537367072,0,2
1537371147,0,1
1537374981,0,1
1537380742,0,1
1537382684,0,1
1537388420,0,2
1537399949,0,1
1537407630,0,1
1537421085,0,1
1537442441,0,1
1537459749,2,0
1537461638,0,1
1537475077,1,0
1537478898,1,0
1537503876,1,0
1537509678,1,0
1537513471,1,0
1537517330,1,0
1537519240,1,0
1537529085,1,0
1537546606,2,2
1537562173,0,1
1537564129,0,1
1537566037,2,0
1537567959,1,0
1537569858,1,0
1537575648,1,0
1537590269,1,1
1537594361,1,0
1537596277,0,1
1537600115,0,1
1537603954,0,1
1537605870,0,1
1537615470,0,1
1537617383,1,0
1537623146,1,0
1537632780,0,2
1537634663,1,0
1537640422,1,0
1537648098,1,0
1537650082,1,0
1537651953,1,1
1537653886,0,2
1537657705,0,1
1537661545,0,1
1537667300,2,0
1537674981,1,1
1537678870,1,1
1537680751,1,0
1537686503,1,0
1537692266,1,0
1537703795,0,1
1537705704,1,0
1537721069,0,1
1537726821,0,1
1537730663,1,0
1537732744,1,0
1537734751,0,2
1537736671,0,1
1537738597,0,1
1537744341,1,0
1537753942,1,2
1537759696,1,0
1537761697,0,1
1537765465,0,2
1537773148,0,1
1537778901,0,1
1537790487,0,1
1537792361,1,0
1537796203,1,0
1537798126,1,0
1537817803,0,2
1537831221,0,1
1537840894,0,1
1537846574,0,1
1537856213,1,0
