DateTime,AddedIPs,RemovedIPs
1536896899,2,5
1536898851,3,3
1536900745,2,1
1536902682,1,0
1536904594,1,0
1536906526,3,2
1536908475,4,3
1536910610,4,1
1536912549,4,2
1536914458,4,2
1536916359,1,1
1536918271,1,3
1536920216,3,2
1536922099,2,2
1536924068,3,3
1536925951,6,2
1536928128,6,4
1536930077,1,3
1536931964,4,5
1536933869,1,1
1536935772,50,4
1536937739,1,2
1536939891,2,3
1536941802,3,7
1536943707,2,5
1536945627,2,3
1536947564,3,6
1536949468,1,3
1536951395,1,3
1536953328,4,5
1536955270,7,5
1536957156,7,1
1536959085,4,4
1536961015,2,3
1536962914,6,5
1536964865,2,3
1536967014,11,1
1536968896,9,5
1536970840,3,1
1536972762,6,2
1536974682,6,3
1536976570,4,4
1536978498,6,0
1536980475,2,0
1536982358,3,2
1536984297,2,2
1536986182,2,0
1536988123,4,2
1536990044,3,0
1536992212,2,3
1536994350,7,2
1536996511,1,5
1536998466,3,4
1537000360,4,3
1537002278,3,3
1537004204,3,2
1537006104,5,2
1537008038,2,5
1537009955,4,0
1537011873,2,7
1537013837,4,6
1537015970,3,3
1537017871,5,4
1537019799,2,2
1537021705,5,61
1537023673,4,1
1537025555,5,4
1537027541,3,1
1537029630,5,5
1537031569,2,2
1537033463,2,3
1537035420,6,1
1537037295,7,1
1537039250,6,4
1537041150,4,5
1537043080,7,7
1537044977,4,5
1537046938,4,2
1537048875,3,3
1537050771,1,5
1537052673,2,9
1537054624,3,7
1537056534,2,7
1537058447,7,5
1537060347,4,4
1537062284,1,5
1537064196,2,4
1537066099,2,4
1537068034,2,3
1537069947,1,3
1537071883,3,3
1537073775,5,2
1537075714,1,3
1537077666,2,2
1537079566,2,4
1537081479,6,3
1537083513,1,3
1537085337,2,3
1537087237,3,3
1537089159,2,4
1537091345,3,3
1537093253,0,7
1537095142,5,1
1537097088,5,4
1537098988,1,2
1537100930,2,5
1537103788,5,3
1537105697,4,2
1537107620,3,3
1537109544,3,5
1537111475,7,4
1537113397,3,4
1537115324,5,4
1537117241,2,2
1537119163,3,5
1537121060,9,6
1537123003,9,8
1537124924,3,2
1537126835,2,9
1537129008,2,4
1537131146,4,5
1537133069,4,3
1537134987,2,3
1537136886,3,1
1537138857,6,3
1537141012,4,3
1537143148,4,4
1537145066,2,6
1537146991,4,2
1537148916,1,2
1537150825,9,4
1537152751,3,1
1537154678,3,2
1537156589,5,1
1537158495,2,3
1537160469,3,4
1537162591,2,3
1537164506,1,0
1537166427,4,4
1537168351,2,6
1537170267,2,2
1537172198,2,2
1537174115,5,2
1537176030,2,2
1537177948,4,2
1537179874,3,1
1537181787,8,5
1537183700,2,3
1537185686,5,2
1537187563,5,1
1537189479,3,6
1537191393,4,2
1537193317,4,4
1537195253,5,1
1537197164,6,5
1537199087,2,6
1537201008,4,3
1537202917,2,1
1537204842,2,5
1537206757,3,7
1537208653,2,4
1537210596,6,5
1537212543,4,2
1537214463,5,2
1537216365,25,3
1537218268,1,2
1537220211,1,3
1537222124,6,2
1537224286,6,5
1537226212,2,6
1537228130,4,4
1537230575,6,2
1537232442,6,2
1537234349,4,4
1537236278,0,3
1537238173,3,10
1537240124,3,3
1537242046,3,3
1537243944,5,4
1537245856,3,3
1537247803,2,5
1537249692,5,1
1537251630,3,1
1537253558,4,4
1537255473,2,1
1537257395,5,2
1537259313,1,1
1537261288,5,6
1537263168,5,2
1537265091,1,4
1537266972,3,5
1537268935,7,8
1537271080,0,2
1537273007,5,8
1537275156,4,2
1537277070,4,3
1537279002,7,5
1537281153,7,6
1537283055,5,11
1537285251,7,2
1537287908,75,4
1537291010,7,5
1537292922,3,2
1537294844,3,0
