DateTime,AddedIPs,RemovedIPs
1536515555,24,2
1536523279,9,1
1536525166,0,4
1536527084,1,2
1536530896,1,0
1536534881,0,1
1536538828,1,0
1536540734,0,4
1536544576,1,0
1536548706,3,0
1536558303,1,0
1536566208,0,1
1536573872,0,1
1536575776,1,0
1536581574,0,1
1536585388,0,1
1536587337,1,0
1536591170,2,0
1536593082,1,0
1536596932,0,10
1536600767,9,9
1536602755,68,8
1536608449,1,6
1536610346,0,3
1536614501,0,1
1536618261,0,1
1536620232,4,0
1536624089,0,1
1536631714,0,1
1536635550,0,3
1536645163,0,1
1536660999,0,1
1536672504,0,1
1536678337,0,2
1536680429,0,1
1536684288,1,0
1536688279,0,84
1536694103,0,1
1536705874,0,3
1536707793,0,1
1536742350,1,0
1536760585,3,0
1536764675,3,0
1536768786,0,1
1536780267,1,0
1536787948,1,0
1536793710,1,0
1536799462,1,0
1536809062,1,0
1536815801,1,0
1536817727,1,0
1536823701,1,0
1536827552,0,1
1536831398,1,0
1536835218,4,0
1536837142,1,0
1536844832,1,0
1536846781,3,3
1536848669,5,0
1536850587,0,3
1536852502,2,0
1536856360,3,0
1536862112,5,0
1536864025,2,0
1536867887,0,1
1536869800,7,0
1536871969,1,0
1536875799,0,1
1536877705,7,0
1536879700,1,0
1536881541,0,1
1536887336,0,1
1536889247,6,0
1536891156,6,0
1536893057,1,0
1536895029,5,0
1536896901,1,1
1536898856,1,0
1536900747,1,0
1536902684,1,1
1536904596,0,1
1536910612,1,1
1536912551,8,0
1536918273,0,1
1536922101,0,5
1536931966,0,1
1536933871,3,4
1536935774,1,4
1536939893,5,2
1536941803,4,3
1536943709,1,0
1536945628,1,0
1536947566,0,4
1536949470,2,2
1536951396,0,1
1536953330,3,0
1536955278,2,5
1536957158,0,2
1536959087,0,1
1536961017,5,0
1536962916,2,2
1536964867,1,5
1536967015,68,1
1536976572,0,12
1536980499,5,5
1536982360,0,1
1536984320,0,2
1536986184,0,1
1536988125,3,0
1536990045,7,1
1536992214,6,0
1536994352,3,0
1536996513,1,1
1536998486,0,8
1537002280,1,0
1537011875,4,0
1537013839,5,0
1537015972,1,0
1537017873,1,0
1537019801,7,3
1537021707,8,0
1537023688,1,1
1537025557,4,0
1537027543,2,9
1537029634,8,1
1537031572,2,0
1537033465,0,1
1537035422,0,2
1537039252,6,2
1537041151,1,3
1537043082,3,0
1537044979,1,0
1537046940,0,2
1537048928,0,5
1537050772,1,0
1537052675,0,63
1537054626,0,5
1537056536,5,0
1537062286,3,0
1537064198,3,0
1537066101,8,4
1537068036,1,1
1537069949,3,0
1537071885,2,0
1537073777,0,3
1537075716,2,0
1537077690,8,9
1537079568,2,7
1537081482,1,1
1537083515,1,0
1537085339,1,0
1537089162,12,1
1537097090,3,4
1537098990,0,5
1537100932,7,0
1537102879,7,2
1537104776,1,0
1537106702,0,9
1537108617,0,8
1537110529,6,0
1537112450,0,4
1537114401,4,2
1537116278,3,8
1537118206,0,2
1537120350,1,0
1537124493,3,0
1537126352,3,7
1537128320,1,0
1537130175,1,4
1537132120,14,0
1537134019,1,0
1537136205,5,1
1537138125,15,0
1537140029,7,0
1537142187,0,5
1537144106,9,0
1537146090,2,0
1537147950,0,3
1537149866,4,1
1537151814,2,10
1537153955,0,1
1537155891,0,3
1537157793,4,2
1537159728,4,0
1537163576,1,9
1537165476,0,3
1537167401,3,1
1537169302,0,1
1537171288,1,1
1537173165,1,0
1537175091,1,8
1537176993,4,4
1537178928,12,0
1537180837,1,0
1537182767,2,3
1537184670,1,0
1537186616,5,7
1537188519,2,3
1537190450,5,5
1537192354,2,0
1537194542,4,0
1537196680,0,6
1537200554,0,4
1537202543,0,3
1537204349,3,0
1537206271,3,1
1537208208,3,0
1537210113,0,3
1537212028,0,3
1537213955,6,1
1537215864,7,0
1537217810,4,15
1537219708,6,1
1537221709,1,0
1537223740,23,18
1537225706,18,9
1537227634,1,0
1537229555,14,9
1537231476,1,0
1537233401,0,2
1537235312,3,3
1537237249,1,1
1537239143,0,2
1537244920,0,8
1537246881,13,0
1537248771,0,1
1537252583,3,0
1537254529,0,3
1537258468,5,2
1537260289,2,0
1537262213,5,4
1537264130,1,12
1537266042,3,2
1537267945,5,0
1537270119,7,3
1537272097,6,0
1537273967,1,5
1537275879,13,4
1537278072,2,5
1537279977,3,3
1537281877,0,1
1537285710,3,0
1537287909,3,0
1537290085,1,3
1537293886,5,4
1537295770,4,2
1537297716,1,0
1537299614,2,3
1537301557,2,9
1537303476,7,2
1537305378,3,7
1537307303,2,2
1537309235,5,7
1537311154,6,32
1537313079,4,0
1537314982,4,5
1537317160,0,11
1537322916,0,3
1537324845,0,1
1537326740,4,0
1537332496,1,13
1537334430,6,0
1537336342,3,0
1537338273,1,0
1537340203,1,3
1537342356,6,0
1537344258,4,5
1537346058,2,2
1537347874,2,3
1537349784,3,3
1537351725,0,3
1537353670,3,4
1537355547,13,2
1537357482,4,10
1537359426,0,3
1537361301,0,9
1537363236,0,9
1537365150,8,2
1537367073,2,1
1537371147,0,2
1537373113,4,4
1537374981,1,0
1537376906,4,1
1537378823,2,0
1537380743,0,8
1537382685,7,1
1537384594,2,1
1537386503,2,2
1537388421,14,4
1537390352,14,7
1537392266,7,3
1537394186,3,1
1537396100,2,4
1537398105,8,10
1537399949,0,1
1537401883,0,3
1537403791,5,0
1537409546,5,0
1537411463,2,0
1537413386,1,4
1537415337,4,0
1537417225,2,0
1537419166,3,1
1537421086,1,8
1537423021,5,1
1537424900,1,1
1537426890,2,5
1537428747,1,2
1537430717,2,4
1537432827,4,4
1537434758,0,1
1537436663,0,2
1537438592,0,1
1537440508,6,9
1537442442,5,8
1537444366,2,2
1537446277,5,0
1537452074,3,9
1537453946,4,1
1537455878,3,0
1537457792,3,0
1537459750,0,4
1537461638,5,1
1537463554,2,6
1537465483,1,0
1537467399,7,0
1537469305,0,7
1537471234,3,2
1537473147,1,5
1537475078,1,17
1537476984,0,8
1537478898,0,7
1537480840,4,3
1537482751,2,2
1537484666,10,8
1537486600,10,0
1537488511,26,0
1537490430,49,5
1537492352,1,0
1537494268,0,2
1537496218,2,4
1537498102,0,2
1537500051,6,0
1537502000,4,4
1537503876,0,2
1537505786,0,3
1537507726,2,1
1537509679,2,6
1537513472,1,2
1537515399,0,1
1537517331,4,2
1537519241,0,4
1537521424,3,0
1537523331,3,0
1537525242,7,0
1537527168,0,8
1537529086,1,3
1537530997,2,4
1537532920,0,3
1537536762,1,1
1537538702,5,3
1537540605,7,5
1537542523,0,1
1537544435,1,3
1537546607,3,1
1537548744,0,6
1537550677,4,0
1537552576,10,1
1537554513,1,7
1537556442,4,0
1537558362,3,3
1537560265,2,2
1537562174,1,0
1537566037,1,0
1537567959,0,4
1537569858,3,4
1537571808,0,11
1537573723,0,24
1537575649,0,58
1537577802,3,0
1537580443,4,1
1537582362,5,2
1537584279,13,0
1537586206,68,5
1537588349,10,5
1537592168,3,0
1537594362,1,2
1537596279,5,2
1537598189,2,0
1537600115,14,1
1537603955,1,4
1537607793,0,3
1537609706,1,3
1537611623,0,7
1537615471,9,1
1537617384,4,2
1537619299,2,0
1537623147,1,1
1537625074,4,5
1537626996,1,7
1537630823,0,1
1537632781,2,3
1537636590,0,1
1537638510,0,12
1537640431,2,1
1537642344,7,4
1537644262,0,4
1537646200,6,2
1537648099,4,1
1537650085,5,0
1537651954,0,1
1537653887,8,0
1537655781,6,3
1537657706,4,0
1537659623,6,0
1537661546,5,0
1537663468,0,3
1537665396,2,1
1537667301,0,6
1537669274,3,2
1537671143,0,16
1537673065,0,75
1537676903,2,0
1537678888,6,4
1537682717,1,5
1537684608,0,2
1537686504,0,14
1537690350,0,1
1537692267,2,0
1537694197,4,0
1537696106,4,1
1537698026,3,0
1537699945,6,0
1537701862,0,9
1537703795,0,4
1537705705,0,2
1537707673,6,0
1537709546,1,1
1537711467,0,4
1537713399,0,1
1537717219,10,0
1537719180,0,2
1537722992,1,0
1537726822,0,2
1537728759,4,7
1537730663,8,0
1537732744,3,6
1537734751,0,4
1537736672,6,5
1537738598,11,0
1537740505,0,9
1537742424,2,5
1537744342,4,4
1537746262,0,7
1537748198,0,4
1537752020,0,2
1537755861,0,3
1537759697,1,0
1537763550,0,4
1537765465,0,4
1537767393,1,0
1537769307,6,1
1537771221,2,0
1537773148,9,0
1537776994,5,0
1537778901,0,2
1537780821,0,4
1537782842,13,4
1537784672,0,3
1537786600,0,6
1537794286,0,6
1537796204,0,1
1537798127,1,0
1537801963,1,0
1537803861,0,10
1537805813,2,0
1537807704,10,0
1537809873,2,1
1537811796,2,0
1537815901,7,8
1537817804,3,4
1537819728,0,3
1537823556,0,11
1537825461,10,6
1537827398,2,1
1537829299,0,4
1537831222,0,1
1537844685,5,0
1537846574,0,1
1537848523,5,0
1537850443,2,0
1537852343,4,0
1537854258,5,1
1537856213,3,6
1537858098,2,2
1537860040,2,9
1537861982,3,0
1537863877,1,5
1537865777,3,0
1537869672,0,13
