DateTime,AddedIPs,RemovedIPs
1536715485,0,3
1536717392,0,1
1536719311,2,1
1536723153,1,0
1536725143,0,1
1536727002,0,1
1536728935,1,0
1536730824,1,0
1536732774,1,1
1536738517,0,2
1536740428,0,1
1536742351,0,2
1536744301,1,2
1536746224,1,2
1536748121,0,1
1536750993,2,1
1536752911,1,1
1536754830,0,1
1536758671,2,1
1536760586,1,0
1536764676,0,1
1536766530,1,0
1536768786,1,0
1536770684,0,1
1536772597,1,1
1536774527,2,0
1536776421,2,2
1536780267,0,3
1536782204,2,2
1536784104,0,4
1536786091,1,3
1536787948,3,0
1536791780,0,1
1536793710,1,1
1536795621,1,1
1536797540,2,1
1536799462,1,1
1536801399,1,1
1536803302,3,0
1536805223,1,1
1536807156,1,1
1536809063,1,0
1536811018,1,1
1536812901,1,1
1536815801,1,1
1536817727,0,1
1536819621,2,1
1536821662,2,0
1536823701,1,1
1536825689,0,1
1536827552,2,0
1536831399,0,2
1536833319,0,1
1536837143,0,2
1536839071,3,0
1536841023,1,0
1536842906,1,0
1536844832,1,2
1536846781,3,2
1536848670,5,1
1536852502,2,1
1536854485,2,0
1536860209,2,4
1536862112,2,2
1536865955,2,0
1536869800,1,1
1536871970,1,0
1536873865,1,0
1536875799,3,1
1536877706,1,0
1536879700,2,1
1536881541,2,1
1536883495,1,0
1536885425,0,1
1536887336,5,1
1536889248,1,1
1536893057,1,0
1536895029,0,1
1536896901,1,3
1536900747,2,1
1536902684,1,0
1536904596,2,0
1536906528,0,2
1536908484,2,2
1536910613,1,0
1536912552,1,0
1536914461,1,1
1536916361,1,2
1536918281,2,0
1536920219,0,1
1536922101,0,1
1536924070,1,2
1536928130,1,1
1536930093,1,1
1536931967,0,2
1536933872,1,5
1536935774,0,3
1536937742,0,1
1536939894,1,1
1536941804,0,2
1536943709,2,0
1536947566,0,1
1536949470,1,0
1536953330,1,2
1536957158,0,2
1536959088,1,2
1536961017,2,2
1536962916,0,2
1536964867,4,2
1536967016,4,3
1536968898,1,1
1536970841,1,1
1536972764,0,1
1536974684,2,5
1536978500,2,0
1536980500,0,3
1536984320,2,1
1536990046,1,0
1536992215,0,1
1536994352,1,2
1536996514,0,1
1536998487,1,0
1537000363,1,1
1537004207,0,2
1537006107,1,1
1537008040,2,0
1537011875,0,1
1537013839,0,1
1537015972,1,1
1537017873,4,1
1537019801,9,1
1537021708,3,2
1537023689,1,0
1537025557,2,1
1537027544,3,2
1537029634,0,2
1537033466,1,0
1537035423,1,0
1537037297,1,1
1537039253,4,0
1537041152,3,1
1537046940,1,0
1537048928,2,0
1537050773,1,2
1537052675,0,2
1537054626,1,0
1537056536,3,0
1537060349,3,2
1537062286,1,2
1537064198,0,3
1537066101,1,1
1537068037,1,0
1537069949,0,2
1537071885,0,1
1537075716,0,2
1537085339,1,0
1537087239,0,2
1537089162,0,2
1537091347,4,0
1537093255,0,2
1537095145,0,3
1537097090,1,0
1537098991,0,1
1537100932,1,1
1537102881,6,1
1537104777,1,7
1537106703,0,6
1537108618,0,2
1537110529,0,1
1537112450,0,3
1537114401,0,2
1537116278,3,1
1537120350,2,2
1537122254,3,1
1537124494,1,2
1537126352,3,5
1537128320,0,1
1537130183,0,2
1537132120,1,1
1537134019,1,0
1537136206,4,2
1537138126,2,1
1537140029,1,0
1537142188,0,3
1537144106,1,2
1537146091,5,2
1537147950,3,1
1537149867,1,2
1537151815,1,2
1537153956,0,1
1537157794,1,0
1537161638,2,0
1537165476,0,1
1537167401,1,0
1537169303,1,0
1537171289,0,1
1537175092,1,0
1537176993,0,1
1537178928,0,1
1537180837,1,0
1537182767,1,0
