DateTime,Entries,UniqueIPs
1536715485,78,78
1536717392,77,77
1536719311,78,78
1536723153,79,79
1536725143,78,78
1536727002,77,77
1536728935,78,78
1536730824,79,79
1536732774,79,79
1536738517,77,77
1536740428,76,76
1536742351,74,74
1536744301,73,73
1536746224,72,72
1536748121,71,71
1536750993,72,72
1536752911,72,72
1536754830,71,71
1536758671,72,72
1536760586,73,73
1536764676,72,72
1536766530,73,73
1536768786,74,74
1536770684,73,73
1536772597,73,73
1536774527,75,75
1536776421,75,75
1536780267,72,72
1536782204,72,72
1536784104,68,68
1536786091,66,66
1536787948,69,69
1536791780,68,68
1536793710,68,68
1536795621,68,68
1536797540,69,69
1536799462,69,69
1536801399,69,69
1536803302,72,72
1536805223,72,72
1536807156,72,72
1536809063,73,73
1536811018,73,73
1536812901,73,73
1536815801,73,73
1536817727,72,72
1536819621,73,73
1536821662,75,75
1536823701,75,75
1536825689,74,74
1536827552,76,76
1536831399,74,74
1536833319,73,73
1536837143,71,71
1536839071,74,74
1536841023,75,75
1536842906,76,76
1536844832,75,75
1536846781,76,76
1536848670,80,80
1536852502,81,81
1536854485,83,83
1536860209,81,81
1536862112,81,81
1536865955,83,83
1536869800,83,83
1536871970,84,84
1536873865,85,85
1536875799,87,87
1536877706,88,88
1536879700,89,89
1536881541,90,90
1536883495,91,91
1536885425,90,90
1536887336,94,94
1536889248,94,94
1536893057,95,95
1536895029,94,94
1536896901,92,92
1536900747,93,93
1536902684,94,94
1536904596,96,96
1536906528,94,94
1536908484,94,94
1536910613,95,95
1536912552,96,96
1536914461,96,96
1536916361,95,95
1536918281,97,97
1536920219,96,96
1536922101,95,95
1536924070,94,94
1536928130,94,94
1536930093,94,94
1536931967,92,92
1536933872,88,88
1536935774,85,85
1536937742,84,84
1536939894,84,84
1536941804,82,82
1536943709,84,84
1536947566,83,83
1536949470,84,84
1536953330,83,83
1536957158,81,81
1536959088,80,80
1536961017,80,80
1536962916,78,78
1536964867,80,80
1536967016,81,81
1536968898,81,81
1536970841,81,81
1536972764,80,80
1536974684,77,77
1536978500,79,79
1536980500,76,76
1536984320,77,77
1536990046,78,78
1536992215,77,77
1536994352,76,76
1536996514,75,75
1536998487,76,76
1537000363,76,76
1537004207,74,74
1537006107,74,74
1537008040,76,76
1537011875,75,75
1537013839,74,74
1537015972,74,74
1537017873,77,77
1537019801,85,85
1537021708,86,86
1537023689,87,87
1537025557,88,88
1537027544,89,89
1537029634,87,87
1537033466,88,88
1537035423,89,89
1537037297,89,89
1537039253,93,93
1537041152,95,95
1537046940,96,96
1537048928,98,98
1537050773,97,97
1537052675,95,95
1537054626,96,96
1537056536,99,99
1537060349,100,100
1537062286,99,99
1537064198,96,96
1537066101,96,96
1537068037,97,97
1537069949,95,95
1537071885,94,94
1537075716,92,92
1537085339,93,93
1537087239,91,91
1537089162,89,89
1537091347,93,93
1537093255,91,91
1537095145,88,88
1537097090,89,89
1537098991,88,88
1537100932,88,88
1537102881,93,93
1537104777,87,87
1537106703,81,81
1537108618,79,79
1537110529,78,78
1537112450,75,75
1537114401,73,73
1537116278,75,75
1537120350,75,75
1537122254,77,77
1537124494,76,76
1537126352,74,74
1537128320,73,73
1537130183,71,71
1537132120,71,71
1537134019,72,72
1537136206,74,74
1537138126,75,75
1537140029,76,76
1537142188,73,73
1537144106,72,72
1537146091,75,75
1537147950,77,77
1537149867,76,76
1537151815,75,75
1537153956,74,74
1537157794,75,75
1537161638,77,77
1537165476,76,76
1537167401,77,77
1537169303,78,78
1537171289,77,77
1537175092,78,78
1537176993,77,77
1537178928,76,76
1537180837,77,77
1537182767,78,78
1537184670,79,79
1537188519,80,80
1537190451,78,78
1537192354,75,75
1537194543,77,77
1537196681,80,80
1537198596,83,83
1537200554,82,82
1537202543,82,82
1537204349,82,82
