DateTime,AddedIPs,RemovedIPs
1536895030,2,0
1536896902,0,5
1536898857,1,2
1536900748,386,3
1536902684,2,24
1536904596,0,15
1536906529,3,2
1536908485,399,3
1536910613,7,3
1536912552,2,3
1536914461,4,2
1536916361,0,1
1536918282,490,3
1536920219,2,2
1536922101,1,2
1536924071,2,2
1536925953,1,0
1536928130,2,3
1536930093,4,43
1536931967,1,1
1536933872,2,1
1536935775,3,70
1536937742,3,0
1536939894,2,3
1536941804,1,1372
1536943709,1,1
1536945629,2,149
1536947566,4,2
1536949470,5,1
1536951397,3,1
1536953331,2488,7
1536955279,818,2
1536957159,5,1
1536959088,4,40
1536962917,8,1
1536964868,291,1
1536967016,26,82
1536968898,4,1
1536970842,2,6
1536972764,1,0
1536974684,774,0
1536976573,865,0
1536978501,1017,2
1536980500,412,1
1536982361,4,0
1536984322,1,0
1536986185,10,63
1536988126,1,314
1536990046,5,0
1536992215,5,3
1536994353,2,265
1536996514,4,4
1536998489,5,3
1537000364,2,3
1537002281,7,0
1537004207,4,545
1537006108,2,1
1537008048,3,1
1537009958,544,0
1537011876,1,1
1537013839,2,1
1537015972,4,2
1537017874,8,1
1537019802,3,2
1537021708,2,2
1537023689,3,1
1537025558,7,2
1537027546,5,1
1537029635,6,1
1537031574,3,22
1537033466,38,2
1537035423,5,2
1537037298,5,1
1537039253,3,1127
1537041152,6,1083
1537043083,4,4
1537044980,5,4
1537046941,37,11
1537048930,3,23
1537050773,9,76
1537052676,4,390
1537054627,3,6
1537056537,4,1
1537058450,1,3
1537060350,2,556
1537062287,8,1320
1537064199,5,1088
1537066102,1,837
1537068037,4,6
1537069949,4,3
1537071885,1,18
1537073778,42,1
1537075716,8,4
1537077690,14,7
1537079568,312,2
1537081482,40,5
1537083516,5,4
1537085339,93,8
1537087240,84,5
1537089162,5,10
1537091348,5,9
1537093256,14,3
1537095145,5,900
1537097090,6,5
1537098991,2,2
1537100933,4,5
1537102881,2,5
1537104783,45,10
1537106703,5,5
1537108618,1,4
1537110530,2,3
1537112451,103,8
1537114401,7,6
1537116279,1,2
1537118206,0,2
1537120351,1182,7
1537122255,313,2
1537124494,10,7
1537126353,4,5
1537128321,3,5
1537130184,3,39
1537132120,4,6
1537134020,164,36
1537136206,0,7
1537138126,4,6
1537140030,2,2
1537142188,5,4
1537144107,2,3
1537146092,2,1
1537147951,2,1
1537149867,2,8
1537151815,5,3
1537153956,1,3
1537155892,102,364
1537157794,265,0
1537159728,7,6
1537161639,2,7
1537163577,33,4
1537165477,4,94
1537167402,14,42
1537169303,35,3
1537171289,1,6
1537173166,0,93
1537175092,4,5
1537176994,57,7
1537178929,1,2
1537180837,1,6
1537182767,1,68
1537184671,0,2
1537186617,3,1
1537188520,1,3
1537190451,4,2
1537192355,25,2
1537194543,1057,5
1537196681,2,1
1537198596,2,22
1537200555,5,6
1537202544,4,1
1537204350,2,0
1537206272,83,292
1537208209,2,570
1537210114,0,8
1537212028,7,3
1537213955,5,2
1537215865,1,3
1537217811,2,3
1537219709,7,173
1537221710,3,1
1537223740,4,5
1537225707,1,4
1537227635,1,3
1537229556,2,1
1537231476,0,3
1537233402,2,1
1537235313,1,2
1537237250,0,5
1537239144,3,1
1537241083,6,0
1537242975,1,369
1537244920,3,3
1537246885,2,2
1537248772,0,17
1537250675,3,21
1537252584,2,8
1537254530,47,41
1537256460,5,1
1537258468,0,2
1537260290,3,2
1537262214,2,49
1537264131,1,3
1537266042,0,9
1537267946,9,1
1537270120,16,0
1537272099,5,1
1537273968,3,2
1537275881,43,5
1537278073,3,18
1537279978,0,6
1537281878,2,2
1537283813,4,1655
1537285711,4,244
1537287910,3,4
1537290092,4,4
1537291966,3,7
1537293889,2,86
1537295779,1,0
1537297717,2,3
1537299615,17,8
1537301558,156,4
1537303477,1785,1
1537305379,57,5
1537307304,4,5
1537309236,2,2
1537311154,4,4
1537313080,1,1
1537314983,4,1
1537317161,23,3
1537319067,3,2
1537320973,5,1
1537322916,51,1
1537324846,44,2
1537326741,2,6
1537328658,5,2
1537330596,80,3
1537332496,298,157
1537334431,5,1
1537336343,2,3
1537338273,3,2
1537340204,37,43
1537342357,2,5
1537344259,4,2
1537346059,1,2
1537347875,1,1
1537349784,581,0
1537351725,5,1
1537353671,1,4
1537355547,0,5
1537357483,0,3
1537359427,5,4
1537361301,2,1
1537363237,2,26
1537365151,3,2
1537368991,3,2
1537371148,2,4
1537373114,4,1
1537374982,2,2
1537376907,4,3
1537378824,1,5
1537380744,2,1
1537384595,3,3
1537386503,0,16
1537388422,0,1
1537390353,2,1657
1537392267,1,3
1537394186,4,4
1537396101,5,3
1537398114,4,1
1537399950,4,2
1537401884,4,22
1537403791,3,5
1537405717,3,3
1537407632,1,5
1537409547,6,4
1537411463,6,7
1537413387,5,85
1537415337,6,5
1537417226,4,209
1537419166,4,162
1537421087,4,18
1537423022,85,4
1537424900,4,174
1537426891,4,32
1537428751,9,1
1537430718,4,3
1537432828,0,1
1537434759,4,1
1537436664,2,3
1537438593,5,2
1537440509,1,2
1537442442,6,7
1537444366,2,1
1537446277,2,4
1537448190,8,3
1537450100,2,1
1537452082,4,1004
1537453947,0,2
1537455879,3,1
1537457793,0,3
1537459751,6,3
1537461639,7,3
1537463555,6,4
1537465483,156,2
1537467400,3363,1
1537469306,232,1
1537471235,2,2
1537473148,3,0
1537475078,6,0
1537476985,1,1
1537478899,5,3
1537480843,4,7
1537482752,7,26
1537484666,25,1
1537486601,7,2
1537488512,2,3
1537490431,6,0
1537492352,6,2
1537494269,8,0
1537496218,2,2
1537498103,4,5
1537500052,2,1
1537502001,2,0
1537503877,4,0
1537505787,6,3
1537507727,2,1
1537509680,2,86
1537511551,3,2
1537513472,7,69
1537515399,3,9
1537517332,7,3
1537519241,7,0
1537521425,4,0
1537523332,3,2
1537525242,1,3
1537527169,7,1
1537529087,3,3
1537530998,1,2
1537532921,4,1
1537534873,5,5
1537536763,5,32
1537538703,5,3
1537540606,5,1
1537542524,3,2
1537544436,907,0
1537546607,177,3
1537548744,4,6
1537550678,8,2
1537552577,3,0
1537554514,3,9
1537556443,45,1
1537558362,3,723
1537560266,1,2186
1537562174,6,5
1537564130,4,2
1537566038,190,3
1537567960,4,9
1537569859,6,1
1537571808,9,1
1537573723,0,5
1537575649,6,3
1537577803,3,6
1537580444,4,10
1537582363,8,0
1537584279,7,4
1537586207,6,2
1537588350,4,2
1537590270,2,4
1537592168,2,4
1537594362,4,2
1537596292,2,4
1537598189,2,3
1537600116,5,6
1537602040,2,0
1537603955,5,7
1537605871,3,12
1537607794,2,3
1537609706,0,2
