DateTime,Entries,UniqueIPs
1536895030,2992,2992
1536896902,2987,2987
1536898857,2986,2986
1536900748,3369,3369
1536902684,3347,3347
1536904596,3332,3332
1536906529,3333,3333
1536908485,3729,3729
1536910613,3733,3733
1536912552,3732,3732
1536914461,3734,3734
1536916361,3733,3733
1536918282,4220,4220
1536920219,4220,4220
1536922101,4219,4219
1536924071,4219,4219
1536925953,4220,4220
1536928130,4219,4219
1536930093,4180,4180
1536931967,4180,4180
1536933872,4181,4181
1536935775,4114,4114
1536937742,4117,4117
1536939894,4116,4116
1536941804,2745,2745
1536943709,2745,2745
1536945629,2598,2598
1536947566,2600,2600
1536949470,2604,2604
1536951397,2606,2606
1536953331,5087,5087
1536955279,5903,5903
1536957159,5907,5907
1536959088,5871,5871
1536962917,5878,5878
1536964868,6168,6168
1536967016,6112,6112
1536968898,6115,6115
1536970842,6111,6111
1536972764,6112,6112
1536974684,6886,6886
1536976573,7751,7751
1536978501,8766,8766
1536980500,9177,9177
1536982361,9181,9181
1536984322,9182,9182
1536986185,9129,9129
1536988126,8816,8816
1536990046,8821,8821
1536992215,8823,8823
1536994353,8560,8560
1536996514,8560,8560
1536998489,8562,8562
1537000364,8561,8561
1537002281,8568,8568
1537004207,8027,8027
1537006108,8028,8028
1537008048,8030,8030
1537009958,8574,8574
1537011876,8574,8574
1537013839,8575,8575
1537015972,8577,8577
1537017874,8584,8584
1537019802,8585,8585
1537021708,8585,8585
1537023689,8587,8587
1537025558,8592,8592
1537027546,8596,8596
1537029635,8601,8601
1537031574,8582,8582
1537033466,8618,8618
1537035423,8621,8621
1537037298,8625,8625
1537039253,7501,7501
1537041152,6424,6424
1537043083,6424,6424
1537044980,6425,6425
1537046941,6451,6451
1537048930,6431,6431
1537050773,6364,6364
1537052676,5978,5978
1537054627,5975,5975
1537056537,5978,5978
1537058450,5976,5976
1537060350,5422,5422
1537062287,4110,4110
1537064199,3027,3027
1537066102,2191,2191
1537068037,2189,2189
1537069949,2190,2190
1537071885,2173,2173
1537073778,2214,2214
1537075716,2218,2218
1537077690,2225,2225
1537079568,2535,2535
1537081482,2570,2570
1537083516,2571,2571
1537085339,2656,2656
1537087240,2735,2735
1537089162,2730,2730
1537091348,2726,2726
1537093256,2737,2737
1537095145,1842,1842
1537097090,1843,1843
1537098991,1843,1843
1537100933,1842,1842
1537102881,1839,1839
1537104783,1874,1874
1537106703,1874,1874
1537108618,1871,1871
1537110530,1870,1870
1537112451,1965,1965
1537114401,1966,1966
1537116279,1965,1965
1537118206,1963,1963
1537120351,3138,3138
1537122255,3449,3449
1537124494,3452,3452
1537126353,3451,3451
1537128321,3449,3449
1537130184,3413,3413
1537132120,3411,3411
1537134020,3539,3539
1537136206,3532,3532
1537138126,3530,3530
1537140030,3530,3530
1537142188,3531,3531
1537144107,3530,3530
1537146092,3531,3531
1537147951,3532,3532
1537149867,3526,3526
1537151815,3528,3528
1537153956,3526,3526
1537155892,3264,3264
1537157794,3529,3529
1537159728,3530,3530
1537161639,3525,3525
1537163577,3554,3554
1537165477,3464,3464
1537167402,3436,3436
1537169303,3468,3468
1537171289,3463,3463
1537173166,3370,3370
1537175092,3369,3369
1537176994,3419,3419
1537178929,3418,3418
1537180837,3413,3413
1537182767,3346,3346
1537184671,3344,3344
1537186617,3346,3346
1537188520,3344,3344
1537190451,3346,3346
1537192355,3369,3369
1537194543,4421,4421
1537196681,4422,4422
1537198596,4402,4402
1537200555,4401,4401
1537202544,4404,4404
1537204350,4406,4406
1537206272,4197,4197
1537208209,3629,3629
1537210114,3621,3621
1537212028,3625,3625
1537213955,3628,3628
1537215865,3626,3626
1537217811,3625,3625
1537219709,3459,3459
1537221710,3461,3461
1537223740,3460,3460
1537225707,3457,3457
1537227635,3455,3455
1537229556,3456,3456
1537231476,3453,3453
1537233402,3454,3454
