DateTime,AddedIPs,RemovedIPs
1536898858,1,2
1536900748,386,3
1536902685,2,25
1536904597,0,15
1536906529,4,3
1536908485,399,3
1536910614,8,4
1536912552,3,5
1536914462,4,4
1536916362,1,3
1536918282,492,3
1536920220,2,3
1536922102,2,2
1536924071,2,4
1536925954,5,0
1536928130,2,3
1536930094,6,43
1536931968,3,1
1536933873,2,4
1536935775,3,70
1536937743,3,1
1536939894,2,3
1536941804,3,1372
1536943710,3,1
1536945630,3,150
1536947567,4,3
1536949471,5,3
1536951397,3,1
1536953332,2488,8
1536955280,818,3
1536957159,5,1
1536959089,5,41
1536962917,8,1
1536964868,292,2
1536967017,26,84
1536968899,4,2
1536970842,2,6
1536972765,4,0
1536974685,775,0
1536976573,866,1
1536978501,1019,3
1536980501,410,2
1536982361,4,0
1536984332,4,1
1536986185,7,65
1536988127,1,312
1536990047,6,0
1536992216,6,4
1536994354,4,265
1536996515,4,4
1536998489,7,4
1537000365,2,4
1537002282,7,0
1537004208,4,547
1537006109,2,1
1537008049,3,1
1537009958,544,1
1537011877,1,5
1537013840,2,1
1537015973,5,2
1537017874,9,4
1537019802,3,2
1537021709,5,2
1537023691,5,1
1537025559,7,2
1537027547,5,3
1537029636,7,2
1537031575,4,24
1537033467,38,2
1537035424,5,2
1537037298,6,1
1537039254,3,1127
1537041153,7,1081
1537043083,4,4
1537044980,5,5
1537046941,38,11
1537048931,3,23
1537050774,9,76
1537052676,5,390
1537054627,4,7
1537056537,4,1
1537058450,1,5
1537060350,2,558
1537062288,9,1320
1537064199,5,1090
1537066103,1,836
1537068038,4,6
1537069950,4,3
1537071886,1,17
1537073778,43,1
1537075717,10,5
1537077691,16,7
1537079569,311,5
1537081483,41,5
1537083516,5,7
1537085340,93,8
1537087240,84,5
1537089163,6,11
1537091348,5,9
1537093256,15,3
1537095145,8,900
1537097091,6,5
1537098991,4,2
1537100933,5,5
1537102882,3,6
1537104783,46,11
1537106703,7,5
1537108619,3,7
1537110530,3,5
1537112452,103,8
1537114402,9,6
1537116279,1,3
1537118207,3,3
1537120351,1183,7
1537122255,312,2
1537124495,13,8
1537126353,4,5
1537128322,2,6
1537130184,3,39
1537132121,4,6
1537134020,165,36
1537136207,1,7
1537138127,6,7
1537140030,3,3
1537142189,9,4
1537144107,4,4
1537146093,2,1
1537147951,2,2
1537149868,3,8
1537151815,6,3
1537153957,2,3
1537155892,103,364
1537157795,267,0
1537159729,7,7
1537161639,5,8
1537163578,34,4
1537165477,5,94
1537167402,16,45
1537169304,35,4
1537171289,1,6
1537173166,1,92
1537175093,4,6
1537176994,57,8
1537178929,3,3
1537180838,1,8
1537182768,5,68
1537184671,0,3
1537186617,3,3
