DateTime,Entries,UniqueIPs
1536898858,3017,3017
1536900748,3400,3400
1536902685,3377,3377
1536904597,3362,3362
1536906529,3363,3363
1536908485,3759,3759
1536910614,3763,3763
1536912552,3761,3761
1536914462,3761,3761
1536916362,3759,3759
1536918282,4248,4248
1536920220,4247,4247
1536922102,4247,4247
1536924071,4245,4245
1536925954,4250,4250
1536928130,4249,4249
1536930094,4212,4212
1536931968,4214,4214
1536933873,4212,4212
1536935775,4145,4145
1536937743,4147,4147
1536939894,4146,4146
1536941804,2777,2777
1536943710,2779,2779
1536945630,2632,2632
1536947567,2633,2633
1536949471,2635,2635
1536951397,2637,2637
1536953332,5117,5117
1536955280,5932,5932
1536957159,5936,5936
1536959089,5900,5900
1536962917,5907,5907
1536964868,6197,6197
1536967017,6139,6139
1536968899,6141,6141
1536970842,6137,6137
1536972765,6141,6141
1536974685,6916,6916
1536976573,7781,7781
1536978501,8797,8797
1536980501,9205,9205
1536982361,9209,9209
1536984332,9212,9212
1536986185,9154,9154
1536988127,8843,8843
1536990047,8849,8849
1536992216,8851,8851
1536994354,8590,8590
1536996515,8590,8590
1536998489,8593,8593
1537000365,8591,8591
1537002282,8598,8598
1537004208,8055,8055
1537006109,8056,8056
1537008049,8058,8058
1537009958,8601,8601
1537011877,8597,8597
1537013840,8598,8598
1537015973,8601,8601
1537017874,8606,8606
1537019802,8607,8607
1537021709,8610,8610
1537023691,8614,8614
1537025559,8619,8619
1537027547,8621,8621
1537029636,8626,8626
1537031575,8606,8606
1537033467,8642,8642
1537035424,8645,8645
1537037298,8650,8650
1537039254,7526,7526
1537041153,6452,6452
1537043083,6452,6452
1537044980,6452,6452
1537046941,6479,6479
1537048931,6459,6459
1537050774,6392,6392
1537052676,6007,6007
1537054627,6004,6004
1537056537,6007,6007
1537058450,6003,6003
1537060350,5447,5447
1537062288,4136,4136
1537064199,3051,3051
1537066103,2216,2216
1537068038,2214,2214
1537069950,2215,2215
1537071886,2199,2199
1537073778,2241,2241
1537075717,2246,2246
1537077691,2255,2255
1537079569,2561,2561
1537081483,2597,2597
1537083516,2595,2595
1537085340,2680,2680
1537087240,2759,2759
1537089163,2754,2754
1537091348,2750,2750
1537093256,2762,2762
1537095145,1870,1870
1537097091,1871,1871
1537098991,1873,1873
1537100933,1873,1873
1537102882,1870,1870
1537104783,1905,1905
1537106703,1907,1907
1537108619,1903,1903
1537110530,1901,1901
1537112452,1996,1996
1537114402,1999,1999
1537116279,1997,1997
1537118207,1997,1997
1537120351,3173,3173
1537122255,3483,3483
1537124495,3488,3488
1537126353,3487,3487
1537128322,3483,3483
1537130184,3447,3447
1537132121,3445,3445
1537134020,3574,3574
1537136207,3568,3568
1537138127,3567,3567
1537140030,3567,3567
1537142189,3572,3572
1537144107,3572,3572
1537146093,3573,3573
1537147951,3573,3573
1537149868,3568,3568
1537151815,3571,3571
1537153957,3570,3570
1537155892,3309,3309
1537157795,3576,3576
1537159729,3576,3576
1537161639,3573,3573
1537163578,3603,3603
1537165477,3514,3514
1537167402,3485,3485
1537169304,3516,3516
1537171289,3511,3511
1537173166,3420,3420
1537175093,3418,3418
1537176994,3467,3467
1537178929,3467,3467
1537180838,3460,3460
1537182768,3397,3397
1537184671,3394,3394
1537186617,3394,3394
1537188521,3393,3393
1537190452,3395,3395
1537192355,3418,3418
1537194544,4468,4468
1537196682,4468,4468
1537198596,4450,4450
1537200556,4448,4448
1537202544,4451,4451
1537204350,4451,4451
1537206272,4241,4241
1537208209,3673,3673
1537210114,3664,3664
1537212029,3666,3666
1537213956,3669,3669
1537215865,3668,3668
1537217812,3667,3667
1537219709,3501,3501
1537221710,3503,3503
1537223741,3503,3503
1537225707,3498,3498
1537227636,3494,3494
1537229556,3497,3497
1537231477,3494,3494
1537233402,3495,3495
1537235313,3494,3494
1537237250,3487,3487
1537239144,3490,3490
1537241084,3492,3492
1537242975,3124,3124
1537244921,3123,3123
1537246887,3123,3123
1537248772,3102,3102
1537250675,3086,3086
1537252585,3078,3078
1537254531,3083,3083
1537256461,3088,3088
1537258469,3086,3086
1537260291,3087,3087
1537262215,3042,3042
1537264132,3042,3042
1537266043,3032,3032
1537267946,3039,3039
1537270121,3054,3054
1537272100,3060,3060
1537273969,3062,3062
1537275882,3098,3098
1537278073,3083,3083
1537279978,3076,3076
1537281879,3077,3077
1537283820,1414,1414
1537285711,1185,1185
1537287911,1183,1183
1537290095,1185,1185
1537291967,1182,1182
1537293889,1098,1098
1537295779,1100,1100
1537297717,1100,1100
1537299615,1109,1109
1537301559,1260,1260
1537303477,3043,3043
1537305380,3095,3095
1537307304,3093,3093
1537309236,3092,3092
1537311155,3092,3092
1537313080,3092,3092
1537314983,3095,3095
1537317161,3110,3110
1537319068,3112,3112
1537320973,3117,3117
1537322917,3170,3170
1537324846,3211,3211
1537326741,3206,3206
1537328659,3210,3210
1537330597,3288,3288
1537332497,3428,3428
1537334431,3432,3432
1537336343,3430,3430
1537338274,3430,3430
1537340204,3425,3425
1537342357,3423,3423
1537344259,3425,3425
1537346067,3424,3424
1537347876,3423,3423
1537349785,4002,4002
1537351726,4004,4004
1537353671,4001,4001
1537355548,3997,3997
1537357483,3991,3991
1537359428,3992,3992
1537361302,3993,3993
1537363238,3968,3968
1537365152,3968,3968
1537368992,3969,3969
1537371149,3967,3967
1537373114,3970,3970
1537374982,3969,3969
1537376908,3969,3969
1537378824,3965,3965
1537380744,3967,3967
1537382686,3967,3967
1537384595,3967,3967
1537386504,3952,3952
1537388423,3951,3951
1537390354,2296,2296
1537392267,2295,2295
1537394187,2295,2295
1537396101,2296,2296
1537398115,2298,2298
1537399958,2301,2301
1537401884,2283,2283
1537403792,2281,2281
1537405717,2281,2281
1537407632,2276,2276
1537409547,2276,2276
1537411464,2275,2275
1537413387,2195,2195
1537415338,2196,2196
1537417227,1991,1991
1537419167,1833,1833
1537421087,1819,1819
1537423022,1900,1900
1537424901,1729,1729
1537426891,1701,1701
1537428752,1707,1707
1537430719,1708,1708
1537432829,1707,1707
1537434767,1710,1710
1537436664,1710,1710
1537438593,1713,1713
1537440509,1712,1712
1537442443,1710,1710
1537444367,1710,1710
1537446278,1707,1707
1537448198,1712,1712
1537450101,1715,1715
1537452084,715,715
1537453947,714,714
1537455880,718,718
1537457793,717,717
1537459751,720,720
1537461645,724,724
1537463555,727,727
1537465484,882,882
1537467400,4243,4243
1537469307,4471,4471
1537471236,4473,4473
1537473149,4475,4475
1537475079,4481,4481
1537476985,4481,4481
1537478899,4483,4483
1537480846,4480,4480
1537482752,4461,4461
1537484667,4484,4484
1537486602,4489,4489
1537488512,4488,4488
1537490432,4498,4498
1537492353,4509,4509
1537494270,4517,4517
1537496219,4517,4517
1537498103,4517,4517
1537500052,4518,4518
1537502001,4519,4519
1537503877,4522,4522
1537505787,4526,4526
1537507728,4527,4527
1537509680,4443,4443
1537511551,4445,4445
1537513473,4383,4383
1537515400,4378,4378
1537517332,4381,4381
1537519242,4388,4388
1537521425,4392,4392
1537523341,4394,4394
1537525243,4393,4393
1537527169,4399,4399
1537529087,4399,4399
1537530999,4398,4398
1537532922,4402,4402
1537534874,4403,4403
1537536764,4374,4374
1537538703,4377,4377
1537540606,4378,4378
1537542524,4377,4377
1537544436,5282,5282
1537546608,5456,5456
1537548745,5454,5454
1537550678,5460,5460
1537552578,5463,5463
1537554514,5457,5457
1537556443,5502,5502
1537558363,4778,4778
1537560266,2595,2595
1537562175,2596,2596
1537564130,2597,2597
1537566039,2784,2784
1537567960,2780,2780
1537569859,2785,2785
1537571809,2793,2793
1537573724,2788,2788
1537575650,2791,2791
1537577803,2784,2784
1537580444,2779,2779
1537582363,2788,2788
1537584280,2791,2791
1537586207,2795,2795
1537588350,2797,2797
1537590270,2796,2796
1537592169,2793,2793
1537594363,2797,2797
1537596304,2796,2796
