DateTime,AddedIPs,RemovedIPs
1536902686,2,4
1536904597,7,4
1536906530,18,4
1536908486,13,4
1536910621,11,3
1536912553,10,3
1536914463,13,5
1536916362,8,7
1536918282,10,10
1536920220,15,11
1536922102,8,4
1536924072,10,9
1536925954,7,3
1536928131,7,10
1536930095,8,3
1536931968,10,8
1536933873,13,4
1536935776,15,6
1536937743,8,2
1536939895,16,4
1536941805,7,3
1536943710,5,1
1536945631,2,0
1536947567,3,1
1536949471,5,7
1536951397,6,6
1536953332,2,0
1536955280,9,3
1536957160,5,3
1536959089,0,3
1536961018,2,5
1536962917,8,3
1536964869,11,2
1536967017,3,16
1536968899,5,21
1536970843,4,13
1536972765,11,18
1536974685,3,20
1536976573,8,20
1536978502,15,20
1536980501,16,18
1536982362,7,17
1536984332,11,14
1536986186,5,2
1536988128,29,4
1536990056,3,8
1536992216,6,10
1536994354,2,17
1536996515,2,12
1536998490,5,15
1537000365,5,11
1537002284,4,13
1537004208,4,9
1537006109,6,13
1537008050,8,10
1537009959,4,13
1537011877,3,8
1537013840,3,7
1537015974,10,6
1537017875,5,13
1537019803,3,13
1537021709,4,18
1537023692,4,8
1537025559,4,13
1537027548,6,17
1537029637,15,5
1537031575,22,1
1537033468,8,3
1537035424,14,4
1537037299,5,6
1537039254,10,1
1537041153,7,9
1537043083,3,7
1537044981,6,2
1537046941,7,0
1537048931,4,4
1537050774,7,11
1537052677,4,6
1537054628,5,3
1537056537,3,3
1537058451,3,13
1537060350,1,5
1537062288,6,5
1537064199,3,8
1537066103,6,20
1537068038,1,12
1537069950,5,14
1537071886,1,5
1537073779,6,9
1537075718,2,22
1537077692,6,5
1537079569,5,2
1537081483,12,2
1537083516,5,1
1537085340,4,4
1537087240,3,7
1537089163,5,3
1537091349,2,4
1537093257,3,6
1537095146,4,5
1537097091,6,6
1537098992,4,3
1537100933,13,6
1537102882,5,7
1537104784,4,3
1537106704,6,3
1537108619,14,6
1537110534,9,4
1537112452,7,4
1537114402,7,3
1537116280,6,14
1537118207,5,22
1537120352,5,7
1537122256,8,11
1537124496,6,8
1537126354,5,7
1537128324,3,5
1537130185,12,5
1537132121,6,7
1537134021,5,4
1537136207,12,9
1537138127,12,4
1537140031,10,3
1537142189,14,5
1537144108,18,6
1537146093,9,4
1537147951,5,5
1537149869,5,3
1537151816,5,8
1537153957,7,6
1537155892,2,6
1537157795,4,2
1537159729,4,3
1537161639,4,9
1537163578,0,2
1537165477,1,7
1537167403,5,7
1537169304,1,5
1537171290,4,5
1537173166,4,6
1537175093,4,2
1537176994,5,3
1537178929,4,1
1537180839,3,5
1537182768,2,5
1537184672,6,2
1537186618,3,8
1537188522,3,4
1537190452,0,8
1537192356,4,3
1537194544,7,11
1537196682,8,10
1537198597,16,7
1537200557,31,9
1537202544,28,6
1537204351,28,5
1537206273,24,5
1537208209,33,5
1537210115,26,8
1537212030,30,7
1537213956,32,4
1537215865,22,6
1537217812,32,4
1537219710,26,4
1537221711,17,15
1537223741,26,11
1537225707,17,8
1537227637,23,6
1537229557,13,15
1537231477,19,11
1537233403,10,5
1537235314,23,4
1537237251,24,4
1537239144,14,5
1537241084,13,6
1537242975,22,1
1537244921,20,4
1537246888,20,2
1537248772,10,5
1537250676,6,3
1537252585,4,1
1537254531,2,4
1537256462,3,5
1537258469,4,3
1537260291,6,6
1537262215,6,3
1537264132,9,4
1537266043,4,4
1537267947,14,3
1537270121,11,5
1537272101,11,8
1537273970,17,2
1537275882,13,2
1537278074,11,2
1537279979,7,3
1537281879,3,5
1537283820,9,7
1537285712,13,14
1537287911,10,27
1537290096,12,22
1537291967,11,10
1537293890,9,26
1537295780,6,23
1537297717,9,23
1537299616,7,30
1537301559,8,28
1537303478,6,25
1537305380,2,23
1537307305,3,19
1537309237,10,24
1537311155,6,20
1537313081,4,22
1537314984,15,11
1537317162,10,17
1537319068,5,14
1537320974,10,28
1537322917,14,18
1537324847,5,16
1537326741,13,12
1537328659,18,17
1537330597,5,15
1537332497,4,12
1537334431,8,18
1537336343,1,6
1537338274,3,3
1537340205,2,3
1537342367,3,4
1537344259,12,3
1537346067,3,2
1537347876,3,12
1537349785,3,8
1537351726,9,14
1537353672,5,16
1537355548,2,17
1537357484,6,9
1537359428,4,13
1537361302,4,14
1537363239,4,12
1537365152,5,11
1537367074,1,8
1537368992,4,7
1537371149,2,24
1537373114,4,15
1537374983,10,16
1537376908,9,16
1537378825,2,10
1537380744,6,9
1537382687,3,8
1537384596,1,7
1537386505,11,7
1537388424,18,14
1537390354,2,7
1537392268,2,5
1537394187,4,2
1537396101,12,7
1537398115,16,5
1537399959,9,7
1537401884,1,19
1537403792,2,10
1537405718,5,7
1537407632,4,7
1537409548,9,16
1537411464,25,7
1537413387,11,15
1537415338,7,16
1537417228,19,4
1537419167,26,6
1537421087,14,7
1537423022,22,1
1537424901,21,2
1537426892,8,5
1537428752,4,1
1537430720,9,13
1537432830,4,7
1537434768,2,4
1537436664,10,7
1537438594,7,9
1537440509,2,2
1537442444,2,5
1537444367,2,9
1537446278,2,2
1537448198,4,7
1537450101,7,3
1537452086,7,8
1537453947,7,2
1537455880,6,4
1537457794,4,3
1537459751,1,6
1537461646,4,7
1537463556,3,10
1537465484,7,3
1537467401,6,6
1537469307,1,2
1537471236,6,1
1537473149,4,16
1537475080,5,16
1537476986,2,3
1537478900,4,1
1537480849,2,3
1537482753,4,22
1537484667,2,12
1537486602,2,6
1537488512,1,4
1537490433,3,4
1537492353,10,3
1537494270,2,4
1537496219,4,13
1537498103,10,24
1537500053,9,12
1537502002,11,7
1537503878,10,19
1537505788,12,24
1537507728,17,19
1537509681,8,31
1537511552,4,11
1537513473,9,7
1537515400,6,6
1537517333,16,9
1537519243,7,3
1537521425,7,2
1537523341,9,7
1537525243,14,6
1537527170,12,4
1537529088,11,2
1537530999,5,3
1537532922,4,4
1537534875,3,8
1537536764,7,6
1537538704,2,6
1537540606,1,5
1537542525,4,9
1537544437,4,0
1537546608,5,2
1537548746,7,4
1537550679,5,6
1537552578,2,3
1537554515,8,4
1537556443,2,3
1537558363,4,5
1537560267,4,4
1537562175,1,3
1537564130,19,4
1537566039,20,7
1537567961,18,4
1537569860,7,4
1537571809,4,3
1537573724,7,1
1537575650,7,4
1537577804,3,2
1537580445,4,11
1537582364,4,1
1537584280,1,10
1537586208,6,5
1537588350,6,10
1537590270,3,10
1537592169,5,10
1537594363,1,15
1537596315,9,5
1537598190,2,4
1537600117,13,9
1537602042,2,8
1537603956,2,16
1537605872,7,9
1537607795,4,8
1537609707,9,7
1537611625,2,15
1537613553,3,15
1537615472,7,11
1537617385,2,7
1537619301,10,2
1537621289,11,4
1537623148,6,4
1537625075,7,1
1537626999,7,1
1537628908,4,6
1537630824,6,3
1537632782,24,1
1537634664,20,4
1537636591,20,6
1537638511,17,3
1537640432,17,4
1537642345,22,8
1537644263,20,5
1537646201,18,6
1537648100,12,3
1537650087,4,9
1537651955,6,24
1537653888,1,15
1537655783,8,10
1537657708,5,4
1537659625,5,7
1537661547,10,6
1537663469,9,2
1537665397,8,5
1537667302,15,3
1537669275,4,5
1537671144,8,2
1537673066,6,5
1537674983,4,6
1537676905,5,3
1537678904,5,5
1537680753,16,3
1537682718,6,5
1537684610,4,3
1537686505,10,10
1537688424,6,3
1537690351,5,2
1537692268,5,7
1537694199,10,5
1537696108,2,7
1537698028,11,1
1537699947,10,2
1537701864,20,5
1537703797,12,4
1537705706,8,8
1537707675,4,14
1537709547,7,5
1537711468,3,7
1537713400,9,9
1537715304,7,5
1537717222,5,5
1537719182,5,24
1537721071,5,21
1537722993,8,21
1537724905,9,20
1537726823,14,17
1537728760,4,21
1537730664,8,22
1537732746,16,15
1537734752,10,6
1537736674,2,5
1537738599,18,1
1537740506,7,3
1537742425,1,7
1537744343,7,4
1537746263,3,6
1537748200,6,7
1537750114,15,7
1537752021,13,5
1537753944,3,14
1537755862,4,6
1537757801,7,7
1537759698,6,4
1537761707,7,4
1537763552,10,6
1537765467,11,5
1537767394,6,11
1537769308,11,5
1537771223,8,4
1537773150,13,10
1537775071,8,5
1537776996,11,4
1537778903,17,6
1537780822,12,7
1537782844,10,2
1537784673,14,14
1537786602,19,10
1537788494,17,18
1537790490,16,12
1537792363,9,6
1537794311,11,3
1537796205,8,4
1537798128,9,5
1537800116,5,9
1537801964,7,6
1537803863,6,2
1537805815,14,4
1537807705,10,2
1537809874,10,10
1537811798,3,9
1537813947,2,14
1537815903,3,6
1537817806,6,16
1537819730,9,22
1537821639,4,6
1537823557,4,5
1537825462,7,20
1537827400,2,4
1537829302,10,4
1537831224,32,2
1537833169,24,7
1537835078,22,5
1537836998,17,21
1537838895,23,5
1537840923,13,2
1537842774,19,6
1537844686,16,9
1537846577,19,7
1537848525,27,9
1537850445,14,14
1537852344,19,6
1537854260,17,8
1537856214,15,16
1537858099,22,8
1537860041,14,11
1537861983,17,10
1537863878,9,6
1537865779,8,21
1537867714,6,13
1537869687,4,10
