DateTime,AddedIPs,RemovedIPs
1536898859,30,3
1536900749,1,9
1536902687,6,3
1536904598,5,3
1536906530,5,2
1536908487,3,8
1536910622,5,9
1536912554,6,5
1536914464,3,7
1536916363,2,2
1536918283,9,3
1536920221,8,6
1536922103,5,6
1536924072,9,6
1536925955,18,8
1536928131,6,4
1536930095,5,4
1536931969,5,2
1536933873,9,5
1536935776,6,3
1536937744,4,3
1536939896,8,5
1536941805,7,4
1536943711,7,4
1536945631,4,6
1536947568,16,5
1536949471,6,3
1536951398,10,6
1536953333,12,3
1536955281,10,13
1536957160,12,1
1536959090,9,8
1536961019,8,6
1536962918,11,3
1536964869,14,2
1536967018,7,7
1536968900,17,6
1536970843,9,6
1536972766,12,5
1536974686,7,2
1536976574,11,3
1536978502,7,3
1536980502,10,3
1536982363,5,1
1536984333,12,34
1536986186,9,1
1536988128,10,2
1536990056,13,8
1536992217,11,4
1536994355,9,5
1536996516,8,4
1536998491,12,4
1537000366,3,4
1537002284,7,4
1537004209,3,6
1537006110,8,5
1537008050,11,7
1537009959,6,5
1537011878,8,9
1537013841,4,8
1537015974,10,7
1537017875,7,5
1537019805,5,7
1537021710,7,4
1537023692,3,3
1537025560,4,5
1537027548,7,7
1537029638,10,7
1537031577,8,6
1537033469,2,10
1537035425,10,9
1537037299,10,7
1537039255,3,6
1537041154,7,3
1537043084,6,10
1537044981,4,8
1537046942,6,8
1537048932,8,10
1537050775,8,7
1537052678,2,11
1537054628,4,13
1537056538,2,10
1537058451,9,11
1537060351,6,5
1537062289,5,10
1537064200,10,7
1537066104,5,9
1537068039,4,9
1537069951,4,6
1537071887,6,8
1537073779,2,5
1537075719,3,13
1537077692,6,11
1537079570,7,7
1537081484,8,5
1537083525,2,9
1537085342,6,11
1537087241,6,3
1537089164,6,9
1537091349,6,9
1537093257,5,8
1537095147,2,9
1537097092,7,7
1537098993,4,5
1537100934,7,10
1537102883,5,4
1537104784,3,8
1537106705,5,7
1537108620,3,9
1537110534,8,5
1537112453,6,2
1537114403,6,6
1537116281,2,11
1537118208,3,9
1537120352,4,1
1537122256,2,10
1537124497,5,13
1537126354,1,3
1537128325,1,8
1537130186,3,7
1537132122,2,7
1537134021,1,11
1537136207,5,6
1537138128,3,6
1537140032,2,6
1537142190,1,2
1537144109,1,11
1537146094,2,11
1537147952,7,3
1537149869,3,12
1537151817,2,9
1537153958,1,3
1537155893,0,6
1537157796,3,6
1537159730,3,2
1537161640,1,3
1537163579,2,11
1537165478,4,7
1537167403,0,10
1537169305,3,6
1537171290,3,6
1537173167,2,6
1537175094,3,11
1537176995,5,7
1537178930,5,1
1537180840,1,6
1537182769,3,4
1537184673,3,8
1537186619,1,8
1537188522,1,2
1537190453,3,6
1537192357,7,6
1537194545,3,3
1537196683,1,12
1537198597,5,9
1537200558,2,6
1537202545,3,2
1537204352,1,3
1537206274,0,4
1537208210,3,2
1537210116,2,6
1537212031,7,5
1537213957,5,2
1537215866,3,5
1537217813,3,3
1537219710,2,3
1537221711,1,5
1537223742,4,3
1537225708,1,2
1537227638,2,2
1537229557,2,0
1537231478,0,4
1537233404,2,2
1537235314,4,9
1537237251,4,1
1537239146,3,1
1537241093,2,0
1537242976,1,1
1537244922,4,4
1537246889,3,1
1537250676,3,5
1537252586,1,2
1537254532,3,3
1537256462,5,2
1537258470,2,5
1537260292,3,0
1537262216,1,7
1537264133,1,0
1537266044,1,6
1537267947,4,3
1537270122,4,1
1537272102,2,3
1537273970,1,0
1537275883,1,4
1537278074,2,6
1537279979,2,3
1537281880,2,1
1537283821,0,4
1537285713,0,2
1537287912,2,2
1537290098,2,1
1537291968,4,2
1537293891,1,2
1537295781,1,3
1537297718,6,7
1537299616,1,4
1537301560,5,4
1537303478,4,2
1537305381,2,4
1537307305,1,1
1537309238,1,4
1537311161,1,2
1537313082,6,1
1537314984,1,3
1537319069,0,1
1537320975,3,3
1537322918,1,4
1537324848,8,2
1537326742,4,2
1537328660,0,3
1537330598,1,1
1537332498,2,4
1537334432,1,2
1537336344,2,3
1537338275,2,1
1537340206,1,1
1537342367,0,2
1537344260,1,4
1537346068,4,5
1537347877,0,2
1537349786,3,0
1537351727,0,2
1537353672,1,3
1537355549,7,5
1537357485,4,1
1537359429,3,1
1537361303,4,1
1537363239,3,3
1537365153,1,2
1537367075,2,2
1537368993,5,1
1537371150,1,0
1537373115,2,1
1537374986,5,1
1537376908,3,5
1537378826,8,1
1537380745,7,2
1537382687,1,1
1537384596,6,7
1537386505,9,1
1537388425,5,6
1537390354,9,3
1537392268,3,2
1537394188,4,1
1537396102,6,1
1537398116,10,5
1537399959,10,3
1537401885,4,0
1537403793,8,0
1537405718,4,0
1537407633,9,4
1537409548,9,3
1537411465,11,6
1537413389,12,2
1537415339,12,2
1537417229,6,0
1537419168,4,1
1537421088,6,1
1537423023,11,2
1537424902,5,1
1537426892,6,1
1537428752,5,0
1537430721,12,1
1537432830,8,5
1537434768,12,1
1537436665,10,2
1537438594,10,0
1537440510,6,2
1537442444,6,7
1537444368,5,5
1537446278,8,2
1537448198,5,3
1537450101,3,3
1537452087,4,2
1537453948,5,1
1537455881,7,4
1537457794,9,1
1537459751,5,2
1537461646,3,4
1537463556,3,4
1537465485,3,5
1537467401,9,4
1537469308,6,1
1537471236,7,6
1537473150,4,5
1537475081,3,2
1537476986,3,8
1537478900,7,2
1537480861,3,4
1537482753,2,4
1537484668,3,7
1537486603,12,9
1537488513,11,4
1537490433,9,6
1537492354,5,5
1537494271,12,8
1537496220,8,7
1537498104,4,6
1537500053,8,10
1537502002,16,11
1537503878,6,4
1537505788,5,3
1537507729,6,6
1537509682,42,9
