DateTime,AddedIPs,RemovedIPs
1536420040,3,1
1536421947,2,0
1536424121,1,1
1536426067,1,1
1536427960,2,1
1536429875,0,1
1536431782,1,0
1536433726,1,1
1536435635,2,1
1536437548,2,2
1536439462,1,0
1536441403,0,2
1536443305,1,1
1536445235,1,3
1536447146,0,2
1536449118,0,3
1536451004,0,1
1536454870,0,2
1536456759,0,3
1536458666,0,1
1536460579,1,1
1536462521,1,2
1536464428,0,2
1536466344,3,3
1536468255,2,0
1536470193,1,0
1536472109,1,3
1536474028,0,2
1536475945,1,2
1536477863,1,1
1536480081,0,1
1536481952,3,2
1536485778,1,0
1536487710,1,2
1536489627,0,2
1536491548,4,0
1536493472,0,1
1536495412,0,2
1536497296,1,2
1536501140,1,2
1536503058,0,1
1536504997,2,2
1536506899,3,3
1536508882,2,1
1536510748,0,1
1536512694,0,2
1536514829,2,2
1536518671,1,1
1536520581,0,1
1536522518,2,2
1536524420,0,2
1536526582,1,0
1536528959,0,2
1536530898,3,1
1536532837,1,0
1536534884,1,0
1536536929,2,0
1536538831,1,0
1536542655,2,0
1536544579,1,0
1536546760,2,1
1536548728,2,1
1536550578,2,0
1536552513,0,3
1536554453,0,2
1536558307,0,2
1536562373,1,1
1536564285,1,1
1536566212,1,0
1536568099,1,2
1536570092,1,1
1536571978,0,1
1536573875,2,2
1536575779,1,0
1536577728,0,2
1536583465,0,1
1536585392,0,2
1536587369,1,1
1536589255,1,0
1536591173,1,2
1536593085,1,2
1536595006,0,2
1536602765,0,1
1536604621,1,0
1536608453,1,2
1536612272,3,1
1536614506,1,0
1536616353,0,3
1536620236,0,2
1536622139,0,1
1536624093,0,1
1536625951,0,1
1536629789,1,2
1536631718,1,3
1536633644,1,0
1536635554,1,2
1536637462,1,2
1536641316,1,0
1536645166,3,0
1536647189,1,1
1536648997,2,0
1536651160,1,1
1536653072,4,1
1536655259,1,0
1536657157,1,1
1536659097,1,0
1536661004,0,2
1536662938,0,1
1536672508,1,0
1536674494,1,1
1536676349,1,1
1536678343,1,1
1536684291,2,0
1536692172,1,2
1536694106,1,0
1536696069,0,1
1536698198,1,3
1536700124,1,1
1536703962,1,1
1536705877,1,0
1536717395,0,1
1536719314,0,2
1536721293,0,1
1536723155,0,1
1536728937,1,1
1536730827,0,2
1536732777,0,2
1536734677,0,1
1536736622,0,1
1536738520,2,3
1536740438,0,2
1536742354,1,1
1536744304,1,2
1536748124,1,0
1536750996,0,1
1536754833,1114,0
1536756747,3111,0
1536758674,6,0
1536760588,1,0
1536762508,4,0
1536764680,3,0
1536766534,4,1
1536768791,10,0
1536770687,4,0
1536772600,2,0
1536774530,5,0
1536776427,5,0
1536778370,3,1
1536780270,6,0
1536782206,1,1
1536784107,1,0
1536786094,3,0
1536789896,2,0
1536793714,1,0
1536797543,1,0
1536803305,1,0
1536805226,1,0
1536807159,1,0
