DateTime,Entries,UniqueIPs
1536420040,65,65
1536421947,67,67
1536424121,67,67
1536426067,67,67
1536427960,68,68
1536429875,67,67
1536431782,68,68
1536433726,68,68
1536435635,69,69
1536437548,69,69
1536439462,70,70
1536441403,68,68
1536443305,68,68
1536445235,66,66
1536447146,64,64
1536449118,61,61
1536451004,60,60
1536454870,58,58
1536456759,55,55
1536458666,54,54
1536460579,54,54
1536462521,53,53
1536464428,51,51
1536466344,51,51
1536468255,53,53
1536470193,54,54
1536472109,52,52
1536474028,50,50
1536475945,49,49
1536477863,49,49
1536480081,48,48
1536481952,49,49
1536485778,50,50
1536487710,49,49
1536489627,47,47
1536491548,51,51
1536493472,50,50
1536495412,48,48
1536497296,47,47
1536501140,46,46
1536503058,45,45
1536504997,45,45
1536506899,45,45
1536508882,46,46
1536510748,45,45
1536512694,43,43
1536514829,43,43
1536518671,43,43
1536520581,42,42
1536522518,42,42
1536524420,40,40
1536526582,41,41
1536528959,39,39
1536530898,41,41
1536532837,42,42
1536534884,43,43
1536536929,45,45
1536538831,46,46
1536542655,48,48
1536544579,49,49
1536546760,50,50
1536548728,51,51
1536550578,53,53
1536552513,50,50
1536554453,48,48
1536558307,46,46
1536562373,46,46
1536564285,46,46
1536566212,47,47
1536568099,46,46
1536570092,46,46
1536571978,45,45
1536573875,45,45
1536575779,46,46
1536577728,44,44
1536583465,43,43
1536585392,41,41
1536587369,41,41
1536589255,42,42
1536591173,41,41
1536593085,40,40
1536595006,38,38
1536602765,37,37
1536604621,38,38
1536608453,37,37
1536612272,39,39
1536614506,40,40
1536616353,37,37
1536620236,35,35
1536622139,34,34
1536624093,33,33
1536625951,32,32
1536629789,31,31
1536631718,29,29
1536633644,30,30
1536635554,29,29
1536637462,28,28
1536641316,29,29
1536645166,32,32
1536647189,32,32
1536648997,34,34
1536651160,34,34
1536653072,37,37
1536655259,38,38
1536657157,38,38
1536659097,39,39
1536661004,37,37
1536662938,36,36
1536672508,37,37
1536674494,37,37
1536676349,37,37
1536678343,37,37
1536684291,39,39
1536692172,38,38
1536694106,39,39
1536696069,38,38
1536698198,36,36
1536700124,36,36
1536703962,36,36
1536705877,37,37
1536717395,36,36
1536719314,34,34
1536721293,33,33
1536723155,32,32
1536728937,32,32
1536730827,30,30
1536732777,28,28
1536734677,27,27
1536736622,26,26
1536738520,25,25
1536740438,23,23
1536742354,23,23
1536744304,22,22
1536748124,23,23
1536750996,22,22
1536754833,1136,1136
1536756747,4247,4247
1536758674,4253,4253
1536760588,4254,4254
1536762508,4258,4258
1536764680,4261,4261
1536766534,4264,4264
1536768791,4274,4274
1536770687,4278,4278
1536772600,4280,4280
1536774530,4285,4285
1536776427,4290,4290
1536778370,4292,4292
1536780270,4298,4298
1536782206,4298,4298
1536784107,4299,4299
1536786094,4302,4302
1536789896,4304,4304
1536793714,4305,4305
1536797543,4306,4306
1536803305,4307,4307
1536805226,4308,4308
1536807159,4309,4309
1536820593,4310,4310
1536822499,4311,4311
1536824413,4313,4313
1536826355,4315,4315
1536828253,4322,4322
1536830178,4325,4325
1536832114,4326,4326
1536834022,4329,4329
1536835947,4330,4330
1536837855,4332,4332
1536839773,4333,4333
1536841968,1592,1592
1536843879,98,98
1536846288,95,95
1536848203,94,94
1536850125,91,91
1536852048,88,88
1536853940,82,82
1536855887,74,74
1536857787,73,73
1536859721,70,70
1536861701,65,65
1536863566,62,62
1536865509,59,59
1536867386,60,60
1536869330,62,62
1536871248,65,65
1536873134,67,67
1536875075,70,70
1536877251,72,72
1536879152,72,72
1536881080,73,73
1536883253,72,72
1536885138,73,73
1536887339,77,77
1536889251,79,79
1536891159,81,81
1536893060,81,81
1536895032,86,86
1536896904,88,88
1536898860,91,91
1536900749,92,92
1536902687,95,95
1536904598,96,96
1536906531,96,96
1536910623,96,96
1536912554,97,97
1536914465,91,91
