DateTime,Entries,UniqueIPs
1536830179,86,86
1536832115,87,87
1536834023,89,89
1536835948,90,90
1536837856,91,91
1536839774,90,90
1536841969,89,89
1536846289,91,91
1536848204,87,87
1536850126,86,86
1536852049,85,85
1536853941,85,85
1536855889,84,84
1536857788,80,80
1536859722,81,81
1536861702,79,79
1536863567,82,82
1536865510,80,80
1536867395,77,77
1536869331,78,78
1536871249,80,80
1536873134,80,80
1536875076,78,78
1536877252,80,80
1536879153,79,79
1536881081,80,80
1536883254,79,79
1536885139,81,81
1536887340,80,80
1536889253,80,80
1536891160,79,79
1536893060,81,81
1536895032,79,79
1536896905,78,78
1536898861,79,79
1536900750,78,78
1536902689,82,82
1536906532,80,80
1536908489,81,81
1536910624,81,81
1536912555,83,83
1536914467,81,81
1536916365,85,85
1536918285,83,83
1536920223,81,81
1536922104,77,77
1536924074,78,78
1536925957,79,79
1536928133,79,79
1536930097,77,77
1536931970,76,76
1536933875,76,76
1536935778,74,74
1536937746,73,73
1536939897,71,71
1536941807,70,70
1536943712,69,69
1536945634,70,70
1536947569,69,69
1536949481,68,68
1536951399,67,67
1536955283,65,65
1536957163,64,64
1536959093,62,62
1536961020,63,63
1536962920,63,63
1536964872,60,60
1536967020,61,61
1536970845,61,61
1536972768,61,61
1536974688,61,61
1536976576,63,63
1536978504,62,62
1536980504,61,61
1536982372,62,62
1536984335,63,63
1536986188,62,62
1536988131,59,59
1536990058,58,58
1536994357,56,56
1536996518,56,56
1536998493,58,58
1537000368,60,60
1537002288,57,57
1537004212,58,58
1537006112,57,57
1537008052,59,59
1537009961,59,59
1537011881,58,58
1537013843,59,59
1537015976,68,68
1537017877,98,98
1537019807,107,107
1537021712,108,108
1537025561,109,109
1537027550,108,108
1537029642,109,109
1537031581,109,109
1537033473,110,110
1537035427,109,109
1537037301,108,108
1537039258,109,109
1537041156,110,110
1537043086,111,111
1537046944,111,111
1537048934,112,112
1537050776,110,110
1537052680,111,111
1537054630,109,109
1537056540,109,109
1537058453,107,107
1537060353,108,108
1537062291,107,107
1537064202,105,105
1537066106,106,106
1537068040,107,107
1537069952,105,105
1537071888,104,104
1537073781,103,103
1537079571,105,105
1537083527,104,104
1537085344,103,103
1537087243,101,101
1537089165,103,103
1537093259,103,103
1537095148,103,103
1537097093,102,102
1537100936,100,100
1537102886,94,94
1537104786,53,53
1537106707,626,626
1537108621,625,625
1537112454,626,626
1537114404,624,624
1537116282,621,621
1537118210,621,621
1537120354,620,620
1537122258,620,620
1537124499,622,622
1537126356,622,622
1537128327,621,621
1537130188,621,621
1537132124,620,620
1537134024,622,622
1537136210,622,622
1537138130,633,633
1537140034,662,662
1537144111,661,661
1537146096,664,664
1537147954,662,662
1537149872,662,662
1537151819,660,660
1537153960,662,662
1537155895,664,664
1537157798,666,666
1537159732,667,667
1537163582,668,668
1537165480,669,669
1537167405,668,668
1537169307,668,668
1537171292,666,666
1537173169,664,664
1537175096,661,661
1537178933,662,662
1537180842,662,662
1537182771,662,662
1537184676,664,664
1537186620,665,665
1537188525,665,665
1537190456,666,666
1537192359,94,94
1537194547,95,95
1537196685,97,97
1537202547,98,98
1537204354,97,97
1537206276,98,98
1537208212,96,96
