DateTime,AddedIPs,RemovedIPs
1536902689,3,7
1536904599,9,5
1536906532,21,7
1536908489,17,7
1536910624,16,4
1536912556,15,5
1536914467,20,8
1536916365,10,9
1536918285,12,14
1536920223,19,13
1536922105,11,6
1536924074,15,15
1536925957,14,6
1536928133,14,16
1536930098,9,10
1536931970,14,15
1536933875,12,6
1536935778,67,10
1536937746,9,4
1536939898,21,8
1536941807,16,11
1536943713,11,7
1536945634,3,5
1536947569,8,8
1536949482,11,11
1536951399,8,17
1536953336,8,5
1536955284,17,9
1536957163,13,6
1536959093,4,7
1536961021,7,9
1536962920,17,10
1536964873,13,8
1536967020,18,17
1536968902,15,26
1536970845,9,17
1536972769,18,19
1536974688,9,23
1536976576,13,24
1536978504,20,20
1536980504,17,19
1536982373,10,21
1536984336,13,16
1536986189,9,3
1536988131,35,6
1536990059,6,9
1536992219,10,14
1536994357,11,19
1536996518,4,16
1536998494,8,20
1537000368,10,18
1537002288,10,17
1537004212,8,13
1537006113,13,16
1537008053,14,16
1537009961,9,14
1537011881,6,17
1537013844,7,14
1537015977,15,8
1537017878,10,17
1537019807,7,14
1537021712,10,77
1537023695,12,10
1537025562,13,17
1537027551,13,23
1537029642,20,13
1537031582,23,5
1537033473,9,9
1537035427,22,9
1537037301,14,9
1537039258,17,7
1537041156,13,13
1537043086,12,16
1537044983,9,7
1537046944,12,4
1537048935,7,10
1537050777,10,16
1537052680,7,18
1537054631,9,11
1537056541,6,12
1537058453,11,19
1537060354,6,12
1537062291,7,11
1537064202,7,12
1537066107,9,24
1537068041,3,14
1537069952,6,18
1537071889,6,9
1537073781,10,14
1537075722,5,25
1537077696,12,8
1537079572,9,10
1537081490,19,4
1537083527,7,5
1537085344,6,9
1537087243,7,11
1537089166,9,9
1537091351,4,8
1537093259,3,16
1537095148,10,9
1537097094,13,12
1537098994,7,5
1537100936,16,9
1537102887,8,9
1537104787,8,8
1537106707,11,5
1537108629,15,13
1537110544,14,12
1537112455,13,13
1537114405,13,7
1537116283,11,17
1537118210,12,24
1537120354,17,12
1537122258,16,19
1537124499,17,15
1537126356,6,16
1537128327,6,10
1537130188,17,13
1537132124,13,14
1537134024,8,9
1537136210,15,11
1537138130,19,8
1537140034,15,7
1537142192,18,10
1537144111,23,8
1537146096,9,12
1537147955,7,8
1537149873,12,6
1537151820,11,13
1537153960,11,8
1537155895,9,6
1537157798,9,6
1537159732,8,8
1537161642,8,12
1537163582,3,8
1537165480,4,9
1537167406,10,16
1537169307,3,8
1537171293,6,8
1537173169,8,8
1537175096,8,7
1537176997,8,5
1537178933,9,1
1537180843,10,10
1537182771,8,10
1537184676,8,6
1537186621,11,10
1537188527,6,9
1537190456,3,12
1537192359,8,8
1537194547,14,12
1537196686,16,13
1537198600,19,15
1537200561,35,15
1537202548,33,11
1537204355,30,11
1537206276,25,13
1537208213,35,13
1537210120,30,15
1537212035,39,12
1537213959,36,5
1537215869,48,8
1537217817,35,8
1537219712,28,10
1537221714,25,17
1537223744,34,18
1537225712,19,12
1537227641,26,12
1537229560,18,19
1537231480,28,12
1537233406,18,11
1537235317,26,5
1537237254,27,16
1537239147,16,9
1537241095,16,10
1537242978,27,7
1537244924,26,8
1537246892,26,8
1537248775,16,10
1537250678,9,5
1537252589,12,5
1537254535,6,6
1537256465,8,7
1537258473,7,6
1537260294,11,12
1537262219,15,6
1537264136,11,8
1537266046,7,7
1537267949,20,13
1537270125,13,7
1537272105,16,13
1537273973,22,8
1537275890,15,6
1537278077,20,7
1537279981,11,7
1537281883,11,14
1537283824,15,15
1537285721,18,17
1537287915,83,32
1537290115,20,28
1537291974,14,11
1537293895,13,26
1537295783,9,26
1537297720,13,30
1537299618,15,36
1537301563,9,31
1537303481,23,54
1537305383,7,24
1537307307,5,23
1537309242,13,31
1537311163,9,25
1537313084,10,24
1537314986,21,14
1537317164,14,23
1537319071,12,22
1537320977,14,33
1537322921,18,20
1537324850,8,18
1537326744,21,16
1537328662,19,20
1537330600,12,20
1537332500,10,17
1537334434,9,21
1537336347,10,13
1537338277,5,6
1537340208,9,11
1537342370,5,10
1537344262,15,8
1537346070,7,6
1537347879,4,18
1537349788,10,12
1537351729,12,15
1537353675,6,18
1537355551,9,26
1537357487,9,8
1537359431,9,18
1537361305,6,16
1537363243,9,17
1537365155,6,18
