DateTime,AddedIPs,RemovedIPs
1536902690,60,47
1536904600,60,196
1536906533,68,42
1536908490,56,40
1536910625,72,58
1536912557,79,58
1536914468,57,61
1536916366,60,48
1536918286,58,60
1536920224,53,57
1536922105,54,60
1536924075,43,52
1536925958,43,63
1536928134,62,64
1536930098,64,64
1536931971,64,72
1536933876,59,53
1536935779,68,70
1536937747,118,55
1536939898,98,70
1536941808,76,59
1536943716,61,46
1536945635,67,51
1536947570,45,52
1536949482,85,57
1536951400,41,61
1536953337,70,51
1536955285,67,69
1536957164,43,65
1536959094,69,67
1536961022,68,57
1536962921,62,59
1536964874,54,56
1536967028,123,42
1536968902,48,69
1536970846,54,58
1536972770,49,59
1536974689,61,65
1536976577,52,73
1536978505,45,58
1536980510,58,65
1536982373,47,64
1536984337,51,70
1536986189,62,57
1536988132,94,60
1536990059,78,60
1536992220,64,66
1536994358,78,75
1536996519,43,67
1536998495,197,75
1537000369,44,68
1537002289,45,58
1537004213,71,60
1537006128,69,67
1537008053,39,51
1537009962,70,41
1537011882,50,46
1537013845,59,53
1537015978,101,63
1537017879,83,71
1537019808,99,56
1537021713,64,68
1537023696,43,106
1537025562,73,102
1537027552,107,72
1537029643,94,75
1537031583,115,69
1537033474,92,46
1537035428,82,80
1537037302,86,48
1537039259,101,66
1537041157,102,57
1537043087,105,51
1537044984,77,67
1537046945,55,66
1537048935,84,54
1537050777,73,54
1537052681,70,99
1537054631,53,72
1537056542,69,48
1537058454,48,51
1537060354,69,51
1537062292,53,48
1537064203,52,49
1537066114,59,47
1537068041,63,65
1537069953,42,46
1537071890,66,42
1537073782,57,100
1537075728,55,72
1537077697,95,55
1537079572,84,73
1537081492,80,61
1537083528,98,73
1537085345,76,41
1537087244,65,54
1537089167,50,52
1537091352,46,76
1537093260,67,52
1537095149,35,46
1537097094,32,61
1537098995,48,58
1537100937,55,54
1537102888,59,107
1537104788,56,94
1537106708,2995,78
1537108630,69,193
1537110545,37,40
1537112455,48,92
1537114405,50,101
1537116283,54,98
1537118211,48,110
1537120355,52,100
1537122259,59,80
1537124500,73,110
1537126357,49,96
1537128328,71,99
1537130189,60,108
1537132125,67,60
1537134025,46,49
1537136211,66,65
1537138131,63,60
1537140035,58,52
1537142193,67,71
1537144112,48,52
1537146097,56,55
1537147955,44,50
1537149880,56,42
1537151820,72,68
1537153961,54,76
1537155896,55,36
1537157799,63,65
1537159733,55,54
1537161643,55,55
1537163583,59,92
1537165481,38,85
1537167406,49,83
1537169308,81,69
1537171293,69,108
1537173170,48,65
1537175097,137,49
1537176998,117,49
1537178934,153,54
1537180850,132,59
1537182772,119,32
1537184677,150,48
1537186622,189,50
1537188533,183,56
1537190457,194,66
1537192360,143,2264
1537194548,213,815
1537196687,143,56
1537198600,138,45
1537200561,154,51
1537202548,230,54
1537204355,164,47
1537206277,206,55
1537208214,148,62
1537210120,125,67
1537212036,140,49
1537213960,126,63
1537215870,56,56
1537217824,67,80
1537219713,67,48
1537221714,75,60
1537223744,72,65
1537225713,60,63
1537227641,53,60
1537229560,73,63
1537231481,75,49
1537233406,72,54
1537235317,51,45
1537237255,45,72
1537239148,52,48
1537241096,44,65
1537242979,54,51
1537244925,55,63
1537246892,87,55
1537248776,57,55
1537250679,63,43
1537252589,53,37
1537254536,49,63
1537256466,53,80
1537258473,57,56
1537260295,54,64
1537262220,75,156
1537264137,62,131
1537266047,84,123
1537267950,57,151
1537270126,79,147
1537272106,68,162
1537273974,56,153
1537275902,59,215
1537278077,63,180
1537279982,68,194
1537281884,57,120
1537283825,84,143
1537285722,63,133
1537287915,70,204
1537290122,76,223
1537291975,52,210
1537293897,63,146
1537295784,60,141
1537297721,62,127
1537299619,56,148
1537301563,67,82
1537303482,72,52
1537305384,65,64
1537307308,71,61
1537309248,60,66
1537311164,64,70
1537313084,65,48
1537314987,58,53
1537317165,61,91
1537319072,39,62
1537320978,56,75
1537322921,73,41
1537324851,52,46
1537326745,57,54
1537328663,50,44
1537330600,52,62
1537332501,58,72
1537334435,64,61
1537336348,57,69
1537338277,50,45
1537340208,64,65
1537342371,66,57
1537344263,73,54
1537346071,711,53
1537347880,47,55
1537349789,57,73
1537351730,71,55
1537353675,44,69
1537355551,77,59
1537357488,66,56
1537359431,68,66
1537361306,71,56
1537363249,48,56
1537365156,61,67
1537367080,56,67
1537368996,67,74
1537371153,48,69
1537373118,53,72
1537374989,66,42
1537376911,75,65
1537378830,73,58
1537380756,70,66
1537382691,64,49
1537384600,74,65
1537386509,51,60
1537388429,69,73
1537390357,76,76
1537392271,60,60
1537394190,53,61
1537396105,62,61
1537398120,67,69
1537399962,58,57
1537401888,57,61
1537403796,56,47
1537405721,68,41
1537407644,43,53
1537409551,68,69
1537411467,52,48
1537413391,46,59
1537415341,60,45
1537417232,51,47
1537419171,54,60
1537421091,71,62
1537423026,59,46
1537424905,64,46
1537426896,47,71
1537428755,63,51
1537430725,57,78
1537432835,80,691
1537434771,62,54
1537436668,67,59
1537438597,56,68
1537440513,61,60
1537442448,63,74
1537444377,61,72
1537446289,62,66
1537448202,72,73
1537450104,69,57
1537452092,65,72
1537453950,59,45
1537455884,57,77
1537457799,82,41
1537459754,60,53
1537461657,58,72
1537463559,83,86
1537465488,61,64
1537467405,68,77
1537469310,72,69
1537471239,88,74
1537473152,71,66
1537475084,57,73
1537476989,84,68
1537478903,62,71
1537480905,72,69
1537482757,62,67
1537484671,76,61
1537486606,83,65
1537488517,84,68
1537490437,98,63
1537492356,112,70
1537494274,53,50
1537496222,49,77
1537498106,83,58
1537500056,68,53
1537502005,58,62
1537503881,53,59
1537505791,52,54
1537507731,46,74
1537509686,70,63
1537511555,48,61
1537513476,57,53
1537515404,49,65
1537517337,68,67
1537519247,73,80
1537521429,65,70
1537523345,59,69
1537525259,64,56
1537527174,61,60
1537529091,51,61
1537531002,60,72
1537532926,56,64
1537534890,50,84
1537536767,69,63
1537538708,68,71
1537540609,54,59
1537542527,43,48
1537544442,47,81
1537546612,49,63
1537548756,75,83
1537550682,58,62
1537552582,63,73
1537554518,66,69
1537556457,58,80
1537558366,65,84
1537560270,48,68
1537562178,42,69
1537564134,68,68
1537566043,42,76
1537567963,48,59
1537569862,62,79
1537571812,51,60
1537573727,54,104
1537575653,53,117
1537577807,48,80
1537580448,82,113
1537582367,52,50
1537584283,56,85
1537586210,105,73
1537588353,63,63
1537590273,47,56
1537592172,52,43
1537594366,70,58
1537596324,67,63
1537598193,53,51
1537600119,69,56
1537602046,57,51
1537603959,51,65
1537605875,57,64
1537607798,52,65
1537609710,55,57
1537611629,63,59
1537613556,50,64
1537615475,61,50
1537617388,54,58
1537619304,84,52
1537621292,69,50
1537623151,53,64
1537625079,79,75
1537627002,71,58
1537628911,61,39
1537630827,58,46
1537632785,69,53
1537634667,53,61
1537636594,70,57
1537638514,58,75
1537640436,82,56
1537642348,68,70
1537644266,51,54
1537646204,52,60
1537648104,56,42
1537650092,59,66
1537651959,54,48
1537653891,65,42
1537655785,59,67
1537657715,47,50
1537659630,47,41
1537661550,65,53
1537663472,54,55
1537665400,57,43
1537667305,49,63
1537669278,57,41
1537671147,45,59
1537673069,36,109
1537674986,49,48
1537676908,51,54
1537678910,64,67
1537680756,54,44
1537682725,49,65
1537684613,38,55
1537686508,32,67
1537688428,55,58
1537690354,51,51
1537692271,63,59
1537694202,46,56
1537696111,55,56
1537698033,2469,56
1537699950,705,49
1537701867,49,66
1537703800,43,65
1537705709,40,65
1537707680,63,71
1537709550,47,44
1537711471,52,80
1537713404,51,73
1537715307,55,65
1537717232,77,53
1537719185,53,69
1537721074,28,48
1537722996,61,70
1537724908,58,58
1537726828,68,83
1537728763,47,69
1537730676,60,51
1537732750,52,58
1537734755,51,64
1537736685,66,44
1537738602,47,72
1537740509,74,57
1537742429,47,55
1537744346,55,49
1537746266,49,47
1537748204,45,56
1537750118,40,55
1537752024,45,56
1537753947,42,48
1537755865,55,52
1537757804,55,50
1537759701,49,38
1537761710,59,54
1537763555,58,40
1537765471,37,60
1537767398,50,55
1537769312,50,50
1537771234,59,37
1537773154,66,37
1537775075,42,56
1537777007,52,52
1537778906,55,57
1537780826,78,46
1537782847,77,53
1537784676,50,2905
1537786605,66,297
1537788497,73,42
1537790502,83,45
1537792367,57,45
1537794315,53,61
1537796208,62,45
1537798131,87,44
1537800119,70,57
1537801967,57,50
1537803865,51,79
1537805819,70,46
1537807708,57,37
1537809878,74,62
1537811801,57,67
1537813950,55,76
1537815906,71,55
1537817809,63,47
1537819733,37,47
1537821643,64,50
1537823560,61,67
1537825475,67,53
1537827403,63,73
1537829305,63,46
