DateTime,Entries,UniqueIPs
1536902690,3085,3085
1536904600,2949,2949
1536906533,2975,2975
1536908490,2991,2991
1536910625,3005,3005
1536912557,3026,3026
1536914468,3022,3022
1536916366,3034,3034
1536918286,3032,3032
1536920224,3028,3028
1536922105,3022,3022
1536924075,3013,3013
1536925958,2993,2993
1536928134,2991,2991
1536930098,2991,2991
1536931971,2983,2983
1536933876,2989,2989
1536935779,2987,2987
1536937747,3050,3050
1536939898,3078,3078
1536941808,3095,3095
1536943716,3110,3110
1536945635,3126,3126
1536947570,3119,3119
1536949482,3147,3147
1536951400,3127,3127
1536953337,3146,3146
1536955285,3144,3144
1536957164,3122,3122
1536959094,3124,3124
1536961022,3135,3135
1536962921,3138,3138
1536964874,3136,3136
1536967028,3217,3217
1536968902,3196,3196
1536970846,3192,3192
1536972770,3182,3182
1536974689,3178,3178
1536976577,3157,3157
1536978505,3144,3144
1536980510,3137,3137
1536982373,3120,3120
1536984337,3101,3101
1536986189,3106,3106
1536988132,3140,3140
1536990059,3158,3158
1536992220,3156,3156
1536994358,3159,3159
1536996519,3135,3135
1536998495,3257,3257
1537000369,3233,3233
1537002289,3220,3220
1537004213,3231,3231
1537006128,3233,3233
1537008053,3221,3221
1537009962,3250,3250
1537011882,3254,3254
1537013845,3260,3260
1537015978,3298,3298
1537017879,3310,3310
1537019808,3353,3353
1537021713,3349,3349
1537023696,3286,3286
1537025562,3257,3257
1537027552,3292,3292
1537029643,3311,3311
1537031583,3357,3357
1537033474,3403,3403
1537035428,3405,3405
1537037302,3443,3443
1537039259,3478,3478
1537041157,3523,3523
1537043087,3577,3577
1537044984,3587,3587
1537046945,3576,3576
1537048935,3606,3606
1537050777,3625,3625
1537052681,3596,3596
1537054631,3577,3577
1537056542,3598,3598
1537058454,3595,3595
1537060354,3613,3613
1537062292,3618,3618
1537064203,3621,3621
1537066114,3633,3633
1537068041,3631,3631
1537069953,3627,3627
1537071890,3651,3651
1537073782,3608,3608
1537075728,3591,3591
1537077697,3631,3631
1537079572,3642,3642
1537081492,3661,3661
1537083528,3686,3686
1537085345,3721,3721
1537087244,3732,3732
1537089167,3730,3730
1537091352,3700,3700
1537093260,3715,3715
1537095149,3704,3704
