DateTime,AddedIPs,RemovedIPs
1534234361,0,5
1534238201,0,2
1534242039,0,1
1534245878,0,1
1534247780,0,3
1534249948,0,2
1534251864,0,3
1534253809,1,2
1534255725,0,1
1534258007,0,1
1534259814,1,0
1534261699,1,1
1534269393,0,1
1534277237,0,1
1534279214,1,0
1534283075,1,0
1534284979,0,1
1534286931,1,0
1534300344,3,2
1534302273,1,0
1534304182,1,0
1534306133,1,0
1534309950,2,0
1534311880,1,0
1534325294,2,0
1534332978,1,0
1534338765,0,1
1534346430,0,1
1534348576,1,1
1534366097,1,1
1534370684,1,1
1534372574,1,1
1534374771,2,0
1534376836,1,0
1534378938,1,0
1534384513,1,0
1534386742,0,3
1534388693,0,1
1534390577,1,0
1534392527,1,1
1534396362,0,2
1534398256,0,1
1534411721,1,2
1534415560,2,0
1534419406,0,1
1534421329,1,0
1534423220,1,0
1534434775,0,1
1534442498,1,0
1534452013,3,1
1534455854,2,0
1534457786,1,1
1534459712,0,3
1534461556,0,2
1534465718,0,1
1534471491,0,1
1534477493,0,1
1534479391,0,1
1534491174,1,0
1534498837,0,1
1534500774,1,1
1534502678,1,1
1534504615,1,0
1534506508,0,1
1534508434,1,0
1534537948,0,2
1534542043,0,2
1534543947,1,4
1534547780,1,0
1534561507,1,0
1534577340,0,1
1534586934,0,1
1534588859,0,1
1534590775,0,1
1534594594,0,1
1534621460,1,0
1534623268,1,0
1534630980,0,1
1534632979,1,0
1534634861,0,1
1534644763,1,0
1534648590,0,1
1534671629,1,0
1534673570,1,0
1534675466,1,0
1534681258,2,0
1534685087,1,0
1534694966,1,0
1534696819,1,0
1534700666,2,0
1534706822,1,1
1534708880,3,1
1534710743,1,0
1534716514,3,0
1534718425,1,0
1534720339,1,1
1534723159,1,0
1534730983,1,1
1534732853,1,0
1534740532,1,0
1534742516,2,0
1534757957,1,1
1534759795,0,1
1534761692,1,1
1534767419,1,2
1534771258,0,1
1534773862,1,0
1534782076,1,2
1534787798,0,2
1534793563,0,2
1534795473,0,2
1534797389,1,1
1534801220,0,1
1534803147,0,2
1534805064,0,1
1534807001,0,1
1534808901,0,1
1534811880,2,0
1534817562,0,1
1534819466,1,1
1534825474,0,1
1534829324,0,2
1534840830,1,0
1534844668,0,1
1534848496,0,1
1534852610,3,0
1534854499,0,1
1534858370,0,1
1534867996,0,1
1534869884,1,0
1534875865,1,0
1534877784,1,0
1534881543,1,0
1534883553,0,1
1534893400,1,0
1534895584,0,1
1534897470,1,1
1534905615,0,1
1534913563,1,0
1534921295,1,0
1534923152,2,0
1534926998,1,1
1534930837,1,0
1534932761,3,0
1534934663,1,0
1534938503,0,2
1534940444,2,1
1534942348,2,0
1534944282,2,0
1534957731,0,1
1534961648,0,1
1534963478,1,0
1534965387,2,1
1534967565,0,1
1534977463,1,0
1534981263,1,1
1534983408,2,0
1534985313,0,1
1534999006,0,1
1535000905,1,0
1535002826,1,0
1535008605,0,2
1535010505,0,1
1535014394,0,1
1535018202,1,3
1535020099,1,1
1535022106,0,1
1535025894,0,1
1535027779,0,2
1535029723,1,3
1535033568,1,0
1535039568,2,0
1535051088,0,1
1535052997,0,1
1535062587,0,1
1535064507,2,0
1535066434,0,1
1535068451,0,1
1535070263,0,1
1535074101,1,0
1535086110,1,0
1535088051,2,1
1535089945,0,1
1535091866,2,0
1535093799,1,0
1535095702,1,0
1535099573,1,0
1535105327,3,1
1535107245,1,1
1535116854,0,1
1535118980,0,2
1535124771,0,1
1535126667,0,1
1535128595,1,0
1535130765,3,0
1535134821,2,0
1535144943,1,0
1535151223,0,2
1535156873,1,0
1535160738,1,1
1535170593,1,0
1535172541,0,1
1535174414,1,2
1535178259,1,2
1535180203,0,1
1535182094,0,1
1535191974,0,2
1535193890,0,1
1535215016,0,1
1535216918,0,2
1535220985,0,2
1535223574,1,0
1535231561,0,1
1535233484,1,1
1535235412,0,1
1535239225,1,0
1535243090,1,0
1535244993,0,1
1535246930,0,1
1535256749,0,1
1535260598,1,1
1535264675,1,1
1535266897,2,0
1535276424,1,0
1535282214,1,0
1535286017,1,0
1535287959,3,0
1535293698,2,0
1535295680,2,0
1535297546,1,0
1535301385,1,0
1535307441,0,2
1535309335,2,0
1535311230,1,0
1535315633,1,0
1535319382,0,1
1535325167,0,1
1535329003,2,1
1535336661,1,0
1535346293,0,1
1535348235,1,0
1535352051,0,2
1535359701,1,0
1535363546,0,1
1535386611,1,0
1535400361,2,0
1535407955,0,13
1535414015,0,1
1535415891,0,1
1535421805,1,1
1535425964,2,0
1535433642,1,0
1535439406,1,0
1535456905,3,0
1535466509,0,2
1535472288,0,1
1535476355,0,1
