DateTime,AddedIPs,RemovedIPs
1534744390,2,0
1534759795,0,1
1534761693,1,0
1534777977,1,0
1534779871,0,1
1534785881,0,1
1534793564,1,0
1534795473,0,1
1534799320,0,5
1534811880,0,1
1534819467,0,1
1534829325,1,1
1534831295,0,2
1534836997,7,0
1534848496,0,1
1534850435,1,0
1534860271,2,0
1534864125,2,1
1534866027,1,0
1534867997,1,1
1534881544,0,1
1534887395,1,0
1534915485,0,1
1534923153,0,7
1534930838,1,0
1534936604,0,1
1534944282,1,0
1534946177,0,1
1534950098,0,2
1534951962,1,1
1534953879,0,1
1534961648,0,1
1534973554,0,1
1534979373,1,0
1534981266,1,0
1534983416,3,0
1534993298,1,0
1535018203,1,1
1535020099,1,0
1535022106,2,0
1535027779,1,0
1535031645,2,0
1535033569,1,1
1535037629,0,1
1535047285,1,0
1535052997,1,0
1535058763,1,0
1535066434,0,1
1535068452,0,2
1535070263,0,1
1535074106,0,1
1535076100,1,0
1535080107,0,1
1535097691,1,0
1535103391,1,0
1535105328,0,2
1535109146,2,2
1535114900,1,1
1535116854,0,2
1535120923,0,1
1535130766,1,0
1535139155,1,1
1535149037,0,1
1535162659,0,1
1535180204,1,0
1535184087,0,1
1535190060,2,1
1535195816,0,2
1535203470,0,1
1535207311,1,0
1535209299,1,0
1535213077,1,0
1535215016,1,0
1535216919,0,1
1535220985,1,0
1535223574,1,0
1535225543,0,1
1535260599,1,0
1535266898,0,1
1535274513,0,2
1535293699,0,1
1535295683,0,1
1535299489,0,1
1535301386,0,1
1535307442,0,1
1535309336,0,1
1535315634,6,0
1535327069,1,0
1535348236,0,1
1535355882,1,0
1535359701,2,0
1535361645,1,0
1535394260,1,0
1535396234,1,0
1535406060,2,0
1535414016,0,1
1535439406,0,1
1535445168,0,1
1535447095,0,2
1535464607,1,0
1535474225,1,0
1535480202,0,1
1535484062,0,1
1535499448,1,0
1535524363,1,0
1535536117,1,0
1535546027,1,0
1535550053,0,1
1535552130,1,0
1535562077,0,8
1535584621,1,1
1535604049,1,0
1535611751,0,1
1535623290,1,0
1535640885,0,1
1535650617,1,0
1535665953,0,1
1535670085,0,1
1535689470,1,1
1535691383,1,0
1535695497,2,0
1535709159,0,1
1535728816,1,0
1535734609,1,1
1535736636,2,1
1535744230,1,0
1535767317,1,0
1535769159,1,0
1535774934,0,1
1535776833,0,1
1535780695,1,0
1535788379,1,0
1535803737,2,0
1535809478,1,0
1535822898,1,0
1535830830,1,1
1535832782,0,1
1535836615,1,0
1535838516,0,4
1535853895,0,1
1535855807,0,1
1535857724,1,0
1535867336,1,1
1535874990,0,1
1535892515,0,1
1535894444,0,3
1535902368,1,0
1535906455,1,1
1535912220,1,0
1535914117,1,0
1535917969,1,1
1535921790,1,1
