DateTime,AddedIPs,RemovedIPs
1536900752,22,35
1536902691,26,33
1536904601,26,182
1536906533,27,32
1536908491,32,24
1536910626,34,32
1536912558,25,41
1536914473,27,35
1536916367,32,18
1536918287,31,43
1536920232,29,26
1536922106,33,28
1536924076,17,29
1536925958,21,35
1536928135,31,39
1536930099,29,32
1536931972,33,33
1536933877,34,21
1536935780,34,33
1536937748,95,32
1536939899,44,45
1536941809,32,41
1536943724,34,24
1536945647,56,37
1536947571,33,29
1536949483,37,35
1536951401,31,43
1536953337,43,27
1536955286,40,41
1536957165,25,30
1536959095,26,32
1536961023,36,26
1536962922,30,35
1536964875,34,32
1536967029,49,32
1536968904,29,37
1536970847,29,33
1536972771,20,34
1536974696,36,33
1536976578,30,39
1536978507,21,26
1536980512,36,28
1536982376,29,39
1536984339,22,45
1536986190,44,22
1536988136,63,29
1536990060,35,33
1536992221,43,24
1536994360,54,37
1536996520,19,34
1536998498,173,18
1537000370,26,30
1537002290,25,25
1537004214,30,31
1537006129,45,35
1537008054,22,30
1537009963,34,15
1537011884,25,23
1537013846,36,23
1537015979,75,32
1537017880,54,36
1537019809,58,31
1537021714,29,34
1537023697,21,74
1537025564,47,53
1537027553,74,32
1537029646,73,33
1537031588,83,50
1537033475,67,30
1537035429,67,29
1537037303,63,31
1537039260,73,32
1537041166,69,32
1537043088,76,29
1537044985,42,25
1537046946,29,34
1537048937,28,26
1537050779,34,33
1537052684,33,34
1537054632,35,39
1537056545,43,21
1537058455,21,26
1537060355,38,25
1537062293,26,30
1537064204,23,20
1537066114,29,27
1537068050,37,38
1537069954,17,17
1537071891,32,26
1537073783,30,62
1537075729,28,44
1537077698,62,25
1537079573,56,46
1537081493,55,39
1537083529,67,50
1537085347,49,20
1537087245,41,28
1537089168,27,27
1537091356,28,37
1537093261,35,33
1537095151,16,18
1537097096,22,34
1537098996,24,33
1537100937,31,35
1537102889,31,77
1537104789,27,62
1537106710,35,42
1537108631,38,220
1537110546,19,25
1537112456,25,64
1537114406,24,72
1537116284,25,74
1537118212,25,83
1537120356,31,75
1537122260,35,59
1537124514,34,83
1537126358,23,67
1537128329,24,66
1537130190,30,75
1537132126,38,24
1537134030,23,31
1537136212,32,36
1537138132,37,30
1537140036,35,26
1537142194,37,51
1537144113,25,32
1537146098,33,32
1537147956,30,31
1537149881,21,18
1537151821,50,31
1537153962,31,43
1537155897,32,16
1537157800,35,32
1537159734,28,29
1537161644,35,26
1537163584,32,61
1537165482,20,62
1537167408,23,59
1537169309,45,49
1537171294,28,70
1537173171,26,44
1537175098,117,29
1537176999,100,28
1537178935,123,28
1537180851,105,32
1537182773,97,15
1537184678,127,31
1537186623,162,20
1537188535,146,37
1537190458,145,28
1537192361,112,28
1537194550,167,43
1537196688,113,32
1537198602,111,25
1537200566,120,25
1537202560,198,19
1537204845,202,30
1537206759,147,30
1537208655,109,32
1537210599,86,30
1537212545,113,22
1537214496,58,24
1537216367,32,26
1537218270,51,46
1537220213,40,18
1537222126,44,33
1537224288,30,37
1537226214,38,31
1537228132,33,34
1537230577,49,33
1537232470,41,35
1537234352,34,28
1537236280,11,21
1537238176,27,47
1537240128,32,32
1537242048,23,30
1537243946,40,35
1537245859,24,32
1537247805,36,29
1537249694,27,34
1537251633,28,19
1537253561,37,21
1537255476,23,42
1537257397,25,31
1537259316,26,24
1537261299,43,110
1537263170,33,97
1537265116,34,117
1537266974,33,112
1537268937,39,96
1537271082,30,135
1537273009,32,158
1537275158,32,161
1537277073,26,135
1537279005,34,122
1537281155,38,157
1537283058,32,106
1537285253,29,129
1537287927,32,193
1537290124,37,194
1537291976,23,192
1537293901,31,116
1537295788,34,104
1537297722,33,91
1537299620,26,100
1537301564,35,36
1537303491,40,37
1537305387,35,46
1537307309,31,38
1537309250,31,36
1537311165,19,32
1537313086,35,34
1537314988,29,28
1537317166,30,49
1537319073,19,39
1537320979,32,34
1537322923,33,16
1537324852,22,24
1537326747,29,27
1537328664,26,28
1537330602,27,38
1537332502,35,26
1537334436,23,35
1537336349,28,34
1537338279,29,21
1537340210,30,39
1537342372,26,24
1537344264,46,26
1537346072,29,30
1537347881,16,36
1537349791,28,36
1537351732,36,28
1537353677,22,38
1537355553,31,34
1537357491,29,25
1537359433,36,33
1537361307,40,27
1537363250,25,22
1537365159,18,29
1537367081,19,38
1537368997,30,32
1537371154,29,29
1537373120,20,25
1537374990,31,25
1537376912,48,30
1537378831,33,29
1537380757,33,36
1537382692,25,30
1537384601,43,38
1537386510,26,29
1537388434,32,40
1537390358,30,43
1537392272,32,35
1537394192,30,31
1537396106,25,30
1537398125,30,30
1537399963,27,33
1537401889,32,28
1537403797,31,29
1537405722,42,22
