DateTime,Entries,UniqueIPs
1536900752,1653,1653
1536902691,1646,1646
1536904601,1490,1490
1536906533,1485,1485
1536908491,1493,1493
1536910626,1495,1495
1536912558,1479,1479
1536914473,1471,1471
1536916367,1485,1485
1536918287,1473,1473
1536920232,1476,1476
1536922106,1481,1481
1536924076,1469,1469
1536925958,1455,1455
1536928135,1447,1447
1536930099,1444,1444
1536931972,1444,1444
1536933877,1457,1457
1536935780,1458,1458
1536937748,1521,1521
1536939899,1520,1520
1536941809,1511,1511
1536943724,1521,1521
1536945647,1540,1540
1536947571,1544,1544
1536949483,1546,1546
1536951401,1534,1534
1536953337,1550,1550
1536955286,1549,1549
1536957165,1544,1544
1536959095,1538,1538
1536961023,1548,1548
1536962922,1543,1543
1536964875,1545,1545
1536967029,1562,1562
1536968904,1554,1554
1536970847,1550,1550
1536972771,1536,1536
1536974696,1539,1539
1536976578,1530,1530
1536978507,1525,1525
1536980512,1533,1533
1536982376,1523,1523
1536984339,1500,1500
1536986190,1522,1522
1536988136,1556,1556
1536990060,1558,1558
1536992221,1577,1577
1536994360,1594,1594
1536996520,1579,1579
1536998498,1734,1734
1537000370,1730,1730
1537002290,1730,1730
1537004214,1729,1729
1537006129,1739,1739
1537008054,1731,1731
1537009963,1750,1750
1537011884,1752,1752
1537013846,1765,1765
1537015979,1808,1808
1537017880,1826,1826
1537019809,1853,1853
1537021714,1848,1848
1537023697,1795,1795
1537025564,1789,1789
1537027553,1831,1831
1537029646,1871,1871
1537031588,1904,1904
1537033475,1941,1941
1537035429,1979,1979
1537037303,2011,2011
1537039260,2052,2052
1537041166,2089,2089
1537043088,2136,2136
1537044985,2153,2153
1537046946,2148,2148
1537048937,2150,2150
1537050779,2151,2151
1537052684,2150,2150
1537054632,2146,2146
1537056545,2168,2168
1537058455,2163,2163
1537060355,2176,2176
1537062293,2172,2172
1537064204,2175,2175
1537066114,2177,2177
1537068050,2176,2176
1537069954,2176,2176
1537071891,2182,2182
1537073783,2150,2150
1537075729,2134,2134
1537077698,2171,2171
1537079573,2181,2181
1537081493,2197,2197
1537083529,2214,2214
1537085347,2243,2243
1537087245,2256,2256
1537089168,2256,2256
1537091356,2247,2247
1537093261,2249,2249
1537095151,2247,2247
1537097096,2235,2235
1537098996,2226,2226
1537100937,2222,2222
1537102889,2176,2176
1537104789,2141,2141
1537106710,2134,2134
1537108631,1952,1952
1537110546,1946,1946
1537112456,1907,1907
1537114406,1859,1859
1537116284,1810,1810
1537118212,1752,1752
1537120356,1708,1708
1537122260,1684,1684
1537124514,1635,1635
1537126358,1591,1591
1537128329,1549,1549
1537130190,1504,1504
1537132126,1518,1518
1537134030,1510,1510
1537136212,1506,1506
1537138132,1513,1513
1537140036,1522,1522
1537142194,1508,1508
1537144113,1501,1501
1537146098,1502,1502
1537147956,1501,1501
1537149881,1504,1504
1537151821,1523,1523
1537153962,1511,1511
1537155897,1527,1527
1537157800,1530,1530
1537159734,1529,1529
1537161644,1538,1538
1537163584,1509,1509
1537165482,1467,1467
1537167408,1431,1431
1537169309,1427,1427
1537171294,1385,1385
1537173171,1367,1367
1537175098,1455,1455
1537176999,1527,1527
1537178935,1622,1622
1537180851,1695,1695
1537182773,1777,1777
1537184678,1873,1873
1537186623,2015,2015
1537188535,2124,2124
1537190458,2241,2241
1537192361,2325,2325
1537194550,2449,2449
1537196688,2530,2530
1537198602,2616,2616
1537200566,2711,2711
1537202560,2890,2890
1537204845,3062,3062
1537206759,3179,3179
1537208655,3256,3256
1537210599,3312,3312
1537212545,3403,3403
1537214496,3437,3437
1537216367,3443,3443
1537218270,3448,3448
1537220213,3470,3470
1537222126,3481,3481
1537224288,3474,3474
1537226214,3481,3481
1537228132,3480,3480
1537230577,3496,3496
1537232470,3502,3502
1537234352,3508,3508
1537236280,3498,3498
1537238176,3478,3478
1537240128,3478,3478
1537242048,3471,3471
1537243946,3476,3476
1537245859,3468,3468
1537247805,3475,3475
1537249694,3468,3468
1537251633,3477,3477
1537253561,3493,3493
1537255476,3474,3474
1537257397,3468,3468
1537259316,3470,3470
1537261299,3403,3403
1537263170,3339,3339
1537265116,3256,3256
1537266974,3177,3177
1537268937,3120,3120
1537271082,3015,3015
1537273009,2889,2889
1537275158,2760,2760
1537277073,2651,2651
1537279005,2563,2563
1537281155,2444,2444
1537283058,2370,2370
1537285253,2270,2270
1537287927,2109,2109
1537290124,1952,1952
1537291976,1783,1783
1537293901,1698,1698
1537295788,1628,1628
1537297722,1570,1570
1537299620,1496,1496
1537301564,1495,1495
1537303491,1498,1498
1537305387,1487,1487
1537307309,1480,1480
1537309250,1475,1475
1537311165,1462,1462
1537313086,1463,1463
1537314988,1464,1464
1537317166,1445,1445
1537319073,1425,1425
1537320979,1423,1423
1537322923,1440,1440
1537324852,1438,1438
1537326747,1440,1440
1537328664,1438,1438
1537330602,1427,1427
1537332502,1436,1436
1537334436,1424,1424
1537336349,1418,1418
1537338279,1426,1426
1537340210,1417,1417
1537342372,1419,1419
1537344264,1439,1439
1537346072,1438,1438
1537347881,1418,1418
1537349791,1410,1410
1537351732,1418,1418
1537353677,1402,1402
1537355553,1399,1399
1537357491,1403,1403
1537359433,1406,1406
1537361307,1419,1419
1537363250,1422,1422
1537365159,1411,1411
1537367081,1392,1392
1537368997,1390,1390
1537371154,1390,1390
1537373120,1385,1385
1537374990,1391,1391
1537376912,1409,1409
1537378831,1413,1413
1537380757,1410,1410
1537382692,1405,1405
1537384601,1410,1410
1537386510,1407,1407
1537388434,1399,1399
1537390358,1386,1386
1537392272,1383,1383
1537394192,1382,1382
1537396106,1377,1377
1537398125,1377,1377
1537399963,1371,1371
1537401889,1375,1375
1537403797,1377,1377
1537405722,1397,1397
1537407645,1386,1386
1537409552,1388,1388
1537411468,1392,1392
1537413393,1386,1386
1537415343,1392,1392
1537417237,1390,1390
1537419172,1388,1388
1537421092,1407,1407
1537423027,1417,1417
1537424906,1420,1420
1537426902,1406,1406
1537428756,1421,1421
1537430727,1397,1397
1537432840,1404,1404
1537434772,1404,1404
1537436669,1412,1412
1537438598,1399,1399
1537440514,1395,1395
1537442453,1402,1402
1537444379,1391,1391
1537446291,1384,1384
1537448203,1381,1381
1537450105,1390,1390
1537452094,1404,1404
1537453958,1422,1422
1537455886,1422,1422
1537457800,1437,1437
1537459763,1452,1452
1537461661,1452,1452
1537463561,1448,1448
1537465489,1457,1457
1537467406,1465,1465
1537469312,1477,1477
1537471241,1478,1478
1537473154,1483,1483
1537475086,1496,1496
1537476990,1520,1520
1537478904,1516,1516
1537480908,1512,1512
1537482758,1531,1531
1537484672,1542,1542
1537486607,1564,1564
1537488518,1572,1572
1537490438,1581,1581
1537492357,1580,1580
1537494275,1597,1597
1537496223,1584,1584
1537498107,1610,1610
1537500057,1617,1617
1537502006,1621,1621
1537503882,1625,1625
1537505792,1626,1626
1537507732,1612,1612
1537509687,1622,1622
1537511556,1625,1625
1537513477,1632,1632
1537515405,1639,1639
1537517338,1650,1650
1537519248,1668,1668
1537521430,1683,1683
1537523346,1673,1673
1537525264,1688,1688
1537527175,1689,1689
1537529100,1686,1686
1537531003,1693,1693
1537532927,1695,1695
1537534892,1691,1691
1537536768,1695,1695
1537538709,1684,1684
1537540610,1677,1677
1537542528,1673,1673
1537544443,1659,1659
1537546613,1650,1650
1537548757,1644,1644
1537550683,1630,1630
1537552582,1615,1615
1537554519,1612,1612
1537556458,1601,1601
1537558367,1612,1612
1537560271,1600,1600
1537562178,1589,1589
1537564136,1583,1583
1537566044,1574,1574
1537567964,1577,1577
1537569863,1565,1565
1537571813,1563,1563
1537573730,1542,1542
1537575654,1520,1520
1537577809,1512,1512
1537580448,1506,1506
1537582368,1511,1511
1537584284,1495,1495
1537586211,1483,1483
1537588354,1497,1497
1537590274,1487,1487
1537592173,1480,1480
1537594367,1492,1492
1537596325,1494,1494
1537598193,1483,1483
1537600120,1482,1482
1537602051,1481,1481
1537603960,1466,1466
1537605875,1430,1430
1537607799,1418,1418
1537609711,1420,1420
1537611630,1416,1416
1537613558,1406,1406
1537615476,1408,1408
1537617389,1392,1392
1537619305,1384,1384
1537621293,1382,1382
1537623152,1365,1365
1537625081,1372,1372
1537627003,1390,1390
1537628912,1389,1389
1537630828,1389,1389
1537632786,1392,1392
1537634668,1386,1386
1537636595,1391,1391
1537638515,1389,1389
1537640437,1381,1381
1537642349,1385,1385
1537644275,1383,1383
1537646205,1376,1376
1537648106,1368,1368
1537650093,1353,1353
1537651960,1348,1348
1537653892,1347,1347
1537655786,1335,1335
1537657716,1332,1332
1537659634,1327,1327
1537661551,1330,1330
1537663473,1335,1335
1537665401,1338,1338
1537667306,1330,1330
1537669279,1333,1333
1537671148,1324,1324
1537673070,1320,1320
1537674987,1311,1311
1537676909,1300,1300
1537678912,1300,1300
1537680757,1302,1302
1537682726,1281,1281
1537684613,1282,1282
1537686509,1271,1271
1537688433,1272,1272
1537690355,1273,1273
1537692272,1280,1280
1537694203,1277,1277
1537696112,1276,1276
1537698034,1275,1275
1537699951,1289,1289
1537701868,1292,1292
1537703801,1281,1281
1537705710,1274,1274
1537707686,1278,1278
1537709551,1286,1286
1537711472,1274,1274
1537713405,1245,1245
1537715308,1256,1256
1537717233,1268,1268
1537719186,1262,1262
1537721075,1250,1250
1537722997,1247,1247
1537724909,1250,1250
1537726829,1266,1266
1537728764,1249,1249
1537730677,1247,1247
1537732751,1241,1241
1537734756,1235,1235
1537736699,1260,1260
1537738604,1255,1255
1537740510,1270,1270
1537742434,1260,1260
1537744347,1258,1258
1537746267,1268,1268
1537748205,1272,1272
1537750120,1258,1258
1537752025,1260,1260
1537753948,1253,1253
1537755866,1254,1254
1537757805,1258,1258
1537759702,1262,1262
1537761711,1270,1270
1537763556,1286,1286
1537765473,1266,1266
1537767407,1263,1263
1537769313,1260,1260
1537771235,1271,1271
1537773155,1293,1293
1537775076,1282,1282
1537777008,1280,1280
1537778907,1291,1291
1537780827,1310,1310
1537782848,1316,1316
1537784677,1319,1319
1537786606,1310,1310
1537788498,1319,1319
1537790504,1348,1348
1537792368,1349,1349
1537794316,1344,1344
1537796211,1346,1346
1537798132,1369,1369
1537800120,1391,1391
1537801968,1393,1393
1537803867,1396,1396
1537805820,1411,1411
1537807709,1416,1416
1537809879,1429,1429
1537811801,1418,1418
1537813951,1401,1401
1537815907,1410,1410
1537817810,1410,1410
1537819734,1401,1401
1537821648,1412,1412
1537823562,1399,1399
1537825476,1400,1400
1537827404,1396,1396
1537829306,1408,1408
1537831228,1408,1408
1537833173,1410,1410
1537835082,1403,1403
1537837002,1406,1406
1537838899,1407,1407
1537840937,1404,1404
1537842779,1405,1405
1537844691,1400,1400
1537846581,1390,1390
1537848537,1387,1387
1537850460,1381,1381
1537852348,1383,1383
1537854265,1406,1406
1537856219,1412,1412
1537858103,1410,1410
1537860046,1399,1399
1537861988,1397,1397
1537863884,1408,1408
1537865783,1403,1403
1537867718,1384,1384
1537869705,1379,1379
