DateTime,Entries,UniqueIPs
1536719326,632,632
1536721318,631,631
1536723159,631,631
1536725152,629,629
1536727008,630,630
1536728941,628,628
1536730841,628,628
1536732781,627,627
1536734681,627,627
1536736628,628,628
1536738524,628,628
1536742362,629,629
1536744309,628,628
1536746230,625,625
1536748128,623,623
1536750066,621,621
1536753873,622,622
1536755798,623,623
1536759625,623,623
1536761557,622,622
1536763493,622,622
1536765378,621,621
1536767311,623,623
1536769252,622,622
1536771164,621,621
1536773082,619,619
1536774983,618,618
1536776925,48,48
1536778894,47,47
1536780764,48,48
1536782683,44,44
1536784578,42,42
1536786530,41,41
1536788438,39,39
1536794241,38,38
1536796099,39,39
1536798047,40,40
1536801896,40,40
1536803786,40,40
1536805708,40,40
1536807693,39,39
1536809567,39,39
1536813410,38,38
1536815335,39,39
1536817246,37,37
1536819163,37,37
1536821092,37,37
1536823238,35,35
1536829008,36,36
1536831149,35,35
1536833056,37,37
1536834973,38,38
1536836915,40,40
1536839081,39,39
1536841025,37,37
1536842908,36,36
1536844834,37,37
1536846783,38,38
1536848672,40,40
1536852504,39,39
1536854488,37,37
1536856362,36,36
1536858324,35,35
1536862114,36,36
1536864027,37,37
1536865957,36,36
1536869802,38,38
1536873867,39,39
1536879703,38,38
1536881543,37,37
1536885427,36,36
1536887343,36,36
1536889256,37,37
1536891162,37,37
1536893063,38,38
1536895035,36,36
1536896907,35,35
1536898863,37,37
1536900753,35,35
1536902691,40,40
1536906534,41,41
1536908491,41,41
1536910627,41,41
1536912559,42,42
1536914474,40,40
1536916368,42,42
1536918288,43,43
1536920233,41,41
1536922107,39,39
1536925959,41,41
1536931973,39,39
1536933878,39,39
1536935781,37,37
1536937749,35,35
1536939900,34,34
1536945648,35,35
1536947572,34,34
1536949484,36,36
1536951401,35,35
1536955286,36,36
1536957165,34,34
1536959096,33,33
1536961023,34,34
1536962923,35,35
1536967030,36,36
1536970856,38,38
1536972772,38,38
1536974697,38,38
1536976579,39,39
1536978507,39,39
1536980512,36,36
1536984340,38,38
1536986191,37,37
1536988136,34,34
