DateTime,AddedIPs,RemovedIPs
1536799966,1,0
1536801898,0,1
1536805709,0,2
1536807694,0,3
1536809568,0,2
1536811473,0,1
1536813410,0,2
1536819164,2,3
1536821093,2,0
1536823240,0,1
1536825165,1,2
1536827100,0,2
1536829009,0,1
1536831150,1,2
1536834973,3,1
1536836916,3,0
1536839082,0,1
1536842908,2,0
1536844835,0,1
1536848672,2,0
1536850590,0,1
1536852505,2,4
1536858329,4,0
1536860211,2,2
1536864028,3,0
1536865958,2,0
1536869803,0,1
1536871972,0,1
1536873867,0,1
1536875802,2,0
1536877708,2,1
1536883500,3,1
1536885427,2,1
1536893064,3,0
1536895036,1,0
1536896908,1,0
1536900753,4,0
1536904602,3,2
1536906535,1,1
1536908492,1,1
1536910628,1,0
1536912559,1,1
1536914476,2,0
1536916368,1,0
1536918290,0,1
1536920234,2,1
1536922107,1,2
1536924077,1,3
1536928137,0,2
1536930101,1,0
1536933878,1,0
1536935781,0,2
1536937749,0,1
1536939901,3,1
1536941811,3,0
1536943726,0,3
1536945650,0,3
1536947572,1,0
1536949484,1,3
1536951402,2,1
1536953339,1,1
1536957166,1,0
1536959097,1,0
1536962931,1,3
1536964877,1,1
1536967031,1,0
1536968905,0,2
1536970856,0,1
1536972772,0,2
1536974698,2,0
1536976580,1,0
1536978508,3,1
1536980513,0,3
1536982377,3,1
1536984340,3,0
1536986192,1,3
1536988137,0,1
1536990062,2,2
1536992222,3,2
1536994361,2,1
1536996522,2,1
1536998501,2,1
1537000371,1,2
1537002291,0,1
1537008056,1,2
1537009965,1,2
1537011885,2,0
1537015980,1,1
1537017883,3,0
1537019810,0,1
1537021716,1,0
1537023699,1,0
1537025565,3,2
1537027555,8,4
1537029648,1,0
1537031593,2,0
1537033477,1,1
1537035434,0,1
1537037304,2,2
1537039261,0,1
1537041176,1,0
1537043089,1,1
1537044986,5,0
1537046947,1,1
1537048938,2,0
1537050781,0,2
1537052686,1,0
1537054634,4,1
1537056546,2,0
1537058456,1,0
1537060357,0,1
1537062295,0,1
1537064205,0,3
1537066116,2,1
1537068051,1,3
1537069955,2,1
1537071892,2,2
1537073784,0,1
1537075739,3,1
1537077699,1,4
1537079575,1,0
