DateTime,AddedIPs,RemovedIPs
1536895036,4,3
1536896909,2,4
1536898865,4,1
1536900754,1,1
1536902692,2,1
1536904603,2,4
1536906535,1,1
1536908493,3,2
1536910628,6,1
1536912560,10,1
1536914476,2,2
1536916369,2,2
1536918290,9,5
1536920234,3,4
1536922108,2,4
1536924078,5,2
1536925960,1,4
1536928137,2,1
1536930102,3,4
1536931974,2,8
1536933880,2,4
1536935782,7,13
1536937750,1,5
1536939901,2,4
1536941811,6,4
1536943726,4,6
1536945651,2,6
1536947573,3,2
1536949485,4,3
1536951403,5,1
1536953339,1,3
1536955288,3,5
1536957167,5,3
1536959098,9,15
1536961024,4,5
1536962932,7,1
1536964877,2,3
1536967031,12,1
1536968906,2,3
1536972773,1,3
1536974698,7,7
1536976580,5,0
1536978508,0,4
1536980514,5,2
1536982378,2,4
1536984341,2,2
1536986192,0,6
1536988137,5,1
1536990062,11,3
1536992223,3,1
1536994362,2,6
1536996522,4,3
1536998503,0,13
1537000372,3,2
1537002292,3,3
1537004216,17,6
1537006132,3,4
1537008056,1,3
1537009965,5,4
1537011886,3,5
1537013848,1,3
1537015981,12,2
1537017884,2,6
1537019811,5,4
1537021716,2,4
1537023699,3,6
1537025565,3,2
1537027555,3,3
1537029648,5,6
1537031594,3,2
1537033477,5,3
1537035434,1,4
1537037304,3,4
1537039262,0,3
1537041176,11,3
1537043089,8,4
1537044986,7,10
1537046947,1,3
1537048938,32,6
1537050781,18,2
1537052686,5,0
1537054634,1,11
1537056547,3,0
1537058457,4,1
1537060357,4,2
1537062295,4,5
1537064205,6,4
1537066116,4,3
1537068052,6,5
1537069956,8,2
1537071892,5,0
1537073784,4,6
1537075739,5,10
1537077699,4,1
1537079575,4,3
1537081507,3,3
1537083531,2,3
1537085349,4,0
1537087246,2,2
1537089170,2,9
1537091358,5,13
1537093263,15,3
1537095153,6,1
1537097097,2,7
1537098998,7,4
1537100939,2,3
1537102890,4,12
1537104790,5,4
1537106713,4,4
1537108634,1,3
1537110548,2,4
1537112458,4,3
1537114408,1,6
1537116287,13,3
1537118214,1,6
1537120358,8,1
1537122262,8,1
1537124518,2,3
1537126360,4,7
1537128332,17,11
1537130192,14,6
1537132129,5,2
1537134032,2,3
1537136214,8,23
1537138135,4,5
1537140046,2,3
1537142197,13,2
1537144115,2,4
1537146100,4,5
1537147958,1,5
1537149883,3,2
1537151830,6,12
1537153965,4,6
1537155916,3,6
1537157802,5,5
1537159736,2,3
1537161646,10,5
1537163586,9,6
1537165484,4,1
1537167410,9,1
1537169311,11,1
1537171296,17,4
1537173173,1,4
1537175100,5,2
1537177001,4,2
1537178940,2,12
1537180853,13,10
1537182775,5,1
1537184680,4,5
1537186625,3,2
1537188538,2,5
1537190460,5,9
1537192364,2,1
1537194553,13,0
1537196693,9,1
1537198603,5,6
1537200569,4,0
1537202564,5,15
1537204847,6,2
1537206761,4,4
1537208657,8,5
1537210601,6,2
1537212547,24,0
1537214498,6,17
1537216369,9,11
1537218272,5,6
1537220215,5,2
1537222129,5,5
1537224290,0,9
1537226216,5,6
1537228134,2,9
1537230579,5,4
1537232473,5,2
1537234353,11,2
1537236282,11,2
1537238177,1,3
1537240130,5,2
1537242050,5,5
1537243948,5,3
1537245861,3,2
1537247806,12,9
1537249696,7,9
1537251634,2,6
1537253563,4,11
1537255477,7,5
1537257399,4,21
1537259318,7,2
1537261302,6,2
1537263172,9,3
1537265129,6,4
1537266976,4,9
1537268939,4,7
1537271084,3,6
1537273011,8,2
1537275160,1,2
1537277074,5,4
1537279007,4,2
1537281157,4,11
1537283060,2,11
1537285255,12,5
1537287929,18,5
1537290126,13,1
1537291978,5,5
1537293916,4,6
1537295789,6,4
1537297724,4,6
1537299622,3,25
1537301566,10,10
1537303493,2,3
1537305389,4,4
1537307312,5,2
1537309252,7,4
1537311167,7,5
1537313088,8,2
1537314990,7,1
1537317168,2,4
1537319075,2,7
1537320981,3,14
1537322925,7,5
1537324854,3,2
1537326749,1,5
1537328666,5,3
1537330608,1,6
1537332504,3,7
1537334438,8,9
1537336351,1,5
1537338281,1,8
1537340212,10,4
1537342374,3,6
1537344268,6,8
1537346074,3,3
1537347883,2,4
1537349793,8,9
1537351734,4,4
1537353679,2,4
1537355554,11,3
1537357493,4,1
1537359435,5,5
1537361309,13,1
1537363262,3,5
1537365161,7,4
1537367083,3,4
1537368999,1,1
1537371157,1,14
1537373134,3,16
1537374992,4,4
1537376914,3,13
1537378833,7,6
1537380759,9,2
1537382693,1,4
1537384603,9,3
1537386512,4,8
1537388437,0,7
1537390360,6,3
1537392274,4,4
1537394193,6,3
1537396108,6,6
1537398138,6,8
1537399965,7,7
1537401891,2,6
1537403799,2,2
1537405732,2,1
1537407646,3,1
1537409554,7,6
1537411470,9,3
1537413394,3,2
1537415346,3,6
1537417240,1,2
1537419173,2,3
1537421094,1,10
1537423029,7,2
1537424908,6,1
1537426905,2,10
1537428758,6,5
1537430729,0,9
1537432843,5,2
1537434774,8,2
1537436671,4,8
1537438617,6,5
1537440516,3,5
1537442456,2,9
1537444381,9,4
1537446293,12,10
1537448205,8,9
1537450107,4,9
1537452109,3,3
1537453962,1,5
1537455888,5,3
1537457810,10,2
1537459765,5,1
1537461663,2,4
1537463563,4,3
1537465499,3,6
1537467408,3,11
1537469313,4,3
1537471242,6,10
1537473156,5,6
1537475096,6,3
1537476992,7,3
1537478906,5,8
1537480910,6,9
1537482760,0,5
1537484674,4,5
1537486609,2,8
1537488520,3,5
1537490440,3,2
1537492359,2,3
1537494276,1,4
1537496233,1,11
1537498109,2,7
1537500058,10,1
1537502007,6,3
1537503883,0,2
1537505794,5,4
1537507734,3,5
1537509690,0,7
1537511558,2,4
1537513479,6,5
1537515407,0,8
1537517339,4,3
1537519250,4,6
1537521432,5,11
1537523348,7,6
1537525270,6,10
1537527177,8,3
1537529102,2,3
1537531005,5,9
1537532929,2,14
1537534895,2,12
1537536770,5,4
1537538712,8,4
1537540620,6,5
1537542546,5,6
1537544444,1,15
1537546614,2,6
1537548759,4,5
1537550685,15,6
1537552584,6,3
1537554520,4,4
1537556459,2,3
1537558368,3,8
1537560272,1,8
1537562180,3,10
1537564137,3,5
1537566045,4,10
1537567966,4,5
1537569865,4,1
1537571815,11,3
1537573732,7,7
1537575655,3,3
1537577811,6,5
1537580450,9,2
1537582369,8,0
1537584285,5,3
1537586213,1,7
1537588355,2,6
1537590275,2,1
1537592174,6,3
1537594368,3,3
1537596326,2,0
1537598195,0,1
1537600125,1,5
1537602054,5,2
1537603961,3,3
1537605877,4,4
1537607801,2,4
1537609713,1,6
1537611631,3,6
1537613560,9,5
1537615477,1,3
1537617390,0,2
1537619307,3,2
1537621295,6,3
1537623153,2,2
1537625091,3,9
1537627004,2,5
1537628914,2,5
1537630829,4,1
1537632787,3,3
1537634669,4,1
1537636605,13,8
1537638516,7,16
1537640438,4,3
1537642351,1,5
1537644277,1,2
1537646207,2,1
1537648107,2,2
1537650094,0,1
1537651961,7,7
1537653894,3,4
1537655788,2,2
1537657718,2,10
1537659638,4,5
1537661552,6,7
1537663475,5,4
1537665403,7,8
1537667307,4,9
1537669281,3,4
1537671168,0,4
1537673072,3,1
1537674989,8,3
1537676910,4,3
1537678913,1,6
1537680758,3,2
1537682727,4,2
1537686511,2,1
1537688436,1,5
1537690357,4,4
1537692274,3,4
1537694205,1,3
1537696114,7,2
1537698036,0,4
1537699953,10,8
1537701871,4,2
1537703803,1,0
1537705712,1,4
1537707687,3,6
1537709553,3,1
1537711474,2,5
1537713406,9,2
1537715310,2,4
1537717235,3,5
1537719188,7,3
1537721077,1,3
1537722999,0,13
1537724910,2,6
1537726831,1,3
1537728766,6,0
1537730679,4,3
1537732753,1,2
1537734758,3,2
1537736746,3,2
1537738605,3,7
1537740512,8,4
1537742437,7,3
1537744349,4,3
1537746269,4,5
1537748207,0,4
1537750121,5,6
1537752027,6,6
1537753950,3,5
1537755868,6,4
1537757807,4,1
1537759704,11,3
1537761713,5,7
1537763557,5,4
1537765475,1,3
1537767409,1,2
1537769315,5,2
1537771237,2,1
1537773156,1,0
1537775077,0,2
1537777015,7,5
1537778909,1,3
1537780829,6,2
1537782857,4,6
1537784679,2,2
1537786607,3,7
1537788519,9,2
1537790506,8,0
1537792370,3,0
1537794318,4,4
1537796213,6,3
1537798134,1,2
1537800122,2,10
1537801970,1,3
1537803868,2,8
1537805822,4,3
1537807711,6,1
1537809881,4,1
1537811803,6,1
1537813952,2,7
1537815908,3,5
1537817812,5,1
1537819736,4,1
1537821649,5,4
1537823563,6,1
1537825478,5,4
1537827406,9,11
1537829308,4,3
1537831230,3,3
1537833175,2,3
1537835084,7,1
1537837005,5,7
1537838900,3,4
1537840940,4,4
1537842780,1,3
1537844693,1,1
1537846583,1,5
1537848539,2,1
1537850464,5,5
1537852349,0,1
1537856221,1,6
1537858105,1,1
1537860047,2,1
1537861989,3,1
1537863886,13,5
1537865794,10,1
1537867720,1,4
1537869708,9,4
