DateTime,Entries,UniqueIPs
1536900755,469,469
1536902693,473,473
1536904603,485,485
1536906536,484,484
1536908494,480,480
1536910630,478,478
1536912561,485,485
1536914478,482,482
1536916370,476,476
1536918292,477,477
1536920235,478,478
1536922109,476,476
1536924079,474,474
1536925961,473,473
1536928138,472,472
1536930103,474,474
1536931975,482,482
1536933881,480,480
1536935783,480,480
1536937751,483,483
1536939902,506,506
1536941812,507,507
1536943727,512,512
1536945652,509,509
1536947574,505,505
1536949485,535,535
1536951403,531,531
1536953340,528,528
1536955289,536,536
1536957168,528,528
1536959100,544,544
1536961025,540,540
1536962933,542,542
1536964878,543,543
1536967032,541,541
1536968906,537,537
1536970858,528,528
1536972774,533,533
1536974699,531,531
1536976581,533,533
1536978509,532,532
1536980515,531,531
1536982379,529,529
1536984342,535,535
1536986193,540,540
1536988138,538,538
1536990063,541,541
1536992224,533,533
1536994363,531,531
1536996523,533,533
1536998504,533,533
1537000373,532,532
1537002293,532,532
1537004225,540,540
1537006133,536,536
1537008057,532,532
1537009966,538,538
1537011887,536,536
1537013849,526,526
1537015982,519,519
1537017886,513,513
1537019812,519,519
1537021717,519,519
1537023703,519,519
1537025566,500,500
1537027556,498,498
1537029650,483,483
1537031597,493,493
1537033478,498,498
1537035435,473,473
1537037305,475,475
1537039263,472,472
1537041177,472,472
1537043090,472,472
1537044987,458,458
1537046948,459,459
1537048940,458,458
1537050783,461,461
1537052687,461,461
1537054635,471,471
1537056548,474,474
1537058457,477,477
1537060358,473,473
1537062296,475,475
1537064207,478,478
1537066117,483,483
1537068052,477,477
1537069957,470,470
1537071893,479,479
1537073785,472,472
1537075740,472,472
1537077701,473,473
1537079576,474,474
1537081533,478,478
1537083532,481,481
1537085350,488,488
1537087248,488,488
1537089171,482,482
1537091359,476,476
1537093264,484,484
1537095155,482,482
1537097098,480,480
1537098999,483,483
1537100940,487,487
1537102891,487,487
1537104791,483,483
1537106714,482,482
1537108635,484,484
1537110549,480,480
1537112459,476,476
1537114409,481,481
1537116288,484,484
1537118215,481,481
1537120359,478,478
1537122262,476,476
1537124519,476,476
1537126361,480,480
1537128334,485,485
1537130193,487,487
1537132130,479,479
1537134033,478,478
1537136215,476,476
1537138136,480,480
1537140047,475,475
1537142198,468,468
1537144116,462,462
1537146101,464,464
1537147959,463,463
1537149884,461,461
1537151833,457,457
1537153965,457,457
1537155917,464,464
1537157803,458,458
1537159737,455,455
1537161647,450,450
1537163587,451,451
1537165485,453,453
1537167411,452,452
1537169312,453,453
1537171297,445,445
1537173174,438,438
1537175101,443,443
1537177002,442,442
1537178941,441,441
1537180854,438,438
1537182776,441,441
1537184681,445,445
1537186626,446,446
1537188539,455,455
1537190462,478,478
1537192365,483,483
1537194554,486,486
1537196695,490,490
1537198604,501,501
1537200571,511,511
1537202565,523,523
1537204848,518,518
1537206762,518,518
1537208658,531,531
1537210601,532,532
1537212548,534,534
1537214500,531,531
1537216370,533,533
1537218273,533,533
1537220216,537,537
1537222130,541,541
1537224291,547,547
1537226217,545,545
1537228135,547,547
1537230580,550,550
1537232474,551,551
1537234354,554,554
1537236283,555,555
1537238178,560,560
1537240131,559,559
1537242051,558,558
1537243949,560,560
1537245861,562,562
1537247807,567,567
