DateTime,AddedIPs,RemovedIPs
1536641338,1,1
1536643263,5,0
1536649006,0,1
1536651179,0,1
1536653079,1,0
1536655268,0,3
1536657164,1,0
1536659106,1,2
1536662946,1,0
1536664868,0,2
1536666776,1,0
1536668696,1,0
1536674511,1,1
1536676357,1,0
1536684299,0,1
1536686230,1,1
1536688290,0,2
1536690288,0,1
1536698222,0,1
1536700132,0,3
1536702040,2,0
1536703970,1,0
1536705884,0,1
1536707803,1,0
1536709729,1,1
1536713582,1,1
1536715512,1,0
1536719337,1,0
1536721326,1,0
1536723163,0,1
1536725156,0,1
1536727012,1,2
1536728946,0,2
1536730845,2,2
1536732785,3,0
1536736632,2,0
1536738528,1,1
1536742366,0,1
1536744318,1,1
1536748132,1,0
1536750097,2,1
1536753878,0,2
1536755803,1,1
1536759630,0,1
1536763499,0,1
1536765389,2,0
1536767315,1,0
1536769259,1,0
1536773087,0,1
1536780768,1,0
1536784582,0,1
1536786535,0,1
1536788442,1,2
1536790352,0,1
1536792263,2,0
1536794247,2,0
1536796103,2,1
1536799969,0,2
1536801901,2,1
1536803790,2,0
1536805712,2,0
1536807700,0,1
1536811477,2,1
1536813414,1,1
1536815339,0,1
1536817249,3,3
1536819175,0,3
1536821096,0,1
1536823251,1,2
1536825168,1,1
1536829012,1,1
1536831153,2,0
1536834983,0,1
1536836919,1,2
1536839085,1,0
1536842914,1,1
1536848676,2,0
1536850593,0,1
1536852508,0,1
1536854493,2,1
1536856366,1,1
1536858334,1,0
1536862118,1,0
1536864032,0,1
1536865961,1,0
1536867892,2,1
1536873870,3,0
1536875805,0,1
1536877712,1,1
1536879709,0,1
1536881546,0,2
1536883505,3,1
1536887346,0,2
1536889259,1,1
1536891166,1,3
1536893067,2,0
1536896911,1,1
1536898867,1,2
1536900756,1,0
1536902695,1,3
1536906538,1,0
1536910631,1,2
1536916372,2,2
1536918294,1,0
1536920237,1,0
1536924080,0,1
1536925963,2,1
1536928139,1,0
1536930104,1,1
1536931976,1,0
1536933882,1,2
1536937753,2,0
1536939904,1,0
1536941814,1,2
1536943729,0,2
1536949487,0,1
1536951405,0,1
1536953342,1,1
1536955290,0,1
1536957169,3,0
1536959103,2,1
1536961027,1,2
1536964880,0,1
1536968908,0,2
1536970859,1,1
1536974701,1,0
1536976583,0,1
1536978511,0,1
1536980517,1,2
1536982388,1,0
1536984344,2,1
1536986195,1,1
1536988140,0,1
1536990065,0,1
1536992225,1,0
1536994364,0,1
1536996525,0,1
1536998506,1,0
1537002295,1,2
1537006134,1,2
1537008059,2,0
1537009968,1,0
1537013851,0,2
1537015983,1,1
1537017887,1,2
1537021718,1,1
1537023704,1,1
1537027558,0,1
1537029651,3,1
1537031599,0,1
1537033479,1,0
1537035436,2,0
1537037306,1,0
1537039264,0,1
1537041178,3,0
1537043091,1,2
1537044988,0,3
1537048948,0,1
1537050785,1,0
1537052688,1,0
1537056549,1,1
1537060359,0,1
1537066125,0,1
1537069958,0,2
1537071895,0,2
1537079577,0,1
1537081534,1,0
1537085351,0,1
1537087249,0,1
1537091360,1,0
1537093265,0,1
1537095157,1,1
1537097107,1,1
1537100941,1,1
1537102892,1,1
1537104792,1,0
1537106715,2,0
1537108636,1,2
1537110550,0,1
1537112469,2,0
1537114411,0,1
1537116289,0,2
1537118217,1,0
1537120361,0,1
1537122264,5,1
1537124521,0,1
1537126362,1,0
1537128335,1,3
1537130195,1,1
1537138146,2,3
1537140049,1,0
1537142200,2,0
1537144118,2,0
1537146102,1,0
1537147961,1,0
1537151835,2,0
1537153967,1,0
1537155919,2,0
1537157804,0,1
1537159739,1,0
1537161650,4,0
1537165490,2,0
1537167420,1,0
1537169314,0,1
1537175103,1,0
1537177003,0,1
1537180864,1,0
1537182778,0,2
1537184683,1,0
1537188548,1,1
1537190463,2,2
1537192367,1,0
1537194555,0,2
1537196697,1,0
1537198606,1,2
1537204849,0,1
1537206764,1,0
1537208660,0,5
1537210603,2,0
1537212550,0,1
1537214510,1,1
1537216372,0,1
1537222131,1,0
1537224292,0,2
1537226219,1,1
1537228138,0,1
1537230589,0,2
1537232475,1,1
1537234355,1,2
1537236285,1,0
1537238179,0,2
1537240132,1,1
1537242052,0,2
1537245862,2,1
1537247808,0,3
1537249698,0,1
1537251636,1,1
1537253565,0,2
1537259321,1,0
1537261305,1,1
1537263174,1,0
1537265132,2,0
1537266979,2,1
1537268942,1,0
1537271087,1,1
1537273014,2,0
1537275163,0,3
1537277077,1,0
1537279009,0,1
1537281159,1,0
1537283069,2,2
1537285257,1,1
1537287933,1,0
1537290138,2,0
1537291981,2,1
1537293923,0,1
1537295793,2,0
1537297727,4,1
1537299625,1,0
1537301570,0,1
1537303495,1,0
1537305392,1,0
1537307314,0,1
1537311170,1,0
1537313091,0,1
1537314993,1,1
1537319078,0,1
1537320984,0,1
1537326752,0,1
1537328669,1,0
1537332507,1,2
1537334441,1,0
1537338285,1,1
1537340215,2,0
1537344271,0,1
1537346077,0,1
1537347886,0,1
1537349795,0,1
1537351737,0,1
1537353682,0,2
1537355557,0,1
1537357495,1,1
1537359437,1,1
1537361311,1,0
1537363273,1,0
1537367086,0,1
1537369002,0,1
1537371160,0,1
1537373140,0,1
1537374995,1,1
1537376926,1,2
1537380761,0,1
1537382696,2,2
1537384605,0,2
1537386521,3,1
1537388440,1,0
1537390363,0,1
1537392277,1,2
1537396111,1,0
1537398141,0,2
1537399968,1,1
1537401893,4,0
1537403801,2,0
1537405735,1,0
1537409560,2,0
1537411472,0,1
1537415348,0,1
1537419176,3,0
1537421097,2,1
1537424910,2,2
1537426908,3,2
1537430732,1,0
1537438619,1,0
1537440518,1,1
1537444384,2,1
1537446295,0,2
1537448208,0,1
1537450110,1,1
1537455891,1,0
1537459768,1,0
1537461681,2,1
1537463565,1,1
1537465501,1,0
1537469316,2,2
1537473158,0,4
1537475098,1,0
1537478908,2,1
1537482763,1,1
1537486612,1,0
1537488523,0,4
1537490442,1,2
1537492361,1,1
1537494278,2,0
1537496235,0,2
1537500060,2,0
1537502009,1,0
1537503885,2,0
1537505796,0,2
1537507736,2,2
1537509692,1,0
1537511560,0,2
1537513482,1,2
1537515409,1,1
1537517350,4,1
1537519252,1,0
1537523351,2,0
1537525272,1,2
1537527179,3,0
1537529104,1,0
1537531007,0,2
1537534898,1,0
1537536774,0,1
1537538714,2,0
1537540622,1,0
1537542549,1,0
1537546616,1,1
1537548760,3,2
1537550687,0,2
1537552586,1,0
1537554522,4,1
1537556462,0,1
1537558370,2,0
1537560274,1,1
1537562190,0,1
1537564139,1,0
1537566047,0,3
1537567968,2,1
1537573734,0,1
1537577813,2,1
1537580452,1,3
1537582372,2,0
1537586214,0,2
1537588357,2,1
1537590285,0,2
1537594371,1,3
1537596329,1,0
1537598197,3,1
1537600127,0,1
1537602057,2,1
1537603964,1,3
1537605880,0,1
1537607803,1,0
1537609715,1,2
1537611633,0,2
1537613562,0,2
1537615479,1,1
1537617392,1,0
1537619309,1,0
1537621297,0,1
1537623155,1,0
1537625125,0,2
1537627007,1,1
1537630832,0,1
1537632789,1,0
1537634672,0,3
1537636607,1,0
1537638527,1,1
1537640440,2,3
1537642353,1,2
1537644279,0,1
1537646209,0,1
1537650097,1,1
1537651964,3,0
1537653896,1,1
1537655795,1,0
1537657721,1,0
1537661555,2,0
1537663477,1,1
1537665405,0,1
1537667309,1,1
1537669285,1,2
1537673074,0,1
1537674992,1,2
1537676913,2,0
1537680760,0,1
1537682731,0,1
1537684617,0,4
1537686514,3,0
1537688439,2,2
1537690360,0,1
1537692276,2,0
1537694207,1,1
1537696116,0,1
1537698038,1,0
1537699955,2,0
1537701873,0,2
1537705715,2,1
1537707690,3,0
1537709555,1,1
1537711477,2,0
1537713410,0,1
1537715313,2,0
1537717238,1,0
1537719191,0,1
1537721079,1,0
1537723002,0,1
1537724913,3,0
1537726834,2,2
1537728768,4,1
1537734760,1,0
1537738608,0,3
1537740523,0,2
1537742440,2,0
1537744351,1,1
1537746271,1,0
1537748209,1,2
1537750123,1,1
1537752029,1,0
1537753952,1,2
1537755870,1,0
1537757809,1,0
1537759706,2,1
1537761718,1,0
1537763560,1,2
1537765481,2,0
1537767411,0,1
1537771247,0,1
1537773158,0,2
1537777017,1,0
1537778911,2,2
1537780832,1,0
1537782860,3,0
1537784681,0,1
1537786609,1,2
1537788530,0,1
1537790508,0,1
1537792372,0,1
1537794321,0,2
1537796215,0,1
1537798136,1,3
1537800124,1,2
1537801973,2,1
1537803870,0,1
1537805825,2,0
1537807713,3,1
1537809883,2,0
1537811805,0,1
1537813955,0,4
1537815911,2,2
1537817814,3,0
1537819738,2,1
1537821652,1,2
1537825480,1,1
1537829310,0,2
1537831233,0,1
1537835086,3,1
1537837008,1,1
1537838903,0,1
1537840943,0,1
1537842783,1,1
1537844703,1,1
1537846585,0,2
1537848541,1,1
1537850467,0,2
1537852354,0,2
1537854269,3,0
1537863889,1,1
1537865796,2,2
1537867724,0,1
1537869711,0,2
