DateTime,Entries,UniqueIPs
1536900755,4067,4067
1536902694,4180,4180
1536904604,4195,4195
1536906537,4168,4168
1536908495,4198,4198
1536910631,4227,4227
1536912562,4193,4193
1536914479,4226,4226
1536916371,4224,4224
1536918293,4319,4319
1536920236,4450,4450
1536922110,4519,4519
1536924080,4571,4571
1536925962,4944,4944
1536928139,4950,4950
1536930104,4948,4948
1536931976,4972,4972
1536933882,4928,4928
1536935784,4896,4896
1536937752,4850,4850
1536939903,4840,4840
1536941813,4842,4842
1536943728,4824,4824
1536945653,4826,4826
1536947574,4966,4966
1536949486,5001,5001
1536951404,4969,4969
1536953341,5006,5006
1536955289,5040,5040
1536957169,4943,4943
1536959101,4982,4982
1536961027,4995,4995
1536962934,5008,5008
1536964879,5008,5008
1536967033,5018,5018
1536968907,5021,5021
1536970859,5014,5014
1536972775,4989,4989
1536974700,5024,5024
1536976582,5035,5035
1536978510,5014,5014
1536980516,5033,5033
1536982388,5212,5212
1536984343,5314,5314
1536986194,5311,5311
1536988139,5277,5277
1536990064,5279,5279
1536992225,5325,5325
1536994364,5325,5325
1536996524,5262,5262
1536998505,5316,5316
1537000374,5307,5307
1537002294,5269,5269
1537004226,5277,5277
1537006134,5233,5233
1537008058,5233,5233
1537009967,5235,5235
1537011887,5553,5553
1537013850,6296,6296
1537015983,6291,6291
1537017887,6275,6275
1537019821,6273,6273
1537021718,6270,6270
1537023703,6276,6276
1537025567,6263,6263
1537027557,6257,6257
1537029650,6231,6231
1537031597,6241,6241
1537033479,6151,6151
1537035436,6245,6245
1537037306,6273,6273
1537039264,6223,6223
1537041178,6234,6234
1537043091,6237,6237
1537044988,6213,6213
1537046949,6202,6202
1537048948,6221,6221
1537050784,6218,6218
1537052688,6205,6205
1537054636,6211,6211
1537056548,6203,6203
1537058458,6213,6213
1537060359,6192,6192
1537062296,6229,6229
1537064207,6281,6281
1537066125,6316,6316
1537068053,5951,5951
1537069957,5829,5829
1537071894,5845,5845
1537073786,5809,5809
1537075749,5796,5796
1537077701,5720,5720
1537079577,5792,5792
1537081533,5818,5818
1537083532,5777,5777
1537085350,5780,5780
1537087248,5792,5792
1537089171,5763,5763
1537091359,5777,5777
1537093265,5794,5794
1537095156,5806,5806
1537097099,5806,5806
1537098999,4969,4969
1537100940,4381,4381
1537102892,4894,4894
1537104792,4875,4875
1537106715,4926,4926
1537108635,4928,4928
1537110550,4936,4936
1537112460,4936,4936
1537114410,4921,4921
1537116289,5856,5856
1537118216,5841,5841
1537120360,5826,5826
