DateTime,Entries,UniqueIPs
1536900756,1093,1093
1536902695,1093,1093
1536904605,1104,1104
1536906538,1108,1108
1536908496,1112,1112
1536910632,1113,1113
1536912562,1106,1106
1536914480,1107,1107
1536916372,1093,1093
1536918295,1111,1111
1536920237,1111,1111
1536922111,1128,1128
1536924080,1150,1150
1536925963,1182,1182
1536928140,1213,1213
1536930105,1213,1213
1536931977,1241,1241
1536933882,1242,1242
1536935785,1243,1243
1536937754,1223,1223
1536939904,1233,1233
1536941814,1235,1235
1536943729,1248,1248
1536945654,1253,1253
1536947575,1280,1280
1536949487,1303,1303
1536951405,1322,1322
1536953342,1337,1337
1536955290,1342,1342
1536957170,1211,1211
1536959104,1244,1244
1536961028,1251,1251
1536962935,1263,1263
1536964880,1270,1270
1536967035,1302,1302
1536968908,1303,1303
1536970863,1316,1316
1536972776,1322,1322
1536974701,1334,1334
1536976583,1349,1349
1536978511,1349,1349
1536980517,1362,1362
1536982389,1375,1375
1536984344,1381,1381
1536986195,1374,1374
1536988140,1375,1375
1536990065,1383,1383
1536992226,1390,1390
1536994365,1385,1385
1536996525,1387,1387
1536998507,1383,1383
1537000375,1386,1386
1537002295,1388,1388
1537004227,1388,1388
1537006135,1398,1398
1537008059,1388,1388
1537009968,1389,1389
1537011888,1385,1385
1537013851,1351,1351
1537015984,1356,1356
1537017888,1340,1340
1537019822,1332,1332
1537021719,1316,1316
1537023704,1325,1325
1537025568,1317,1317
1537027558,1308,1308
1537029651,1294,1294
1537031600,1300,1300
1537033480,1305,1305
1537035437,1310,1310
1537037307,1317,1317
1537039265,1313,1313
1537041179,1304,1304
1537043092,1304,1304
1537044989,1300,1300
1537046950,1318,1318
1537048949,1301,1301
1537050785,1306,1306
1537052689,1303,1303
1537054637,1295,1295
1537056549,1297,1297
1537058459,1289,1289
1537060360,1283,1283
1537062297,1287,1287
1537064208,1281,1281
1537066126,1269,1269
1537068054,1268,1268
1537069958,1257,1257
1537071895,1260,1260
1537073787,1262,1262
1537075750,1252,1252
1537077702,1256,1256
1537079578,1261,1261
1537081534,1261,1261
1537083533,1266,1266
1537085351,1268,1268
1537087252,1255,1255
1537089172,1243,1243
1537091361,1243,1243
1537093266,1232,1232
1537095158,1240,1240
1537097107,1236,1236
1537099000,1224,1224
1537100949,1223,1223
1537102893,1220,1220
1537104793,1209,1209
1537106716,1230,1230
1537108637,1223,1223
1537110551,1215,1215
1537112469,1221,1221
1537114411,1212,1212
1537116290,1210,1210
1537118217,1192,1192
1537120361,1176,1176
1537122264,1178,1178
1537124522,1181,1181
1537126363,1175,1175
1537128336,1169,1169
1537130195,1115,1115
1537132131,1107,1107
1537134035,1096,1096
1537136217,1100,1100
1537138146,1093,1093
1537140050,1098,1098
1537142200,1090,1090
1537144118,1088,1088
1537146103,1146,1146
1537147961,1175,1175
1537149886,1201,1201
1537151835,1227,1227
1537153968,1245,1245
1537155919,1237,1237
1537157805,1239,1239
1537159739,1227,1227
1537161651,1228,1228
1537163589,1209,1209
1537165490,1209,1209
1537167421,1205,1205
1537169315,1193,1193
1537171299,1189,1189
1537173176,1182,1182
1537175103,1166,1166
1537177004,1159,1159
1537178944,1140,1140
1537180864,1128,1128
1537182779,1127,1127
1537184684,1131,1131
1537186628,1121,1121
1537188549,1117,1117
1537190464,1111,1111
1537192367,1078,1078
1537194556,1077,1077
1537196698,1072,1072
1537198606,1066,1066
1537200573,1055,1055
1537202568,1055,1055
1537204850,1061,1061
1537206764,1059,1059
1537208660,1045,1045
1537210604,1051,1051
1537212550,1060,1060
1537214510,1059,1059
1537216372,1069,1069
1537218276,1076,1076
1537220226,1075,1075
1537222132,1076,1076
1537224293,1070,1070
1537226219,1057,1057
1537228139,1058,1058
1537230589,1065,1065
1537232475,1023,1023
1537234355,989,989
1537236285,964,964
1537238180,939,939
1537240132,922,922
1537242053,924,924
1537243951,937,937
1537245863,937,937
1537247809,934,934
1537249698,937,937
1537251636,931,931
1537253565,927,927
1537255480,936,936
1537257401,945,945
1537259321,943,943
1537261305,947,947
1537263174,951,951
1537265133,945,945
1537266979,933,933
1537268942,921,921
1537271087,908,908
1537273014,918,918
1537275163,909,909
1537277077,913,913
1537279009,913,913
1537281160,1099,1099
1537283070,1155,1155
1537285258,1510,1510
1537287933,1853,1853
1537290138,1854,1854
1537291981,1850,1850
1537293923,1853,1853
1537295793,1846,1846
1537297728,1840,1840
1537299625,1847,1847
1537301570,1844,1844
1537303496,1842,1842
1537305392,1819,1819
1537307319,1810,1810
1537309255,1805,1805
1537311170,1803,1803
1537313091,1812,1812
1537314994,1796,1796
1537317171,1802,1802
1537319078,1800,1800
1537320984,1797,1797
1537322929,1794,1794
1537324857,1794,1794
1537326753,1785,1785
1537328669,1819,1819
1537330611,1802,1802
1537332507,1796,1796
1537334449,1799,1799
1537336354,1810,1810
1537338286,1809,1809
1537340215,1799,1799
1537342377,1799,1799
1537344271,1799,1799
1537346077,1794,1794
1537347887,1785,1785
1537349796,1783,1783
1537351737,1781,1781
1537353683,1776,1776
1537355557,1772,1772
1537357496,1773,1773
1537359437,1759,1759
1537361312,1771,1771
1537363273,1766,1766
1537365164,1766,1766
1537367086,1635,1635
1537369002,1634,1634
1537371160,1226,1226
1537373140,1156,1156
1537374995,921,921
1537376926,924,924
1537378835,937,937
1537380762,939,939
1537382696,968,968
1537384606,962,962
1537386521,971,971
1537388441,978,978
1537390363,984,984
1537392277,993,993
1537394196,855,855
1537396111,863,863
1537398141,865,865
1537399968,874,874
1537401893,880,880
1537403802,868,868
1537405735,899,899
1537407649,931,931
1537409560,944,944
1537411473,952,952
1537413398,963,963
1537415349,940,940
1537417243,951,951
1537419176,967,967
1537421098,973,973
1537423031,988,988
1537424911,995,995
1537426909,1005,1005
1537428761,1003,1003
1537430733,1021,1021
1537432847,1038,1038
1537434777,1053,1053
1537436674,1062,1062
1537438619,1069,1069
1537440518,1085,1085
1537442460,1090,1090
1537444384,1102,1102
1537446296,1111,1111
1537448209,1135,1135
1537450110,1144,1144
1537452112,1146,1146
1537453966,1153,1153
1537455892,1151,1151
1537457812,1163,1163
1537459768,1175,1175
1537461682,1180,1180
1537463565,1183,1183
1537465502,1179,1179
1537467419,1196,1196
1537469317,1193,1193
1537471253,1203,1203
1537473159,1192,1192
1537475099,1197,1197
1537477000,1197,1197
1537478908,1199,1199
1537480914,1196,1196
1537482763,1196,1196
1537484677,1196,1196
1537486612,1206,1206
1537488523,1220,1220
1537490442,1234,1234
1537492361,1236,1236
1537494279,1244,1244
1537496235,1236,1236
1537498111,1237,1237
1537500061,1242,1242
1537502010,1248,1248
1537503886,1238,1238
1537505796,1234,1234
1537507736,1233,1233
1537509693,1232,1232
1537511561,1239,1239
1537513483,1231,1231
1537515409,1226,1226
1537517351,1214,1214
1537519253,1215,1215
1537521435,1220,1220
1537523351,1223,1223
1537525272,1229,1229
1537527180,1230,1230
1537529105,1233,1233
1537531007,1221,1221
1537532931,1219,1219
1537534898,1194,1194
1537536774,1187,1187
1537538714,1192,1192
1537540622,1197,1197
1537542550,1193,1193
1537544446,1188,1188
1537546616,1185,1185
1537548761,1184,1184
1537550687,1187,1187
1537552586,1171,1171
1537554522,1175,1175
1537556463,1183,1183
1537558370,1191,1191
1537560283,1195,1195
1537562191,1193,1193
1537564139,1191,1191
1537566047,1198,1198
1537567968,1205,1205
1537569867,1195,1195
1537571817,1192,1192
1537573734,1178,1178
1537575657,1164,1164
1537577814,1163,1163
1537580453,1154,1154
1537582372,1152,1152
1537584288,1161,1161
1537586215,1153,1153
1537588357,1146,1146
1537590285,1142,1142
1537592176,1140,1140
1537594372,1146,1146
1537596330,1143,1143
1537598197,1162,1162
1537600127,1163,1163
1537602057,1163,1163
1537603964,1163,1163
1537605880,1142,1142
1537607804,1137,1137
1537609715,1136,1136
1537611634,1134,1134
1537613562,1137,1137
1537615480,1135,1135
1537617393,1140,1140
1537619309,1140,1140
1537621298,1146,1146
1537623155,1154,1154
1537625125,1146,1146
1537627007,1148,1148
1537628916,1142,1142
1537630832,1140,1140
1537632790,1139,1139
1537634672,1124,1124
1537636607,1111,1111
1537638528,1110,1110
1537640441,1108,1108
1537642353,1112,1112
1537644279,1114,1114
1537646209,1105,1105
1537648110,1109,1109
1537650098,1100,1100
1537651964,1098,1098
1537653897,1090,1090
1537655795,1094,1094
1537657722,1091,1091
1537659641,1091,1091
1537661555,1094,1094
1537663477,1112,1112
1537665405,1105,1105
1537667310,1104,1104
1537669285,1089,1089
1537671171,1087,1087
1537673074,1080,1080
1537674992,1083,1083
1537676913,1076,1076
1537678916,1070,1070
1537680761,1588,1588
1537682732,1699,1699
1537684618,1669,1669
1537686514,1662,1662
1537688440,1666,1666
1537690360,1670,1670
1537692276,1674,1674
1537694208,1673,1673
1537696117,1671,1671
1537698038,1709,1709
1537699956,1715,1715
1537701873,1726,1726
1537703805,1720,1720
1537705715,1730,1730
1537707690,1726,1726
1537709556,1724,1724
1537711477,1719,1719
1537713411,1720,1720
1537715313,1721,1721
1537717238,1722,1722
1537719191,1720,1720
1537721079,1726,1726
1537723002,1729,1729
1537724913,1730,1730
1537726834,1735,1735
1537728769,1776,1776
1537730682,1801,1801
1537732755,1850,1850
1537734761,1867,1867
1537736748,1891,1891
1537738608,1897,1897
1537740524,1913,1913
1537742441,1927,1927
1537744351,1951,1951
1537746272,1959,1959
1537748209,1964,1964
1537750124,1947,1947
1537752030,1944,1944
1537753952,1949,1949
1537755870,1961,1961
1537757809,1964,1964
1537759706,1980,1980
1537761718,1981,1981
1537763560,1982,1982
1537765481,1989,1989
1537767411,1958,1958
1537769317,1953,1953
1537771248,1950,1950
1537773159,1956,1956
1537775080,1948,1948
1537777017,1950,1950
1537778911,1949,1949
1537780832,1953,1953
1537782860,1950,1950
1537784681,1909,1909
1537786610,1907,1907
1537788530,1909,1909
1537790508,1916,1916
1537792372,1900,1900
1537794321,1889,1889
1537796215,1884,1884
1537798137,1887,1887
1537800125,1899,1899
1537801973,1896,1896
1537803871,1901,1901
1537805825,1897,1897
1537807714,1748,1748
1537809884,1758,1758
1537811806,1760,1760
1537813955,1760,1760
1537815912,1768,1768
1537817814,1773,1773
1537819739,1770,1770
1537821652,1718,1718
1537823568,1719,1719
1537825480,1730,1730
1537827408,1722,1722
1537829311,1720,1720
1537831233,1704,1704
1537833178,1709,1709
1537835087,1719,1719
1537837008,1723,1723
1537838903,1726,1726
1537840944,1722,1722
1537842783,1716,1716
1537844704,1714,1714
1537846586,1723,1723
1537848542,1741,1741
1537850467,1735,1735
1537852355,1736,1736
1537854269,1741,1741
1537856224,1751,1751
1537858108,1777,1777
1537860050,1781,1781
1537861992,1783,1783
1537863890,1777,1777
1537865797,1778,1778
1537867724,1771,1771
1537869711,1507,1507
