DateTime,AddedIPs,RemovedIPs
1536844838,1,3
1536846787,2,5
1536848676,2,2
1536850594,1,1
1536852509,1,1
1536854494,1,2
1536856367,0,2
1536858336,3,0
1536860215,1,1
1536862118,2,0
1536864032,0,1
1536865961,2,1
1536867893,1,0
1536869806,2,0
1536871978,1,2
1536873871,2,3
1536875805,1,1
1536877712,1,8
1536879711,1,1
1536881547,2,1
1536883512,1,2
1536885430,0,1
1536887347,1,0
1536889260,0,1
1536891167,1,0
1536893067,2,1
1536895039,0,1
1536896912,2,0
1536898867,4,2
1536900757,2,1
1536902695,1,1
1536904606,3,0
1536906539,1,3
1536908496,3,2
1536910632,3,1
1536912563,4,3
1536914484,0,2
1536916373,3,2
1536918296,1,2
1536920238,1,1
1536922111,3,5
1536924081,3,0
1536925963,2,0
1536928140,0,2
1536930105,2,2
1536931977,3,2
1536933883,0,1
1536935785,0,3
1536939904,3,2
1536941815,2,0
1536943729,3,1
1536945658,3,2
1536947576,1,2
1536949487,0,1
1536951405,1,0
1536953342,0,3
1536955291,2,2
1536959107,0,2
1536961028,0,2
1536962936,0,1
1536964880,1,0
1536967036,3,3
1536968909,0,1
1536970864,1,0
1536974702,1,1
1536978512,1,3
1536980518,2,0
1536982389,0,1
1536984344,0,3
1536986195,1,3
1536988141,1,1
1536990065,4,2
1536992226,1,2
1536994365,0,3
1536996526,2,4
1536998508,2,4
1537002296,3,0
1537004227,1,4
1537006135,2,0
1537008060,2,4
1537009969,2,3
1537011889,0,2
1537013852,1,0
1537015984,2,2
1537019822,1,3
1537021719,3,0
1537023705,2,0
1537025568,1,3
1537027558,2,0
1537029652,0,4
1537031612,3,3
1537033480,4,2
1537035437,3,0
1537037307,1,1
1537039265,2,0
1537041179,3,2
1537044989,1,0
1537046950,2,0
1537048949,1,0
1537052689,2,1
1537054639,3,2
1537058459,0,1
1537060360,1,1
1537062298,1,0
1537064208,0,1
1537066126,0,2
1537068054,2,0
1537071895,0,1
1537073787,1,0
1537075750,2,4
1537077703,0,1
1537079579,2,1
1537081535,3,0
1537083534,1,3
1537085352,1,1
1537089173,1,4
1537091361,1,0
1537093266,1,2
1537095159,1,4
1537097108,1,0
1537100950,1,1
1537102893,2,2
1537104793,1,0
1537106716,1,4
1537108637,2,0
1537110551,1,2
1537112469,1,2
1537114412,0,1
1537116290,1,0
1537118218,3,4
1537120361,1,3
1537122265,0,3
1537124524,2,3
1537126363,1,0
1537128337,1,3
1537130196,2,0
1537132132,3,1
1537134035,0,2
1537136217,3,0
1537138147,0,1
1537140050,5,4
1537142200,1,1
1537144119,1,1
1537146103,2,0
1537147962,2,2
1537149886,2,0
1537151836,2,0
1537153968,2,2
1537155920,2,0
1537159740,0,1
1537161651,1,1
1537163589,1,1
1537165490,1,2
1537167423,2,1
1537169315,1,3
1537171300,3,1
1537173177,1,0
1537175104,2,1
1537177004,2,1
1537178944,0,1
1537180864,2,1
1537182779,2,1
1537184684,1,0
1537186629,1,0
1537188549,1,3
1537190464,2,1
1537192368,5,0
1537194556,1,2
1537196698,2,2
1537198607,1,1
1537200576,2,0
1537202570,0,1
1537204850,1,3
1537206764,1,1
1537208667,3,0
1537210604,0,2
1537212550,2,1
1537214510,0,1
1537216372,3,2
1537218276,4,2
1537220227,0,1
1537222132,1,3
1537226220,1,3
1537228139,2,2
1537230590,2,1
1537232476,1,3
1537234356,1,2
1537236285,0,2
1537238180,2,2
1537240133,1,2
1537242053,1,1
1537243952,0,1
1537247809,2,1
1537249698,3,1
1537251637,0,1
1537253565,1,2
1537255480,1,0
1537257402,3,2
1537259321,0,3
1537261305,1,2
1537263174,1,1
1537265133,1,0
1537266979,2,2
1537268943,0,2
1537271088,3,1
1537273015,3,1
1537275164,1,1
1537277078,1,3
1537279010,3,4
1537281160,2,1
1537283070,0,2
1537285258,2,1
1537287933,1,3
1537290138,2,0
1537291982,1,1
1537293924,2,3
1537295793,3,1
1537297728,1,1
1537299626,1,1
1537301570,2,2
1537303496,1,1
1537305393,0,4
1537307320,2,1
1537309255,1,0
1537311170,1,0
1537313091,1,1
1537314994,0,2
1537317171,1,2
1537319079,0,1
1537320984,2,1
1537324858,2,2
1537326753,0,1
1537328670,3,1
1537332507,3,1
1537334450,1,1
1537336354,0,3
1537338286,1,0
1537340216,3,1
1537342378,0,2
1537344271,2,2
1537346083,1,0
1537347887,4,1
1537349796,0,1
1537351738,1,1
1537353683,1,2
1537355558,1,0
1537357496,0,3
1537359438,1,3
1537361312,1,1
1537363274,1,1
1537365164,1,2
1537367086,0,2
1537369002,1,1
1537371160,1,1
1537373141,1,1
1537374996,3,1
1537376926,1,2
1537378836,4,1
1537380762,1,3
1537382697,1,2
1537384606,1,1
1537386522,0,1
1537388445,1,2
1537390364,0,1
1537392278,1,0
1537394196,0,2
1537396111,3,2
1537398142,2,0
1537399968,0,1
1537403802,1,1
1537405735,1,0
1537407650,3,2
1537409561,1,0
