DateTime,Entries,UniqueIPs
1536844838,68,68
1536846787,65,65
1536848676,65,65
1536850594,65,65
1536852509,65,65
1536854494,64,64
1536856367,62,62
1536858336,65,65
1536860215,65,65
1536862118,67,67
1536864032,66,66
1536865961,67,67
1536867893,68,68
1536869806,70,70
1536871978,69,69
1536873871,68,68
1536875805,68,68
1536877712,61,61
1536879711,61,61
1536881547,62,62
1536883512,61,61
1536885430,60,60
1536887347,61,61
1536889260,60,60
1536891167,61,61
1536893067,62,62
1536895039,61,61
1536896912,63,63
1536898867,65,65
1536900757,66,66
1536902695,66,66
1536904606,69,69
1536906539,67,67
1536908496,68,68
1536910632,70,70
1536912563,71,71
1536914484,69,69
1536916373,70,70
1536918296,69,69
1536920238,69,69
1536922111,67,67
1536924081,70,70
1536925963,72,72
1536928140,70,70
1536930105,70,70
1536931977,71,71
1536933883,70,70
1536935785,67,67
1536939904,68,68
1536941815,70,70
1536943729,72,72
1536945658,73,73
1536947576,72,72
1536949487,71,71
1536951405,72,72
1536953342,69,69
1536955291,69,69
1536959107,67,67
1536961028,65,65
1536962936,64,64
1536964880,65,65
1536967036,65,65
1536968909,64,64
1536970864,65,65
1536974702,65,65
1536978512,63,63
1536980518,65,65
1536982389,64,64
1536984344,61,61
1536986195,59,59
1536988141,59,59
1536990065,61,61
1536992226,60,60
1536994365,57,57
1536996526,55,55
1536998508,53,53
1537002296,56,56
1537004227,53,53
1537006135,55,55
1537008060,53,53
1537009969,52,52
1537011889,50,50
1537013852,51,51
1537015984,51,51
1537019822,49,49
1537021719,52,52
1537023705,54,54
1537025568,52,52
1537027558,54,54
1537029652,50,50
1537031612,50,50
1537033480,52,52
1537035437,55,55
1537037307,55,55
1537039265,57,57
1537041179,58,58
1537044989,59,59
1537046950,61,61
1537048949,62,62
1537052689,63,63
1537054639,64,64
1537058459,63,63
1537060360,63,63
1537062298,64,64
1537064208,63,63
1537066126,61,61
1537068054,63,63
1537071895,62,62
1537073787,63,63
1537075750,61,61
1537077703,60,60
1537079579,61,61
1537081535,64,64
1537083534,62,62
1537085352,62,62
1537089173,59,59
1537091361,60,60
1537093266,59,59
1537095159,56,56
1537097108,57,57
1537100950,57,57
1537102893,57,57
1537104793,58,58
1537106716,55,55
1537108637,57,57
1537110551,56,56
1537112469,55,55
1537114412,54,54
1537116290,55,55
1537118218,54,54
1537120361,52,52
1537122265,49,49
1537124524,48,48
1537126363,49,49
1537128337,47,47
1537130196,49,49
1537132132,51,51
1537134035,49,49
1537136217,52,52
1537138147,51,51
1537140050,52,52
1537142200,52,52
1537144119,52,52
1537146103,54,54
1537147962,54,54
1537149886,56,56
1537151836,58,58
1537153968,58,58
1537155920,60,60
1537159740,59,59
1537161651,59,59
1537163589,59,59
1537165490,58,58
1537167423,59,59
1537169315,57,57
1537171300,59,59
1537173177,60,60
1537175104,61,61
1537177004,62,62
1537178944,61,61
1537180864,62,62
1537182779,63,63
1537184684,64,64
1537186629,65,65
1537188549,63,63
1537190464,64,64
1537192368,69,69
1537194556,68,68
1537196698,68,68
1537198607,68,68
1537200576,70,70
1537202570,69,69
1537204850,67,67
1537206764,67,67
1537208667,70,70
1537210604,68,68
1537212550,69,69
1537214510,68,68
1537216372,69,69
1537218276,71,71
1537220227,70,70
1537222132,68,68
1537226220,66,66
1537228139,66,66
1537230590,67,67
1537232476,65,65
1537234356,64,64
1537236285,62,62
1537238180,62,62
1537240133,61,61
1537242053,61,61
1537243952,60,60
1537247809,61,61
1537249698,63,63
1537251637,62,62
1537253565,61,61
1537255480,62,62
1537257402,63,63
1537259321,60,60
1537261305,59,59
1537263174,59,59
1537265133,60,60
1537266979,60,60
1537268943,58,58
1537271088,60,60
1537273015,62,62
1537275164,62,62
1537277078,60,60
1537279010,59,59
1537281160,60,60
1537283070,58,58
1537285258,59,59
1537287933,57,57
1537290138,59,59
1537291982,59,59
1537293924,58,58
1537295793,60,60
1537297728,60,60
1537299626,60,60
1537301570,60,60
1537303496,60,60
1537305393,56,56
1537307320,57,57
1537309255,58,58
1537311170,59,59
1537313091,59,59
1537314994,57,57
1537317171,56,56
1537319079,55,55
1537320984,56,56
1537324858,56,56
1537326753,55,55
1537328670,57,57
1537332507,59,59
1537334450,59,59
1537336354,56,56
1537338286,57,57
1537340216,59,59
1537342378,57,57
1537344271,57,57
1537346083,58,58
1537347887,61,61
1537349796,60,60
1537351738,60,60
1537353683,59,59
1537355558,60,60
1537357496,57,57
1537359438,55,55
1537361312,55,55
1537363274,55,55
1537365164,54,54
1537367086,52,52
1537369002,52,52
1537371160,52,52
1537373141,52,52
1537374996,54,54
1537376926,53,53
1537378836,56,56
1537380762,54,54
1537382697,53,53
1537384606,53,53
1537386522,52,52
1537388445,51,51
1537390364,50,50
1537392278,51,51
1537394196,49,49
1537396111,50,50
1537398142,52,52
1537399968,51,51
1537403802,51,51
1537405735,52,52
