DateTime,AddedIPs,RemovedIPs
1536900757,2,9
1536902696,6,3
1536904606,6,3
1536906539,5,2
1536908497,3,8
1536910632,5,8
1536912563,7,6
1536914484,3,7
1536916373,3,2
1536918296,9,3
1536920238,8,6
1536922112,5,6
1536924081,10,6
1536925964,19,9
1536928141,7,4
1536930105,5,5
1536931977,5,2
1536933883,10,5
1536935785,6,3
1536937754,4,3
1536939905,8,5
1536941815,7,5
1536943730,7,4
1536945658,6,7
1536947576,19,6
1536949488,9,3
1536951406,10,6
1536953343,14,3
1536955291,12,12
1536957170,11,1
1536959112,11,8
1536961028,8,7
1536962936,11,3
1536964881,15,2
1536967036,7,8
1536968909,16,6
1536970864,12,7
1536972776,11,5
1536974702,7,2
1536976584,10,4
1536978512,7,3
1536980518,10,3
1536982390,6,2
1536984345,13,35
1536986196,8,2
1536988141,11,2
1536990066,13,7
1536992226,13,5
1536994365,8,5
1536996526,8,4
1536998509,12,4
1537000375,3,4
1537002296,7,6
1537004227,3,6
1537006135,9,5
1537008060,10,7
1537009969,7,5
1537011889,8,9
1537013852,4,9
1537015984,11,7
1537017897,7,6
1537019822,5,6
1537021719,8,5
1537023706,3,3
1537025568,4,5
1537027559,7,7
1537029652,13,7
1537031613,7,6
1537033481,2,13
1537035437,11,10
1537037307,10,9
1537039266,4,6
1537041179,5,5
1537043092,6,10
1537044989,4,11
1537046950,6,7
1537048950,9,11
1537050787,10,8
1537052690,3,11
1537054640,4,13
1537056550,2,10
1537058459,12,12
1537060361,7,5
1537062298,6,10
1537064209,14,6
1537066126,7,9
1537068054,4,9
1537069959,5,6
1537071896,6,10
1537073787,2,5
1537075751,3,13
1537077703,7,12
1537079579,7,7
1537081535,10,5
1537083534,1,10
1537085352,7,11
1537087261,6,3
1537089173,7,9
1537091361,8,9
1537093266,7,9
1537095160,4,8
1537097108,7,7
1537099001,4,5
1537100950,9,10
1537102893,6,6
1537104800,3,8
1537106716,6,7
1537108637,3,10
1537110551,8,5
1537112470,6,2
1537114412,5,6
1537116290,2,12
1537118218,4,10
1537120362,4,1
1537122265,2,11
1537124524,5,13
1537126363,2,3
1537128337,1,8
1537130196,4,7
1537132132,2,7
1537134035,1,11
1537136217,5,8
1537138148,3,7
1537140050,2,6
1537142201,1,2
1537144119,1,12
1537146103,2,11
1537147962,8,4
1537149887,4,12
1537151836,7,10
1537153968,1,4
1537155920,0,6
1537157813,3,7
1537159740,3,2
1537161652,1,3
1537163590,2,11
1537165491,6,6
1537167423,1,9
1537169315,3,7
1537171300,4,6
1537173177,3,7
1537175104,3,11
1537177004,5,10
1537178944,5,2
1537180865,1,8
1537182779,3,5
1537184684,3,9
1537186629,1,9
1537188550,2,3
1537190465,3,7
1537192368,8,7
1537194556,4,3
1537196699,1,12
1537198607,5,9
1537200576,2,6
1537202570,3,2
1537204850,1,7
1537206765,1,2
1537208667,2,3
1537210604,3,7
1537212551,9,4
1537214511,4,5
1537216373,3,4
1537218276,3,2
1537220227,2,3
1537222132,0,5
1537224293,7,3
1537226220,1,2
1537228140,3,3
1537230590,1,1
1537232476,1,4
1537234356,3,7
