DateTime,AddedIPs,RemovedIPs
1536746236,1,2
1536748134,0,1
1536750100,1,1
1536751963,1,1
1536753879,2,2
1536757726,1,0
1536759632,1,2
1536761564,1,0
1536763502,0,1
1536765391,1,0
1536767317,1,0
1536769261,1,1
1536773089,2,1
1536774990,2,1
1536776932,1,1
1536780770,0,4
1536782689,2,2
1536784584,1,3
1536786537,2,3
1536788444,2,0
1536792264,3,2
1536794249,2,1
1536796104,0,2
1536798053,1,0
1536799971,2,2
1536801903,1,0
1536803792,2,0
1536805714,1,2
1536807703,2,0
1536809572,0,1
1536811479,1,0
1536813415,1,1
1536815341,1,1
1536817251,0,1
1536819176,1,1
1536821098,2,0
1536823257,2,0
1536825170,0,2
1536827106,2,0
1536831155,0,2
1536833062,0,1
1536836920,0,1
1536839086,3,1
1536841033,1,0
1536842915,1,0
1536844839,1,2
1536846792,3,2
1536848677,6,1
1536852510,3,1
1536854495,2,0
1536860216,2,4
1536862119,2,2
1536865962,2,0
1536869807,1,1
1536871979,1,0
1536873872,1,0
1536875806,3,1
1536877713,1,1
1536879712,2,2
1536881555,2,0
1536883513,1,0
1536885431,0,1
1536887348,6,1
1536889261,2,1
1536891167,0,1
1536893068,1,0
1536895040,0,1
1536896912,1,2
1536900757,2,1
1536902696,1,0
1536904607,2,0
1536906540,0,2
1536908497,2,2
1536910633,1,0
1536912564,1,0
1536914485,1,2
1536916374,1,2
1536918297,2,0
1536920239,0,1
1536922112,0,1
1536924082,1,2
1536928141,1,1
1536930106,1,1
1536931978,0,2
1536933884,1,5
1536935786,0,3
1536937755,0,2
1536939906,1,1
1536941822,0,2
1536943730,2,0
1536947577,0,2
1536949488,1,0
1536953343,1,2
1536957171,0,2
1536959137,1,2
1536961029,2,2
1536962937,0,2
1536964882,3,2
1536967037,4,3
1536968910,1,1
1536970865,1,1
1536972777,1,1
1536974702,2,6
1536976584,0,1
1536978512,2,0
1536980518,0,3
1536984345,2,1
1536990066,1,0
1536992227,0,1
1536994366,1,2
1536996527,0,1
1536998509,1,0
1537000376,1,1
1537004228,0,2
1537006136,1,0
1537008060,2,0
1537011890,0,1
1537013853,0,1
1537015985,1,1
1537017898,4,1
1537019823,10,1
1537021720,2,2
1537023706,1,0
1537025569,2,1
1537027559,3,2
1537029652,1,3
1537033481,1,0
1537035442,1,0
1537037308,0,1
1537039266,4,0
1537041180,3,1
1537044990,0,1
1537046951,1,0
1537048950,2,0
1537050788,1,2
1537052690,1,2
1537054640,1,0
1537056550,3,0
1537060361,3,3
1537062298,1,2
1537064211,0,3
1537066126,1,1
1537068055,1,0
1537069959,0,2
1537071896,0,1
1537075752,0,2
1537085352,1,0
1537087261,0,2
1537089173,0,2
1537091362,4,0
1537093267,0,2
1537095160,0,3
1537097109,1,0
1537099001,0,1
1537100950,1,2
1537102894,6,0
1537104800,2,7
1537106717,0,6
1537108638,1,2
1537110552,1,1
1537112470,0,3
1537114413,0,2
1537116291,3,1
1537120362,2,2
1537122265,2,1
1537124524,1,2
1537126364,3,5
1537128337,0,1
1537130196,0,2
1537132132,1,1
1537134036,1,0
1537136218,4,2
1537138148,1,1
1537140051,1,1
1537142202,0,3
1537144119,1,2
1537146104,5,2
1537147962,3,1
1537149887,1,2
1537151836,1,2
1537153969,0,1
1537157814,1,0
1537161652,2,0
1537165491,0,1
1537167424,1,0
1537169316,1,0
1537171301,0,1
1537175105,1,0
1537177005,0,1
1537178945,0,1
1537180866,1,0
1537182780,1,0
1537184685,1,0
1537188550,2,0
1537190465,0,2
1537192369,0,2
1537194557,2,1
1537196699,4,1
1537198607,3,0
1537200577,0,1
1537202571,1,1
1537204851,1,1
1537206765,0,2
1537208668,0,1
1537210605,2,0
1537212551,2,3
1537214511,1,2
1537216373,2,0
1537218277,3,1
1537220228,5,1
1537222133,4,2
