DateTime,Entries,UniqueIPs
1536746236,78,78
1536748134,77,77
1536750100,77,77
1536751963,77,77
1536753879,77,77
1536757726,78,78
1536759632,77,77
1536761564,78,78
1536763502,77,77
1536765391,78,78
1536767317,79,79
1536769261,79,79
1536773089,80,80
1536774990,81,81
1536776932,81,81
1536780770,77,77
1536782689,77,77
1536784584,75,75
1536786537,74,74
1536788444,76,76
1536792264,77,77
1536794249,78,78
1536796104,76,76
1536798053,77,77
1536799971,77,77
1536801903,78,78
1536803792,80,80
1536805714,79,79
1536807703,81,81
1536809572,80,80
1536811479,81,81
1536813415,81,81
1536815341,81,81
1536817251,80,80
1536819176,80,80
1536821098,82,82
1536823257,84,84
1536825170,82,82
1536827106,84,84
1536831155,82,82
1536833062,81,81
1536836920,80,80
1536839086,82,82
1536841033,83,83
1536842915,84,84
1536844839,83,83
1536846792,84,84
1536848677,89,89
1536852510,91,91
1536854495,93,93
1536860216,91,91
1536862119,91,91
1536865962,93,93
1536869807,93,93
1536871979,94,94
1536873872,95,95
1536875806,97,97
1536877713,97,97
1536879712,97,97
1536881555,99,99
1536883513,100,100
1536885431,99,99
1536887348,104,104
1536889261,105,105
1536891167,104,104
1536893068,105,105
1536895040,104,104
1536896912,103,103
1536900757,104,104
1536902696,105,105
1536904607,107,107
1536906540,105,105
1536908497,105,105
1536910633,106,106
1536912564,107,107
1536914485,106,106
1536916374,105,105
1536918297,107,107
1536920239,106,106
1536922112,105,105
1536924082,104,104
1536928141,104,104
1536930106,104,104
1536931978,102,102
1536933884,98,98
1536935786,95,95
1536937755,93,93
1536939906,93,93
1536941822,91,91
1536943730,93,93
1536947577,91,91
1536949488,92,92
1536953343,91,91
1536957171,89,89
1536959137,88,88
1536961029,88,88
1536962937,86,86
1536964882,87,87
1536967037,88,88
1536968910,88,88
1536970865,88,88
1536972777,88,88
1536974702,84,84
1536976584,83,83
1536978512,85,85
1536980518,82,82
1536984345,83,83
1536990066,84,84
1536992227,83,83
1536994366,82,82
1536996527,81,81
1536998509,82,82
1537000376,82,82
1537004228,80,80
1537006136,81,81
1537008060,83,83
1537011890,82,82
1537013853,81,81
1537015985,81,81
1537017898,84,84
1537019823,93,93
1537021720,93,93
1537023706,94,94
1537025569,95,95
1537027559,96,96
1537029652,94,94
1537033481,95,95
1537035442,96,96
1537037308,95,95
1537039266,99,99
1537041180,101,101
1537044990,100,100
1537046951,101,101
1537048950,103,103
1537050788,102,102
1537052690,101,101
1537054640,102,102
1537056550,105,105
1537060361,105,105
1537062298,104,104
1537064211,101,101
1537066126,101,101
1537068055,102,102
1537069959,100,100
1537071896,99,99
1537075752,97,97
1537085352,98,98
1537087261,96,96
1537089173,94,94
1537091362,98,98
1537093267,96,96
1537095160,93,93
1537097109,94,94
1537099001,93,93
1537100950,92,92
1537102894,98,98
1537104800,93,93
1537106717,87,87
1537108638,86,86
1537110552,86,86
1537112470,83,83
1537114413,81,81
1537116291,83,83
1537120362,83,83
1537122265,84,84
1537124524,83,83
1537126364,81,81
1537128337,80,80
1537130196,78,78
1537132132,78,78
1537134036,79,79
1537136218,81,81
1537138148,81,81
1537140051,81,81
1537142202,78,78
1537144119,77,77
1537146104,80,80
1537147962,82,82
1537149887,81,81
1537151836,80,80
1537153969,79,79
1537157814,80,80
1537161652,82,82
1537165491,81,81
1537167424,82,82
1537169316,83,83
1537171301,82,82
1537175105,83,83
1537177005,82,82
1537178945,81,81
1537180866,82,82
1537182780,83,83
1537184685,84,84
1537188550,86,86
1537190465,84,84
1537192369,82,82
1537194557,83,83
1537196699,86,86
1537198607,89,89
1537200577,88,88
1537202571,88,88
1537204851,88,88
1537206765,86,86
1537208668,85,85
1537210605,87,87
1537212551,86,86
1537214511,85,85
1537216373,87,87
1537218277,89,89
1537220228,93,93
1537222133,95,95
1537224294,93,93
1537226221,94,94
1537230591,97,97
1537232477,94,94
1537234356,92,92
1537236286,92,92
1537238181,92,92
1537242054,94,94
1537243953,93,93
1537245864,94,94
1537247810,93,93
1537249700,92,92
1537251638,90,90
1537253566,88,88
1537255481,86,86
1537257411,85,85
1537259322,85,85
1537261306,84,84
1537263175,84,84
1537266980,83,83
1537268953,83,83
1537271089,86,86
1537275165,87,87
1537277079,87,87
1537279011,89,89
1537281161,89,89
1537283078,90,90
1537285259,88,88
1537287934,88,88
1537290140,89,89
1537291983,89,89
1537293925,90,90
1537295794,89,89
1537297729,90,90
1537299627,89,89
1537301572,87,87
1537303499,86,86
1537305393,86,86
1537307321,83,83
1537309257,79,79
1537311171,78,78
1537313092,75,75
1537314995,74,74
1537317172,73,73
1537319083,73,73
1537320985,75,75
1537322930,77,77
1537324859,75,75
1537326754,76,76
1537328671,75,75
1537330612,76,76
1537332508,74,74
1537334451,74,74
1537336356,75,75
1537338288,76,76
1537340217,76,76
1537342379,75,75
1537344272,77,77
1537346084,75,75
1537353684,76,76
1537357497,75,75
1537359439,74,74
1537361313,72,72
1537363275,73,73
1537365165,74,74
1537367087,75,75
1537369003,79,79
1537371161,83,83
1537373142,86,86
1537376927,87,87
1537378837,88,88
1537380763,89,89
1537382698,91,91
1537384607,92,92
1537386523,92,92
1537388446,93,93
1537392279,92,92
1537394197,92,92
1537396112,91,91
