DateTime,AddedIPs,RemovedIPs
1536900758,3,0
1536902697,2,4
1536904607,6,3
1536906540,18,4
1536908498,12,4
1536910633,11,4
1536912564,10,3
1536914485,13,4
1536916374,8,7
1536918298,10,7
1536920239,15,10
1536922113,6,3
1536924082,8,8
1536925964,4,2
1536928142,7,9
1536930106,6,3
1536931978,9,8
1536933884,12,4
1536935786,14,5
1536937755,6,2
1536939907,16,4
1536941822,5,2
1536943731,4,1
1536945659,1,0
1536947577,2,1
1536949489,4,7
1536951406,7,6
1536953344,2,0
1536955292,9,0
1536957171,0,2
1536959140,0,3
1536961029,1,5
1536962937,7,2
1536964882,10,1
1536967037,3,15
1536968910,3,18
1536970866,3,13
1536972777,10,17
1536974703,3,19
1536976585,9,20
1536978513,13,19
1536980527,15,17
1536982391,6,16
1536984346,10,13
1536986197,2,2
1536988142,5,5
1536990067,2,7
1536992227,4,8
1536994366,2,17
1536996527,2,12
1536998513,4,16
1537000376,2,11
1537002297,4,13
1537004228,3,9
1537006136,6,13
1537008061,5,9
1537009970,2,11
1537011890,2,5
1537013853,1,7
1537015985,8,4
1537017898,3,12
1537019823,3,11
1537021721,3,17
1537023707,2,7
1537025569,4,12
1537027560,3,15
1537029653,12,6
1537031615,23,1
1537033482,6,2
1537035443,13,3
1537037308,5,6
1537039267,10,1
1537041180,9,9
1537043093,1,3
1537044990,4,1
1537046951,5,0
1537048950,3,2
1537050789,4,12
1537052691,3,6
1537054641,3,1
1537056551,1,2
1537058461,2,12
1537060369,1,4
1537062299,6,5
1537064212,2,8
1537066127,5,20
1537068055,1,8
1537069959,3,13
1537071897,0,3
1537073788,5,3
1537075752,3,4
1537077704,5,3
1537079580,5,1
1537081536,7,2
1537083535,4,1
1537085353,2,3
1537087262,2,5
1537089174,4,2
1537091362,2,3
1537093267,3,5
1537095161,3,3
1537097109,3,4
1537099002,4,4
1537100951,10,3
1537102894,6,5
1537104801,3,3
1537106718,6,2
1537108638,11,4
1537110553,9,2
1537112471,7,2
1537114413,1,2
1537116291,4,12
1537118219,1,22
1537120363,3,7
1537122266,8,10
1537124525,5,8
1537126364,4,6
1537128338,3,5
1537130197,10,2
1537132133,5,5
1537134036,5,2
1537136218,9,8
1537138149,10,1
1537140051,8,2
1537142202,14,3
1537144120,15,5
1537146104,9,3
1537147963,4,4
1537149888,5,2
1537151837,5,7
1537153969,6,4
1537155921,2,5
1537157814,4,1
1537159741,2,3
1537161653,4,7
1537163591,0,2
1537165491,1,5
1537167424,5,3
1537169316,1,4
1537171301,2,4
1537173178,3,3
1537175105,4,1
1537177005,5,3
1537178945,4,1
1537180880,2,4
1537182780,2,4
1537184685,5,1
1537186630,1,7
1537188551,2,3
1537190465,0,7
1537192372,4,3
1537194557,7,10
1537196700,7,9
1537198608,14,7
1537200577,30,3
1537202571,28,4
1537204851,36,4
1537206766,23,2
1537208669,30,5
1537210605,27,10
1537212552,30,2
1537214512,29,6
1537216374,20,4
1537218277,30,4
1537220229,22,6
1537222134,20,12
1537224294,21,7
1537226221,21,4
1537228142,17,7
1537230592,18,16
1537232477,12,5
1537234357,18,4
1537236287,25,3
1537238181,17,2
1537240134,15,7
1537242055,21,3
1537243953,12,4
1537245865,22,2
1537247810,19,5
1537249700,5,2
1537251638,2,3
1537253567,1,4
1537255482,2,2
1537257419,0,3
1537259323,4,2
1537261307,6,5
1537263176,6,2
1537265136,6,5
1537266981,8,3
1537268954,17,2
1537271089,7,8
1537273017,12,1
1537275165,14,2
1537277080,6,1
1537279012,8,2
1537281162,7,6
1537283080,2,6
1537285259,17,12
1537287935,10,30
1537290141,10,18
1537291983,9,10
1537293926,8,25
1537295795,5,21
1537297729,7,24
1537299627,9,31
1537301572,8,27
1537303500,5,24
1537305394,2,22
1537307321,2,18
1537309257,9,24
1537311172,6,20
1537313093,4,23
1537314996,13,11
1537317173,11,15
