DateTime,Entries,UniqueIPs
1536900758,375,375
1536902697,373,373
1536904607,376,376
1536906540,390,390
1536908498,398,398
1536910633,405,405
1536912564,412,412
1536914485,421,421
1536916374,422,422
1536918298,425,425
1536920239,430,430
1536922113,433,433
1536924082,433,433
1536925964,435,435
1536928142,433,433
1536930106,436,436
1536931978,437,437
1536933884,445,445
1536935786,454,454
1536937755,458,458
1536939907,470,470
1536941822,473,473
1536943731,476,476
1536945659,477,477
1536947577,478,478
1536949489,475,475
1536951406,476,476
1536953344,478,478
1536955292,487,487
1536957171,485,485
1536959140,482,482
1536961029,478,478
1536962937,483,483
1536964882,492,492
1536967037,480,480
1536968910,465,465
1536970866,455,455
1536972777,448,448
1536974703,432,432
1536976585,421,421
1536978513,415,415
1536980527,413,413
1536982391,403,403
1536984346,400,400
1536986197,400,400
1536988142,400,400
1536990067,395,395
1536992227,391,391
1536994366,376,376
1536996527,366,366
1536998513,354,354
1537000376,345,345
1537002297,336,336
1537004228,330,330
1537006136,323,323
1537008061,319,319
1537009970,310,310
1537011890,307,307
1537013853,301,301
1537015985,305,305
1537017898,296,296
1537019823,288,288
1537021721,274,274
1537023707,269,269
1537025569,261,261
1537027560,249,249
1537029653,255,255
1537031615,277,277
1537033482,281,281
1537035443,291,291
1537037308,290,290
1537039267,299,299
1537041180,299,299
1537043093,297,297
1537044990,300,300
1537046951,305,305
1537048950,306,306
1537050789,298,298
1537052691,295,295
1537054641,297,297
1537056551,296,296
1537058461,286,286
1537060369,283,283
1537062299,284,284
1537064212,278,278
1537066127,263,263
1537068055,256,256
1537069959,246,246
1537071897,243,243
1537073788,245,245
1537075752,244,244
1537077704,246,246
1537079580,250,250
1537081536,255,255
1537083535,258,258
1537085353,257,257
1537087262,254,254
1537089174,256,256
1537091362,255,255
1537093267,253,253
1537095161,253,253
1537097109,252,252
1537099002,252,252
1537100951,259,259
1537102894,260,260
1537104801,260,260
1537106718,264,264
1537108638,271,271
1537110553,278,278
1537112471,283,283
1537114413,282,282
1537116291,274,274
1537118219,253,253
1537120363,249,249
1537122266,247,247
1537124525,244,244
1537126364,242,242
1537128338,240,240
1537130197,248,248
1537132133,248,248
1537134036,251,251
1537136218,252,252
1537138149,261,261
1537140051,267,267
1537142202,278,278
1537144120,288,288
1537146104,294,294
1537147963,294,294
1537149888,297,297
1537151837,295,295
1537153969,297,297
1537155921,294,294
1537157814,297,297
1537159741,296,296
1537161653,293,293
1537163591,291,291
1537165491,287,287
1537167424,289,289
1537169316,286,286
1537171301,284,284
1537173178,284,284
1537175105,287,287
1537177005,289,289
1537178945,292,292
1537180880,290,290
1537182780,288,288
1537184685,292,292
1537186630,286,286
1537188551,285,285
1537190465,278,278
1537192372,279,279
1537194557,276,276
1537196700,274,274
1537198608,281,281
1537200577,308,308
1537202571,332,332
1537204851,364,364
1537206766,385,385
1537208669,410,410
1537210605,427,427
1537212552,455,455
1537214512,478,478
1537216374,494,494
1537218277,520,520
1537220229,536,536
1537222134,544,544
1537224294,558,558
1537226221,575,575
1537228142,585,585
1537230592,587,587
1537232477,594,594
1537234357,608,608
1537236287,630,630
1537238181,645,645
1537240134,653,653
1537242055,671,671
1537243953,679,679
1537245865,699,699
1537247810,713,713
1537249700,716,716
1537251638,715,715
1537253567,712,712
1537255482,712,712
1537257419,709,709
1537259323,711,711
1537261307,712,712
1537263176,716,716
1537265136,717,717
1537266981,722,722
1537268954,737,737
1537271089,736,736
1537273017,747,747
1537275165,759,759
1537277080,764,764
1537279012,770,770
1537281162,771,771
