DateTime,AddedIPs,RemovedIPs
1537436180,7,5
1537437148,7,3
1537438116,6,15
1537439073,7,8
1537440025,13,7
1537440987,9,4
1537441952,7,2
1537442913,15,1
1537443871,8,11
1537444876,6,2
1537445800,4,6
1537446754,8,5
1537447713,10,5
1537448678,6,5
1537449632,4,2
1537450596,3,8
1537451553,1,0
1537452517,8,9
1537453469,6,4
1537454435,5,4
1537455396,3,5
1537456352,56,8
1537457311,7,5
1537458276,58,5
1537459237,5,2
1537460196,6,4
1537461150,6,7
1537462117,2,4
1537463073,6,7
1537464034,8,11
1537464748,6,11
1537465465,5,0
1537466180,10,9
1537466916,5,5
1537467871,4,8
1537468825,8,13
1537469791,11,4
1537470754,5,6
1537471707,6,11
1537472669,8,6
1537473675,11,13
1537474593,12,8
1537475551,11,5
1537476513,8,5
1537477481,1,12
1537478433,12,10
1537479147,6,0
1537479870,3,13
1537480579,6,0
1537481322,7,14
1537482268,6,3
1537483226,4,15
1537484185,9,0
1537485155,6,8
1537486112,7,6
1537487070,10,2
1537488033,13,8
1537489003,5,20
1537489952,7,9
1537490666,2,11
1537491386,7,9
1537492101,5,0
1537492837,8,15
1537493795,11,15
1537494752,9,17
1537495715,13,16
1537496677,8,11
1537497645,5,16
1537498338,9,0
1537499070,4,11
1537500042,7,15
1537500753,2,5
1537501471,7,5
1537502439,8,6
1537503142,8,10
1537503867,3,3
1537504582,2,2
1537505308,6,4
1537506035,4,2
1537506763,3,3
1537507711,12,8
1537508666,10,4
1537509641,5,6
1537510590,9,6
1537511541,13,8
1537512513,8,3
1537513462,12,4
1537514419,9,6
1537515387,8,5
1537516340,10,5
1537517319,2,3
1537518277,10,18
1537519225,7,0
1537520197,13,11
1537521411,7,5
1537522349,4,3
1537523320,5,3
1537524266,5,6
1537525223,5,7
1537526182,6,4
1537527156,8,4
1537528119,7,7
1537529076,8,10
1537530033,9,6
1537530987,7,9
1537531955,3,0
1537532910,7,6
1537533871,9,9
1537534836,9,0
1537535797,4,5
1537536753,5,31
1537537711,7,33
1537538673,2,2
1537539638,7,5
1537540596,5,6
1537541552,4,1
1537542515,3,3
1537543469,6,8
1537544426,11,3
1537545151,2,12
1537545867,4,10
1537546597,7,8
1537547549,8,7
1537548279,4,6
1537548978,4,8
1537549705,9,4
