DateTime,Entries,UniqueIPs
1537436180,13165,13689
1537437148,13168,13693
1537438116,13160,13684
1537439073,13158,13683
1537440025,13165,13689
1537440987,13169,13694
1537441952,13172,13699
1537442913,13185,13713
1537443871,13181,13710
1537444876,13183,13714
1537445800,13182,13712
1537446754,13185,13715
1537447713,13190,13720
1537448678,13191,13721
1537449632,13193,13723
1537450596,13188,13718
1537451553,13189,13719
1537452517,13188,13718
1537453469,13189,13720
1537454435,13190,13721
1537455396,13188,13719
1537456352,13226,13767
1537457311,13226,13769
1537458276,13238,13822
1537459237,13242,13825
1537460196,13244,13827
1537461150,13244,13826
1537462117,13243,13824
1537463073,13240,13823
1537464034,13237,13820
1537464748,13235,13815
1537465465,13240,13820
1537466180,13240,13821
1537466916,13239,13821
1537467871,13232,13817
1537468825,13231,13812
1537469791,13239,13819
1537470754,13238,13818
1537471707,13236,13813
1537472669,13238,13815
1537473675,13237,13813
1537474593,13241,13817
1537475551,13247,13823
1537476513,13249,13826
1537477481,13238,13815
1537478433,13240,13817
1537479147,13246,13823
1537479870,13238,13813
1537480579,13243,13819
1537481322,13235,13812
1537482268,13238,13815
1537483226,13227,13804
1537484185,13236,13813
1537485155,13232,13811
1537486112,13232,13812
1537487070,13241,13820
1537488033,13245,13825
1537489003,13229,13810
1537489952,13228,13808
1537490666,13220,13799
1537491386,13219,13797
1537492101,13224,13802
1537492837,13216,13795
1537493795,13212,13791
1537494752,13204,13783
1537495715,13203,13780
1537496677,13200,13777
1537497645,13189,13766
1537498338,13197,13775
1537499070,13190,13768
1537500042,13184,13760
1537500753,13181,13757
1537501471,13183,13759
1537502439,13184,13761
1537503142,13182,13759
1537503867,13183,13759
1537504582,13184,13759
1537505308,13186,13761
1537506035,13187,13763
1537506763,13187,13763
1537507711,13190,13767
1537508666,13194,13773
1537509641,13193,13772
1537510590,13196,13775
1537511541,13199,13780
1537512513,13204,13785
1537513462,13212,13793
1537514419,13216,13796
1537515387,13220,13799
1537516340,13226,13804
1537517319,13225,13803
1537518277,13217,13795
1537519225,13224,13802
1537520197,13227,13804
1537521411,13229,13806
1537522349,13231,13807
1537523320,13232,13809
1537524266,13231,13808
1537525223,13229,13806
1537526182,13230,13808
1537527156,13234,13812
1537528119,13235,13812
1537529076,13233,13810
1537530033,13236,13813
1537530987,13235,13811
1537531955,13238,13814
1537532910,13239,13815
1537533871,13238,13815
1537534836,13247,13824
1537535797,13246,13823
1537536753,13244,13797
1537537711,13233,13771
1537538673,13233,13771
1537539638,13235,13773
1537540596,13234,13772
1537541552,13239,13775
1537542515,13239,13775
1537543469,13238,13773
1537544426,13247,13781
1537545151,13239,13771
1537545867,13235,13765
1537546597,13234,13764
1537547549,13234,13765
1537548279,13232,13763
1537548978,13229,13759
1537549705,13233,13764
1537550669,13245,13777
1537551379,13243,13776
1537552101,13245,13778
1537553076,13250,13785
1537553790,13250,13785
1537554505,13254,13789
1537555220,13258,13792
1537555943,13257,13791
1537556664,13257,13792
1537557387,13259,13795
1537558353,13263,13800
1537559061,13271,13809
1537559780,13282,13818
1537560501,13284,13819
1537561231,13287,13821
1537561944,13290,13825
1537562677,13285,13821
1537563382,13288,13824
1537564120,13292,13828
1537565067,13292,13829
1537566028,13291,13828
1537566985,13290,13827
1537567951,13290,13827
1537568681,13284,13821
1537569384,13287,13824
1537570101,13289,13829
1537570831,13293,13833
1537571799,13292,13826
1537572753,13296,13830
1537573711,13293,13828
1537574673,13297,13832
1537575635,13290,13825
1537576343,13297,13832
1537577068,13299,13834
1537577794,13301,13835
1537578748,13297,13831
1537579460,13305,13840
1537580918,13299,13833
1537581623,13300,13833
1537582350,13293,13826
1537583305,13275,13810
1537584270,13271,13806
1537585252,13276,13811
1537586198,13283,13819
1537587150,13274,13808
1537587861,13284,13818
1537588582,13286,13821
1537589554,13285,13819
1537590261,13281,13814
1537590982,13280,13813
1537591946,13282,13816
1537592914,13281,13814
1537593868,13272,13806
1537594830,13278,13814
1537595784,13280,13816
1537596748,13270,13806
1537597710,13263,13799
1537598670,13264,13799
1537599636,13264,13800
1537600592,13265,13801
1537601555,13266,13802
1537602510,13267,13802
1537603472,13266,13801
1537604433,13277,13814
1537605399,13283,13819
1537606367,13287,13823
1537607314,13286,13822
1537608264,13289,13826
1537609233,13286,13823
1537609941,13288,13825
1537610668,13285,13822
1537611385,13293,13830
1537612104,13298,13834
1537613076,13302,13838
1537614035,13305,13840
1537614992,13309,13844
1537615951,13308,13845
1537616918,13306,13844
1537617883,13305,13843
1537618829,13307,13843
1537619792,13308,13846
1537620754,13311,13850
1537621713,13309,13848
1537622666,13302,13841
1537623629,13305,13844
1537624595,13311,13852
1537625550,13313,13854
1537626261,13314,13853
1537626982,13320,13859
1537627701,13317,13856
1537628442,13319,13854
1537629392,13321,13855
1537630348,13327,13861
1537631314,13328,13863
1537632281,13325,13859
1537633236,13318,13851
1537634195,13317,13849
1537635154,13315,13846
1537636117,13315,13845
1537637067,13310,13839
1537638024,13309,13838
1537638984,13307,13836
1537639953,13302,13829
1537640906,13297,13822
1537641872,13293,13817
1537642577,13297,13821
1537643313,13289,13812
1537644018,13290,13813
1537644750,13286,13809
1537645462,13288,13811
1537646184,13285,13806
1537646902,13279,13797
1537647636,13283,13801
1537648346,13286,13804
1537649071,13285,13802
1537649778,13290,13807
1537650523,13290,13806
1537651473,13284,13798
1537652431,13280,13793
1537653141,13276,13789
1537653871,13272,13784
1537654585,13273,13785
1537655305,13281,13793
1537656275,13280,13792
1537657238,13278,13790
1537658193,13276,13788
1537659157,13274,13786
1537660107,13277,13788
1537661073,13274,13785
1537662033,13270,13781
1537663000,13269,13780
1537663951,13269,13776
1537664913,13270,13777
1537665875,13271,13778
1537666834,13281,13788
1537667784,13275,13782
1537668756,13268,13775
1537669705,13264,13771
1537670674,13258,13765
1537671652,13256,13762
1537672591,13252,13758
1537673552,13249,13755
1537674516,13246,13750
