DateTime,AddedIPs,RemovedIPs
1537436180,38,73
1537437148,71,42
1537438116,37,35
1537439073,46,47
1537440025,68,48
1537440987,49,52
1537441952,49,78
1537442913,86,64
1537443871,54,49
1537444876,41,75
1537445800,70,69
1537446754,66,51
1537447713,55,45
1537448678,47,70
1537449632,71,41
1537450596,31,49
1537451553,51,59
1537452517,55,129
1537453469,135,49
1537454435,55,47
1537455396,53,141
1537456352,88,105
1537457311,99,66
1537458276,168,101
1537459237,75,63
1537460196,55,92
1537461150,88,131
1537462117,101,76
1537463073,109,62
1537464034,65,84
1537464748,74,29
1537465465,33,68
1537466180,75,28
1537466916,34,37
1537467871,30,49
1537468825,59,71
1537469791,68,54
1537470754,49,52
1537471707,44,33
1537472669,43,67
1537473675,72,80
1537474593,91,53
1537475551,41,57
1537476513,41,71
1537477481,52,56
1537478433,70,44
1537479147,44,67
1537479870,63,41
1537480579,34,51
1537481322,54,32
1537482268,36,64
1537483226,44,47
1537484185,40,44
1537485155,39,46
1537486112,50,66
1537487070,60,72
1537488033,76,56
1537489003,52,47
1537489952,44,70
1537490666,55,42
1537491386,40,63
1537492101,62,31
1537492837,52,41
1537493795,50,59
1537494752,54,70
1537495715,63,75
1537496677,68,88
1537497645,72,78
1537498338,81,38
1537499070,43,60
1537500042,59,66
1537500753,58,40
1537501471,37,64
1537502439,60,43
1537503142,42,87
1537503867,69,60
1537504582,64,89
1537505308,85,133
1537506035,113,52
1537506763,68,46
1537507711,60,48
1537508666,54,52
1537509641,51,60
1537510590,63,51
1537511541,55,73
1537512513,63,60
1537513462,71,41
1537514419,51,59
1537515387,60,60
1537516340,77,74
1537517319,67,32
1537518277,40,77
1537519225,69,55
1537520197,60,68
1537521411,56,112
1537522349,111,62
1537523320,69,56
1537524266,59,51
1537525223,62,53
1537526182,47,63
1537527156,55,74
1537528119,79,43
1537529076,30,48
1537530033,57,67
1537530987,63,54
1537531955,52,26
1537532910,45,59
1537533871,53,63
1537534836,75,61
1537535797,56,50
1537536753,43,79
1537537711,80,45
1537538673,28,138
1537539638,98,138
1537540596,174,41
1537541552,53,80
1537542515,67,78
1537543469,76,42
1537544426,69,40
1537545151,31,65
1537545867,68,69
1537546597,70,85
1537547549,92,63
1537548279,49,59
1537548978,62,46
1537549705,51,36
1537550669,57,87
1537551379,61,73
1537552101,69,101
1537553076,118,68
1537553790,61,50
1537554505,54,84
1537555220,97,63
1537555943,52,42
1537556664,54,61
1537557387,65,67
1537558353,76,76
1537559061,58,45
1537559780,70,55
1537560501,50,47
1537561231,40,38
1537561944,42,86
1537562677,80,49
1537563382,67,68
1537564120,44,56
1537565067,68,78
1537566028,79,69
1537566985,58,59
1537567951,59,69
1537568681,53,48
1537569384,46,46
1537570101,48,41
1537570831,29,78
1537571799,65,60
1537572753,54,58
1537573711,62,58
1537574673,63,63
1537575635,53,61
1537576343,79,52
1537577068,47,36
1537577794,42,57
1537578748,66,42
1537579460,39,48
1537580918,50,71
1537581623,49,54
1537582350,56,48
1537583305,52,62
1537584270,56,53
1537585252,62,48
1537586198,44,52
1537587150,47,39
1537587861,43,53
1537588582,53,48
1537589554,46,76
1537590261,72,40
1537590982,34,42
1537591946,46,53
1537592914,46,59
1537593868,70,46
1537594830,49,65
1537595784,59,54
1537596748,63,51
1537597710,55,56
1537598670,55,54
1537599636,55,66
1537600592,66,63
1537601555,70,28
1537602510,48,54
1537603472,49,69
1537604433,86,59
1537605399,56,74
1537606367,76,72
1537607314,68,24
1537608264,30,67
1537609233,75,35
1537609941,31,43
1537610668,44,49
1537611385,55,23
1537612104,32,55
1537613076,62,54
1537614035,56,46
1537614992,51,49
1537615951,54,48
1537616918,58,77
1537617883,61,135
1537618829,133,55
1537619792,62,54
1537620754,51,43
1537621713,53,39
1537622666,30,51
1537623629,71,64
1537624595,63,32
1537625550,45,68
1537626261,59,31
1537626982,35,69
1537627701,68,50
1537628442,39,46
1537629392,58,62
1537630348,63,53
1537631314,59,67
1537632281,71,78
1537633236,77,48
1537634195,46,67
1537635154,72,46
1537636117,34,77
1537637067,73,31
1537638024,33,70
1537638984,50,36
1537639953,40,46
1537640906,36,52
1537641872,46,48
1537642577,68,44
1537643313,51,45
1537644018,35,43
1537644750,48,48
1537645462,48,41
1537646184,47,75
1537646902,57,61
1537647636,69,38
1537648346,44,56
1537649071,55,36
1537649778,37,40
1537650523,42,37
1537651473,39,60
1537652431,64,35
1537653141,17,61
1537653871,51,36
1537654585,44,51
1537655305,50,51
1537656275,42,49
1537657238,46,38
1537658193,33,52
1537659157,40,37
1537660107,42,47
1537661073,40,39
1537662033,41,27
1537663000,22,48
1537663951,47,50
1537664913,51,23
1537665875,23,80
1537666834,80,46
1537667784,58,42
1537668756,36,87
1537669705,76,45
1537670674,42,53
1537671652,49,44
1537672591,42,52
1537673552,56,39
1537674516,35,46
1537675476,45,38
1537676430,44,38
1537677151,36,38
1537677867,40,49
1537678578,42,21
1537679317,26,49
1537680265,44,41
1537681228,38,37
1537682193,43,37
1537683147,44,57
1537683861,42,37
1537684585,46,27
1537685301,32,40
1537686034,39,30
1537686995,43,37
1537687950,38,39
1537688914,47,79
1537689876,85,31
1537690829,44,42
1537691801,41,54
1537692766,53,40
1537693719,46,38
1537694663,29,40
1537695627,40,87
1537696600,90,62
1537697552,67,53
1537698505,57,43
1537699472,49,47
1537700434,37,40
1537701396,51,34
1537702352,32,44
1537703060,43,43
1537703781,43,48
1537704502,46,27
1537705239,31,59
1537706191,60,36
1537707148,61,57
1537708117,37,30
1537709067,36,53
1537709782,45,46
1537710505,60,41
1537711228,38,42
1537711948,42,42
1537712660,42,39
1537713388,47,60
1537714105,58,52
1537714829,58,19
1537715795,34,53
1537716755,72,67
1537717710,57,95
1537718674,84,57
1537719630,84,59
1537720594,58,60
1537721551,56,75
1537722513,89,50
1537723467,57,70
1537724430,63,73
1537725385,88,46
1537726348,35,98
1537727306,93,43
1537728019,47,71
1537728746,67,54
1537729464,55,53
1537730193,66,63
1537731148,50,68
1537731863,49,66
1537732584,76,53
1537733322,51,42
1537734263,38,60
1537735228,45,78
1537736212,78,51
1537737158,49,70
1537737861,49,71
1537738586,62,66
1537739306,66,67
1537740038,76,72
1537740992,76,54
1537741951,41,64
1537742661,54,44
1537743385,53,72
1537744101,47,63
1537744824,67,42
1537745791,48,48
1537746753,41,32
1537747726,26,35
1537748667,21,53
1537749625,54,83
1537750591,82,61
1537751554,52,46
1537752261,54,58
1537752986,55,37
1537753702,31,36
1537754438,36,49
1537755399,38,48
1537756352,53,68
1537757313,48,32
1537758273,30,46
1537759239,53,34
1537759948,42,64
1537760666,57,25
1537761379,31,34
1537762112,24,85
1537763073,82,46
1537764024,48,83
1537764983,81,66
1537765948,73,76
1537766912,74,88
1537767869,102,48
1537768835,54,85
1537769799,81,75
1537770750,71,55
1537771710,62,62
1537772672,70,45
1537773631,39,116
1537774599,71,197
1537775570,236,42
1537776513,54,47
1537777467,51,61
1537778430,59,81
1537779139,73,47
1537779876,53,32
1537780585,35,70
1537781309,73,55
1537782271,64,48
1537783238,53,61
1537783928,50,45
1537784665,50,84
1537785634,136,48
1537786590,78,157
1537787548,64,62
1537788262,52,53
1537788982,59,41
1537789954,46,69
1537790914,75,43
1537791626,35,43
1537792355,51,51
1537793063,42,58
1537793786,57,35
1537794760,30,29
1537795462,28,37
1537796196,30,25
1537797172,38,52
1537798119,58,42
1537799068,35,51
1537800030,53,61
1537800989,58,64
1537801955,65,84
1537802661,74,66
1537803383,77,38
1537804102,53,65
1537804856,76,45
1537805806,43,64
1537806760,73,86
1537807459,65,55
1537808169,69,70
1537808925,70,25
1537809865,33,59
1537810824,76,53
1537811787,57,69
1537812755,60,52
1537813479,39,62
1537814180,64,55
1537814903,65,83
1537815626,82,81
1537816343,75,20
1537817064,38,85
1537817796,73,46
1537818750,68,46
1537819720,38,52
1537820675,32,93
1537821631,76,117
1537822339,118,55
1537823068,67,45
1537823786,40,39
1537824509,34,84
1537825220,79,38
1537825945,41,50
1537826665,45,90
1537827391,81,109
1537828353,109,62
1537829063,55,54
1537829780,62,36
1537830752,44,68
1537831462,63,51
1537832193,50,63
1537833153,58,91
1537834114,84,21
1537835070,31,62
1537836024,70,50
1537836989,49,106
1537837953,93,70
1537838668,78,27
1537839393,28,55
1537840101,48,45
1537840840,48,46
1537841795,62,73
1537842764,58,55
1537843712,60,68
1537844675,51,80
1537845643,79,76
1537846333,64,58
1537847061,55,60
1537847770,68,68
1537848516,58,36
1537849470,33,154
1537850431,148,45
1537851139,47,66
1537851875,39,79
1537852832,75,85
1537853794,110,53
1537854501,42,37
1537855239,50,53
1537856205,73,47
1537857150,51,75
1537857851,38,51
1537858568,35,56
1537859542,74,50
1537860250,52,32
1537860992,41,51
1537861974,55,88
1537862920,56,75
1537863866,75,67
1537864834,70,76
1537865539,63,98
1537866270,91,39
1537866990,54,40
1537867705,26,42
1537868423,64,60
1537869143,53,32
1537869866,28,43
1537870849,59,43
