DateTime,Entries,UniqueIPs
1537436180,8093,8093
1537437148,8122,8122
1537438116,8124,8124
1537439073,8123,8123
1537440025,8143,8143
1537440987,8140,8140
1537441952,8111,8111
1537442913,8133,8133
1537443871,8138,8138
1537444876,8104,8104
1537445800,8105,8105
1537446754,8120,8120
1537447713,8130,8130
1537448678,8107,8107
1537449632,8137,8137
1537450596,8119,8119
1537451553,8111,8111
1537452517,8037,8037
1537453469,8123,8123
1537454435,8131,8131
1537455396,8043,8043
1537456352,8026,8026
1537457311,8059,8059
1537458276,8126,8126
1537459237,8138,8138
1537460196,8101,8101
1537461150,8058,8058
1537462117,8083,8083
1537463073,8130,8130
1537464034,8111,8111
1537464748,8156,8156
1537465465,8121,8121
1537466180,8168,8168
1537466916,8165,8165
1537467871,8146,8146
1537468825,8134,8134
1537469791,8148,8148
1537470754,8145,8145
1537471707,8156,8156
1537472669,8132,8132
1537473675,8124,8124
1537474593,8162,8162
1537475551,8146,8146
1537476513,8116,8116
1537477481,8112,8112
1537478433,8138,8138
1537479147,8115,8115
1537479870,8137,8137
1537480579,8120,8120
1537481322,8142,8142
1537482268,8114,8114
1537483226,8111,8111
1537484185,8107,8107
1537485155,8100,8100
1537486112,8084,8084
1537487070,8072,8072
1537488033,8092,8092
1537489003,8097,8097
1537489952,8071,8071
1537490666,8084,8084
1537491386,8061,8061
1537492101,8092,8092
1537492837,8103,8103
1537493795,8094,8094
1537494752,8078,8078
1537495715,8066,8066
1537496677,8046,8046
1537497645,8040,8040
1537498338,8083,8083
1537499070,8066,8066
1537500042,8059,8059
1537500753,8077,8077
1537501471,8050,8050
1537502439,8067,8067
1537503142,8022,8022
1537503867,8031,8031
1537504582,8006,8006
1537505308,7958,7958
1537506035,8019,8019
1537506763,8041,8041
1537507711,8053,8053
1537508666,8055,8055
1537509641,8046,8046
1537510590,8058,8058
1537511541,8040,8040
1537512513,8043,8043
1537513462,8073,8073
1537514419,8065,8065
1537515387,8065,8065
1537516340,8068,8068
1537517319,8103,8103
1537518277,8066,8066
1537519225,8080,8080
1537520197,8072,8072
1537521411,8016,8016
1537522349,8065,8065
1537523320,8078,8078
1537524266,8086,8086
1537525223,8095,8095
1537526182,8079,8079
1537527156,8060,8060
1537528119,8096,8096
1537529076,8078,8078
1537530033,8068,8068
1537530987,8077,8077
1537531955,8103,8103
1537532910,8089,8089
1537533871,8079,8079
1537534836,8093,8093
1537535797,8099,8099
1537536753,8063,8063
1537537711,8098,8098
1537538673,7988,7988
1537539638,7948,7948
1537540596,8081,8081
1537541552,8054,8054
1537542515,8043,8043
1537543469,8077,8077
1537544426,8106,8106
1537545151,8072,8072
1537545867,8071,8071
1537546597,8056,8056
1537547549,8085,8085
1537548279,8075,8075
1537548978,8091,8091
1537549705,8106,8106
1537550669,8076,8076
1537551379,8064,8064
1537552101,8032,8032
1537553076,8082,8082
1537553790,8093,8093
1537554505,8063,8063
1537555220,8097,8097
1537555943,8107,8107
1537556664,8100,8100
1537557387,8098,8098
1537558353,8098,8098
1537559061,8111,8111
1537559780,8126,8126
1537560501,8129,8129
1537561231,8131,8131
1537561944,8087,8087
1537562677,8118,8118
1537563382,8117,8117
1537564120,8105,8105
1537565067,8095,8095
1537566028,8105,8105
1537566985,8104,8104
1537567951,8094,8094
1537568681,8099,8099
1537569384,8099,8099
1537570101,8106,8106
1537570831,8057,8057
1537571799,8062,8062
1537572753,8058,8058
1537573711,8062,8062
1537574673,8062,8062
1537575635,8054,8054
1537576343,8081,8081
1537577068,8092,8092
1537577794,8077,8077
1537578748,8101,8101
1537579460,8092,8092
1537580918,8071,8071
1537581623,8066,8066
1537582350,8074,8074
1537583305,8064,8064
1537584270,8067,8067
1537585252,8081,8081
1537586198,8073,8073
1537587150,8081,8081
1537587861,8071,8071
1537588582,8076,8076
1537589554,8046,8046
1537590261,8078,8078
1537590982,8070,8070
1537591946,8063,8063
1537592914,8050,8050
1537593868,8074,8074
1537594830,8058,8058
1537595784,8063,8063
1537596748,8075,8075
1537597710,8074,8074
1537598670,8075,8075
1537599636,8064,8064
1537600592,8067,8067
1537601555,8109,8109
1537602510,8103,8103
1537603472,8083,8083
1537604433,8110,8110
1537605399,8092,8092
1537606367,8096,8096
1537607314,8140,8140
1537608264,8103,8103
1537609233,8143,8143
1537609941,8131,8131
1537610668,8126,8126
1537611385,8158,8158
1537612104,8135,8135
1537613076,8143,8143
1537614035,8153,8153
1537614992,8155,8155
1537615951,8161,8161
1537616918,8142,8142
1537617883,8068,8068
