DateTime,AddedIPs,RemovedIPs
1537212204,16,0
1537213358,15,5
1537215262,27,3
1537216956,31,7
1537217783,11,0
1537218867,16,4
1537219715,9,1
1537221387,19,10
1537222463,17,5
1537223678,5,3
1537224155,5,0
1537225540,7,7
1537226905,1,0
1537227761,1,6
1537228589,2,0
1537229673,3,0
1537230928,0,4
1537232733,7,6
1537234124,6,0
1537235783,2,4
1537236918,4,5
1537238567,5,5
1537239879,2,3
1537241727,4,6
1537242939,4,5
1537244136,4,4
1537245284,3,3
1537246595,8,1
1537247728,5,3
1537249356,1,4
1537250201,3,1
1537251271,1,0
1537252947,2,9
1537253781,2,1
1537254870,1,1
1537256143,0,6
1537257397,0,1
1537258531,1,4
1537259325,2,0
1537260982,3,3
1537262061,3,2
1537263284,2,5
1537264524,4,0
1537265738,1,6
1537266515,1,2
1537268193,6,3
1537269267,6,8
1537270487,0,4
1537271780,3,4
1537273708,6,8
1537275397,8,9
1537276473,7,6
1537278041,13,5
1537279833,7,9
1537281752,4,6
1537283132,9,2
1537284338,4,1
1537286443,6,7
1537287631,7,0
1537288829,6,9
1537290329,1,8
1537291834,5,6
1537292551,6,6
1537294182,15,4
1537295339,4,0
1537296471,2,6
1537296983,1,0
1537298137,2,8
1537298911,3,0
1537301679,11,11
1537303530,1,5
1537304182,1,2
1537306122,7,6
1537306942,6,13
1537308243,18,15
1537308867,13,0
1537310135,9,3
1537311329,11,2
1537312461,9,2
1537313303,5,0
1537314994,7,5
1537316917,17,7
1537318531,10,8
1537319734,12,6
1537321224,14,6
1537322397,13,9
1537323265,13,2
1537324957,27,9
1537325795,15,2
1537326880,17,2
1537327711,7,0
1537328565,3,7
1537330067,9,6
1537331451,7,6
1537333003,7,2
1537334140,7,1
1537335773,14,5
1537336927,7,2
1537338040,5,1
1537339234,4,6
1537339356,0,2
1537340614,9,5
1537341927,18,1
1537343782,33,7
1537345725,5,7
1537347398,2,12
1537348478,3,6
1537349728,3,3
1537351173,0,7
1537352436,1,2
1537353637,1,5
1537354595,1,2
1537355741,1,4
1537357355,3,6
1537358920,3,5
1537359276,1,0
1537360111,2,1
1537361788,4,8
1537362939,2,2
1537364552,3,9
1537367315,2,7
1537369130,3,11
1537370077,1,3
1537370922,3,2
1537372588,2,10
1537373661,2,6
1537374523,3,1
1537375875,3,9
1537377034,2,12
1537378229,4,8
1537380627,11,13
1537382547,9,16
1537383937,11,17
1537385723,14,13
1537386142,2,8
1537387468,0,7
1537388922,4,2
1537390231,3,15
1537391429,0,14
1537392910,1,25
1537394121,2,12
1537395262,2,17
1537397784,2,3
1537398876,3,4
1537400557,4,6
1537401400,1,1
1537402476,4,1
1537403339,4,3
1537404984,6,6
1537406913,1,4
1537408590,3,5
1537409768,3,7
1537411243,2,5
1537412740,10,7
1537414543,3,9
1537415786,0,1
1537416963,0,7
1537418544,8,4
1537419936,5,6
1537420474,1,0
1537422044,10,4
1537423009,4,2
1537424137,8,3
1537424989,2,4
1537426224,17,1
1537427436,19,1
1537428638,17,3
1537429827,14,1
1537431028,20,7
1537432247,16,6
1537433478,21,1
1537434868,17,3
1537438233,35,9
1537440149,27,11
1537441531,10,3
1537442735,10,0
1537443745,5,8
1537445662,13,8
1537447235,7,3
1537448199,2,3
1537449329,9,4
1537450530,4,4
1537452060,11,10
1537453230,2,0
1537453722,2,1
1537455024,6,8
1537456227,7,4
1537457343,5,1
1537458154,3,17
1537459400,6,6
1537460062,7,0
1537461335,5,6
1537462530,6,1
1537463736,9,13
1537464998,4,9
1537466122,7,2
