DateTime,Entries,UniqueIPs
1537212204,8946,8946
1537213358,8956,8956
1537215262,8980,8980
1537216956,9004,9004
1537217783,9015,9015
1537218867,9027,9027
1537219715,9035,9035
1537221387,9044,9044
1537222463,9056,9056
1537223678,9058,9058
1537224155,9063,9063
1537225540,9063,9063
1537226905,9064,9064
1537227761,9059,9059
1537228589,9061,9061
1537229673,9064,9064
1537230928,9060,9060
1537232733,9061,9061
1537234124,9067,9067
1537235783,9065,9065
1537236918,9064,9064
1537238567,9064,9064
1537239879,9063,9063
1537241727,9061,9061
1537242939,9060,9060
1537244136,9060,9060
1537245284,9060,9060
1537246595,9067,9067
1537247728,9069,9069
1537249356,9066,9066
1537250201,9068,9068
1537251271,9069,9069
1537252947,9062,9062
1537253781,9063,9063
1537254870,9063,9063
1537256143,9057,9057
1537257397,9056,9056
1537258531,9053,9053
1537259325,9055,9055
1537260982,9055,9055
1537262061,9056,9056
1537263284,9053,9053
1537264524,9057,9057
1537265738,9052,9052
1537266515,9051,9051
1537268193,9054,9054
1537269267,9052,9052
1537270487,9048,9048
1537271780,9047,9047
1537273708,9045,9045
1537275397,9044,9044
1537276473,9045,9045
1537278041,9053,9053
1537279833,9051,9051
1537281752,9049,9049
1537283132,9056,9056
1537284338,9059,9059
1537286443,9058,9058
1537287631,9065,9065
1537288829,9062,9062
1537290329,9055,9055
1537291834,9054,9054
1537292551,9054,9054
1537294182,9065,9065
1537295339,9069,9069
1537296471,9065,9065
1537296983,9066,9066
1537298137,9060,9060
1537298911,9063,9063
1537301679,9063,9063
1537303530,9059,9059
1537304182,9058,9058
1537306122,9059,9059
1537306942,9052,9052
1537308243,9055,9055
1537308867,9068,9068
1537310135,9074,9074
1537311329,9083,9083
1537312461,9090,9090
1537313303,9095,9095
1537314994,9097,9097
1537316917,9107,9107
1537318531,9109,9109
1537319734,9115,9115
1537321224,9123,9123
1537322397,9127,9127
1537323265,9138,9138
1537324957,9156,9156
1537325795,9169,9169
1537326880,9184,9184
1537327711,9191,9191
1537328565,9187,9187
1537330067,9190,9190
1537331451,9191,9191
1537333003,9196,9196
1537334140,9202,9202
1537335773,9211,9211
1537336927,9216,9216
1537338040,9220,9220
1537339234,9218,9218
1537339356,9216,9216
1537340614,9220,9220
1537341927,9237,9237
1537343782,9263,9263
1537345725,9261,9261
1537347398,9251,9251
1537348478,9248,9248
1537349728,9248,9248
1537351173,9241,9241
1537352436,9240,9240
1537353637,9236,9236
1537354595,9235,9235
1537355741,9232,9232
1537357355,9229,9229
1537358920,9227,9227
1537359276,9228,9228
1537360111,9229,9229
1537361788,9225,9225
1537362939,9225,9225
1537364552,9219,9219
1537367315,9214,9214
1537369130,9206,9206
1537370077,9204,9204
1537370922,9205,9205
1537372588,9197,9197
1537373661,9193,9193
1537374523,9195,9195
1537375875,9189,9189
1537377034,9179,9179
1537378229,9175,9175
1537380627,9173,9173
1537382547,9166,9166
1537383937,9160,9160
1537385723,9161,9161
1537386142,9155,9155
1537387468,9148,9148
1537388922,9150,9150
1537390231,9138,9138
1537391429,9124,9124
1537392910,9100,9100
1537394121,9090,9090
1537395262,9075,9075
1537397784,9074,9074
1537398876,9073,9073
1537400557,9071,9071
1537401400,9071,9071
1537402476,9074,9074
1537403339,9075,9075
1537404984,9075,9075
1537406913,9072,9072
1537408590,9070,9070
1537409768,9066,9066
1537411243,9063,9063
1537412740,9066,9066
1537414543,9060,9060
1537415786,9059,9059
1537416963,9052,9052
1537418544,9056,9056
1537419936,9055,9055
1537420474,9056,9056
1537422044,9062,9062
1537423009,9064,9064
1537424137,9069,9069
1537424989,9067,9067
1537426224,9083,9083
1537427436,9101,9101
1537428638,9115,9115
1537429827,9128,9128
