DateTime,Entries,UniqueIPs
1537206935,508,508
1537208148,515,515
1537209640,525,525
1537211125,544,544
1537212292,560,560
1537213374,571,571
1537215276,592,592
1537216969,617,617
1537217796,628,628
1537218880,640,640
1537219728,648,648
1537221399,655,655
1537222476,670,670
1537223692,672,672
1537224168,677,677
1537225552,677,677
1537226980,677,677
1537227774,675,675
1537228602,677,677
1537229685,680,680
1537230942,677,677
1537232750,678,678
1537234141,684,684
1537235796,682,682
1537236948,680,680
1537238580,677,677
1537239903,677,677
1537241760,674,674
1537242959,673,673
1537244176,672,672
1537245320,671,671
1537246608,678,678
1537247744,680,680
1537249382,676,676
1537250215,678,678
1537251286,679,679
1537252959,672,672
1537253794,673,673
1537254883,672,672
1537256166,667,667
1537257410,665,665
1537258546,663,663
1537259382,661,661
1537260993,663,663
1537262072,663,663
1537263297,660,660
1537264535,661,661
1537265751,659,659
1537266534,658,658
1537268205,662,662
1537269280,661,661
1537270499,657,657
1537271802,652,652
1537273724,649,649
1537275409,647,647
1537276484,650,650
1537278064,656,656
1537279844,655,655
1537281766,651,651
1537283144,655,655
1537284351,659,659
1537286460,658,658
1537287643,664,664
1537288841,661,661
1537290340,656,656
1537291846,653,653
1537292564,653,653
1537294193,664,664
1537295419,665,665
1537296995,667,667
1537298151,661,661
1537298940,664,664
1537300595,668,668
1537301690,664,664
1537303543,662,662
1537304195,661,661
1537305344,657,657
1537306178,652,652
1537306955,654,654
1537308880,668,668
1537310147,673,673
1537311342,682,682
1537312473,689,689
1537314157,690,690
1537315007,696,696
1537316935,707,707
1537318543,710,710
1537319747,714,714
1537321238,725,725
1537322460,729,729
1537323279,740,740
1537324971,758,758
1537325810,770,770
1537326894,784,784
1537327731,791,791
1537328579,789,789
1537330082,793,793
1537331481,794,794
1537333016,800,800
1537334154,807,807
1537335785,815,815
1537336958,819,819
1537338055,822,822
1537339247,820,820
1537339367,819,819
1537340628,823,823
1537341939,840,840
1537343795,852,852
1537344873,850,850
1537345787,844,844
1537346564,842,842
1537348490,840,840
1537349741,840,840
1537351192,835,835
1537352452,833,833
1537353648,829,829
1537354607,828,828
1537355757,827,827
1537357367,823,823
1537358932,823,823
1537359288,824,824
1537360128,826,826
1537361802,820,820
1537362951,820,820
1537364564,815,815
1537367378,805,805
1537369157,802,802
1537370089,801,801
1537370979,795,795
1537372602,795,795
1537374576,789,789
1537375892,788,788
1537377046,779,779
1537378248,774,774
1537380646,772,772
1537382561,766,766
1537383948,762,762
1537385737,757,757
1537386155,750,750
1537387478,743,743
1537388976,732,732
1537390243,731,731
1537391442,718,718
1537392923,694,694
1537394134,684,684
1537395274,669,669
