DateTime,AddedIPs,RemovedIPs
1537197265,10,1
1537198963,1,7
1537199788,6,0
1537200912,2,1
1537202436,1,1
1537204470,1,2
1537205606,2,3
1537206929,4,0
1537208142,0,5
1537209634,2,3
1537211116,3,5
1537212209,1,0
1537213368,0,1
1537215268,7,1
1537216962,2,3
1537217789,2,0
1537218873,4,1
1537219720,6,0
1537221393,5,1
1537222468,0,1
1537223684,1,3
1537224161,1,0
1537225545,6,2
1537227767,1,6
1537228595,6,0
1537229678,0,7
1537230935,3,8
1537232743,6,2
1537234129,3,0
1537235789,7,2
1537236941,11,2
1537238573,5,16
1537239890,9,1
1537241740,15,4
1537242946,11,0
1537244141,6,6
1537245295,6,4
1537246601,6,4
1537247735,3,4
1537249369,8,6
1537250208,2,0
1537251279,7,6
1537252953,7,11
1537253787,3,0
1537254876,4,4
1537256153,4,1
1537257403,8,2
1537258538,5,3
1537259335,5,0
1537260987,3,8
1537262065,4,4
1537263290,11,9
1537264528,5,0
1537265744,3,7
1537266520,5,0
1537268198,3,7
1537269274,2,1
1537270492,7,4
1537271790,5,3
1537273714,2,4
1537275402,3,3
1537276478,2,1
1537278051,2,0
1537279837,1,5
1537281759,3,1
1537283137,8,2
1537284344,4,0
1537286449,1,4
1537287636,4,0
1537288835,1,6
1537290334,1,11
1537291839,0,1
1537292557,0,1
1537294187,3,3
1537295391,2,3
1537296989,3,0
1537298143,3,7
1537298925,3,0
1537300588,2,8
1537301684,1,1
1537303535,5,4
1537306132,3,3
1537306948,6,5
1537308255,1,6
1537308872,1,0
1537310140,1,8
1537311335,4,7
1537312466,8,4
1537313313,1,0
1537314999,4,6
1537316928,7,9
1537318537,7,10
1537319739,7,6
1537321230,4,12
1537322447,6,4
1537323271,4,0
1537324963,6,7
1537325802,1,0
1537326887,7,13
1537327717,2,0
1537328572,2,17
1537330074,8,5
1537331457,12,8
1537333009,6,0
1537334146,6,2
1537335778,7,6
1537336942,2,6
1537338048,1,0
1537339240,8,8
1537339361,8,1
1537340621,6,1
1537341932,7,0
1537343788,10,5
1537345739,4,6
1537347404,6,7
1537348484,2,2
1537349734,5,6
1537351183,2,6
1537352445,3,0
1537353642,6,65
1537354600,2,1
1537355747,3,8
1537357360,2,12
1537358926,2,2
1537360117,1,0
1537361794,6,2
1537362945,1,2
1537364558,2,4
1537365388,4,0
1537367328,1,3
1537369144,2,13
1537370083,1,0
1537370931,2,0
1537372595,0,5
1537373667,2,2
1537374533,3,0
1537375884,3,2
1537377039,1,3
1537378241,1,1
1537380633,2,6
1537382554,8,2
1537383941,2,4
1537385729,2,3
1537387473,1,3
1537388932,5,0
1537390237,4,14
1537391435,1,12
1537391671,1,0
1537392916,0,1
1537395267,0,6
1537396118,1,1
1537397790,4,3
1537398881,9,5
1537400563,4,7
1537401405,3,0
1537402481,4,7
1537403388,2,4
1537404152,5,4
1537404990,5,0
1537406918,8,4
1537408596,7,15
1537409775,9,8
1537411251,6,10
1537412746,4,13
1537414549,2,14
1537415792,4,0
1537416977,8,5
1537418550,6,8
1537419944,9,6
1537420480,1,0
1537422050,10,7
1537423016,3,5
1537424144,3,7
1537425005,2,7
1537426230,5,0
1537427442,3,12
1537428643,3,8
1537429833,3,0
1537431033,3,7
1537432255,7,11
1537433492,12,7
1537434874,5,4
1537438238,12,12
1537440155,4,9
1537441537,4,5
1537442740,5,0
1537443750,3,3
1537445453,12,3
1537447240,4,8
1537448203,1,0
1537449335,7,3
1537450536,3,2
1537452916,4,11
1537453727,3,1
1537455029,8,10
1537456233,4,2
1537457382,4,5
1537458185,2,0
1537459416,1,2
1537460068,3,0
1537461340,0,3
1537462541,4,0
1537463741,5,2
1537465004,4,3
1537466127,2,0
1537467276,3,2
1537468540,4,5
1537469800,5,0
1537470939,1,0
1537472548,1,6
1537474470,2,1
1537475901,4,3
1537477001,2,4
1537478140,4,4
1537478924,2,1
1537480236,1,2
1537481452,2,2
1537483352,4,9
1537484740,3,5
1537486519,2,4
1537486963,1,2
1537488650,2,8
1537489737,4,0
1537491392,6,9
1537492538,1,5
1537494042,3,9
1537495831,14,7
1537496940,7,0
1537497754,3,11
1537499680,12,10
1537500531,3,0
1537502193,6,9
1537504136,7,9
1537505806,8,8
1537506949,8,10
1537508550,7,9
1537509762,5,14
1537510471,3,0
1537512039,11,14
1537513533,5,17
1537514819,5,0
1537515933,0,3
1537517666,4,5
1537519241,2,6
1537520735,2,6
1537521938,3,0
1537523137,4,9
1537524236,6,4
1537525736,4,0
1537527394,7,5
1537529334,10,2
1537530524,4,3
1537532067,1,3
1537533764,2,3
1537534599,1,0
1537535668,4,3
1537536937,13,3
1537538679,7,4
1537539274,1,0
1537540947,2,4
1537542333,3,1
1537542866,2,0
1537544560,3,3
1537545718,2,3
1537546479,1,0
1537548149,4,3
1537550080,20,1
1537550920,5,0
1537552587,5,5
1537553735,3,5
1537554532,2,0
1537556187,9,1
1537557336,2,0
1537558960,10,2
1537560284,6,3
1537561839,11,3
1537563933,2,3
1537564468,1,0
1537565730,1,2
1537566993,1,2
1537568080,1,2
1537569558,3,16
1537571137,0,8
1537571676,1,0
1537572513,2,1
1537575017,8,12
1537576213,5,6
1537577410,8,0
1537579736,10,8
1537580563,3,11
1537581809,3,4
1537584044,9,2
1537585007,2,0
1537586142,2,5
1537587345,10,8
1537588553,9,0
1537589736,5,5
1537590527,3,0
1537592204,5,13
1537594137,5,3
1537596642,6,13
1537597738,3,0
1537599334,6,6
1537600546,3,3
1537601734,4,4
1537602917,3,0
1537604074,2,12
1537604933,5,0
1537606599,9,5
1537607672,9,7
1537608829,14,5
1537610639,8,3
1537612118,16,0
1537612956,2,5
1537614873,10,2
1537616130,3,13
1537617338,5,2
1537618467,5,3
1537619800,3,6
1537621555,5,2
1537622930,1,0
1537624171,0,7
1537626532,2,7
1537627359,1,3
1537629267,6,2
1537630961,0,4
1537631790,1,0
1537632867,2,8
1537633735,1,0
1537635035,1,4
1537636466,4,2
1537638157,3,7
1537639549,1,10
1537641242,3,1
1537642534,0,1
1537643666,5,1
1537645348,6,1
1537647034,10,7
1537649734,2,7
1537650875,0,2
1537652137,6,4
1537653330,3,0
1537655341,4,5
1537657002,13,5
1537658077,1,4
1537659765,3,6
1537661682,7,3
1537663361,5,4
1537664203,6,0
1537665344,4,12
1537666519,9,9
1537668461,4,9
1537669846,7,13
1537672484,18,6
1537674932,6,8
1537676144,4,10
1537676934,4,0
1537677763,2,10
1537679025,6,6
1537680648,4,4
1537681365,4,0
1537683272,4,9
1537684129,5,1
1537686169,5,14
1537686874,1,0
1537688132,3,5
1537690467,8,7
1537691325,4,0
1537692986,9,3
1537694136,8,6
1537695762,2,7
1537697438,6,4
1537698527,2,0
1537700187,2,9
1537701335,3,2
1537702959,4,1
1537703798,4,0
1537704873,1,1
1537707350,7,12
1537708489,5,10
1537710337,11,4
1537712066,7,1
1537713748,3,6
1537715027,2,2
1537716533,2,0
1537718198,2,5
1537719340,1,6
1537720602,1,14
1537721731,1,0
1537722937,3,4
1537724555,1,5
1537726079,2,7
1537727435,1,3
1537728150,2,0
1537729373,2,11
1537730933,2,0
1537732600,12,12
1537733667,1,3
1537735046,5,0
1537735346,3,1
1537736188,1,0
1537737272,2,3
1537738958,5,6
1537739792,2,0
1537740939,0,2
1537742439,3,6
1537743945,4,2
1537745142,3,0
1537746343,3,11
1537748080,7,10
1537749275,4,4
1537750529,3,4
1537751738,7,7
1537752892,5,12
1537754201,3,7
1537756135,4,9
1537756955,2,19
1537758878,5,6
1537759740,3,0
1537761039,3,10
1537762479,5,2
1537763327,1,0
1537764161,5,5
1537765536,5,4
1537766733,2,1
1537767752,3,7
1537768942,4,8
1537770046,3,0
1537770582,0,8
1537773266,5,7
1537774950,8,12
1537776113,3,10
1537777712,3,0
1537779042,5,19
1537780240,4,6
1537781333,2,0
1537782150,5,15
1537784066,2,6
1537785754,2,16
1537787141,3,7
1537788533,2,0
1537789349,0,6
1537790199,4,0
1537792134,6,6
1537793587,4,1
1537794953,4,2
1537797391,1,2
1537798517,2,3
1537799714,2,8
1537800990,1,1
1537802137,3,0
1537802919,5,0
1537804653,8,2
1537805682,0,2
1537806944,0,6
1537808188,5,0
1537810124,3,0
1537810965,2,0
1537812417,6,6
1537814128,2,3
1537816475,4,7
1537817577,3,1
1537818990,3,1
1537820076,1,2
1537821767,2,6
1537822598,3,0
1537823681,0,2
1537825348,2,10
1537826199,2,0
1537828135,5,10
1537828964,0,3
1537830335,3,3
1537831726,1,0
1537832550,0,10
1537834007,4,5
1537834479,1,0
1537835748,3,14
1537837540,6,4
1537838938,4,0
1537840599,8,5
1537841749,13,28
1537843245,4,5
1537844740,16,6
1537846848,17,8
1537848644,8,8
1537849738,7,0
1537850565,4,4
1537852471,6,6
1537853763,7,4
1537855850,15,8
1537857754,8,5
1537859142,4,4
1537860637,4,5
1537861832,5,4
1537863040,6,11
1537864844,7,9
1537866115,2,4
1537866877,5,0
1537868556,5,5
1537870238,5,2
