DateTime,Entries,UniqueIPs
1537218865,29762,29762
1537219709,29793,29793
1537221386,29821,29821
1537222461,29782,29782
1537223676,29763,29763
1537224149,29768,29768
1537225533,29742,29742
1537226903,29778,29778
1537227758,29736,29736
1537228582,29749,29749
1537229671,29738,29738
1537230926,29715,29715
1537232727,29657,29657
1537234118,29739,29739
1537235781,29655,29655
1537236913,29670,29670
1537238561,29643,29643
1537239877,29637,29637
1537241725,29666,29666
1537242937,29729,29729
1537244131,29733,29733
1537245279,29710,29710
1537246594,29807,29807
1537247724,29849,29849
1537249348,29840,29840
1537250199,29887,29887
1537251270,29911,29911
1537252945,29964,29964
1537253779,30045,30045
1537254865,30085,30085
1537256139,30144,30144
1537257395,30222,30222
1537258529,30235,30235
1537259315,30288,30288
1537260980,30370,30370
1537262059,30353,30353
1537263282,30344,30344
1537264522,30418,30418
1537265736,30432,30432
1537266512,30492,30492
1537268191,30520,30520
1537269265,30564,30564
1537270485,30565,30565
1537271778,30623,30623
1537273705,30695,30695
1537275393,30668,30668
1537276471,30658,30658
1537278038,30719,30719
1537279831,30770,30770
1537281750,30822,30822
1537283129,30858,30858
1537284335,30917,30917
1537286405,30870,30870
1537287629,30927,30927
1537288827,30952,30952
1537290327,30958,30958
1537291832,30974,30974
1537292549,31005,31005
1537294180,31052,31052
1537295333,31120,31120
1537296468,31136,31136
1537296981,31149,31149
1537298131,31167,31167
1537298904,31198,31198
1537300860,31159,31159
1537301672,31235,31235
1537303526,31179,31179
1537304180,31218,31218
1537306112,31251,31251
1537306940,31283,31283
1537308236,31284,31284
1537308864,31292,31292
1537310133,31252,31252
1537311327,31270,31270
1537312459,31280,31280
1537313301,31296,31296
1537314992,31273,31273
1537316915,31231,31231
1537318529,31219,31219
1537319730,31183,31183
1537321222,31147,31147
1537322395,31088,31088
1537323262,31092,31092
1537324955,31080,31080
1537325793,31097,31097
1537326878,31034,31034
1537327709,31075,31075
1537328558,31013,31013
1537330065,31047,31047
1537331443,31084,31084
1537333001,31162,31162
1537334138,31128,31128
1537335767,31074,31074
1537336921,31063,31063
1537338037,31140,31140
1537339232,31120,31120
1537339349,31097,31097
1537340605,31101,31101
1537341925,31191,31191
1537343780,31148,31148
1537345715,31103,31103
1537347396,31065,31065
1537348472,31068,31068
1537349725,31092,31092
1537351168,31091,31091
1537352430,31154,31154
1537353635,30584,30584
1537354593,30196,30196
1537355735,29862,29862
1537357353,29684,29684
1537358918,29694,29694
1537359274,29718,29718
1537360109,29794,29794
1537361786,29558,29558
1537362933,29400,29400
1537364550,29421,29421
1537365380,29463,29463
1537367314,29509,29509
1537369120,29453,29453
1537370071,29528,29528
1537370911,29593,29593
1537372586,29657,29657
1537373659,29694,29694
1537374511,29738,29738
1537375867,29639,29639
1537377032,29629,29629
1537378225,29653,29653
1537380622,29704,29704
1537382545,29666,29666
1537383931,29628,29628
1537385721,29633,29633
1537386140,29605,29605
1537387463,29634,29634
1537388911,29730,29730
1537390229,29769,29769
1537391427,29710,29710
1537391664,29721,29721
1537392904,29758,29758
1537394120,29829,29829
1537395260,29867,29867
1537396110,29886,29886
1537397781,29874,29874
1537398869,29898,29898
1537400554,29831,29831
1537401398,29866,29866
1537402474,29877,29877
1537403328,29914,29914
1537404981,29918,29918
1537406910,29996,29996
1537408588,30004,30004
1537409731,30005,30005
1537411239,30023,30023
1537412738,30012,30012
1537414537,30041,30041
1537415783,30067,30067
1537416960,30031,30031
1537418541,29982,29982
1537419930,30031,30031
1537420472,30060,30060
1537422041,30064,30064
1537423007,30107,30107
1537424133,30107,30107
1537424941,30172,30172
1537426220,30165,30165
1537427435,30147,30147
1537428636,30141,30141
1537429825,30241,30241
1537431026,30181,30181
1537432240,30224,30224
1537433475,30254,30254
1537434866,30270,30270
1537438231,30318,30318
1537440148,30376,30376
1537441529,30456,30456
