DateTime,AddedIPs,RemovedIPs
1536946964,0,1
1536952242,0,3
1536953445,0,1
1536956924,2,1
1536958534,1,0
1536959676,2,0
1536961232,1,0
1536963039,2,4
1536966882,3,2
1536970476,1,5
1536971731,1,1
1536972937,1,1
1536974930,4,2
1536977447,2,1
1536978659,1,1
1536982956,3,1
1536986549,0,1
1536987944,1,1
1536989132,1,0
1536990990,3,0
1536992932,3,2
1536995667,1,3
1536997363,1,1
1536999039,3,0
1537000958,1,3
1537007694,1,1
1537010084,0,1
1537011748,0,1
1537015356,2,2
1537016737,3,0
1537018245,0,1
1537020867,1,1
1537023388,1,0
1537024473,0,1
1537026148,2,0
1537029335,0,2
1537029748,0,1
1537031135,1,0
1537032331,1,0
1537033355,1,1
1537034187,1,1
1537035275,0,1
1537036529,1,1
1537040091,1,0
1537042240,3,0
1537043444,1,0
1537044951,0,1
1537046078,1,2
1537048242,2,1
1537049681,2,0
1537052136,2,1
1537053343,1,0
1537054957,1,1
1537056869,1,1
1537058436,0,1
1537059401,1,1
1537061325,3,3
1537062967,0,2
1537064078,1,0
1537067141,3,1
1537068531,1,1
1537074343,1,1
1537074871,1,1
1537076131,0,1
1537078237,0,2
1537079550,1,0
1537080933,1,0
1537082089,2,0
1537083487,2,2
1537085680,0,1
1537086932,0,1
1537088192,0,1
1537089336,1,1
1537090112,0,2
1537090947,3,1
1537092878,2,0
1537094442,3,0
1537096840,1,0
1537098993,2,1
1537100077,1,1
1537101330,1,3
1537103129,2,1
1537103666,1,0
1537105365,0,2
1537106188,0,1
1537108182,2,1
1537109787,3,0
1537112086,1,0
1537113312,0,1
1537114524,0,1
1537115715,2,1
1537118117,1,0
1537119323,1,2
1537120799,1,2
1537121667,2,1
1537124135,2,0
1537126131,3,0
1537128865,0,1
1537130589,1,2
1537131403,1,1
1537134149,1,0
1537134988,0,1
1537136150,1,2
1537137330,0,2
1537138599,0,1
1537139688,3,0
1537140828,0,1
1537143045,3,3
1537145803,1,2
1537147716,2,1
1537150236,2,6
1537151695,1,1
1537153554,1,1
1537154732,1,0
1537155948,1,0
1537157668,2,2
1537158534,0,1
1537161347,0,2
1537168482,1,0
1537170986,0,1
1537172076,0,1
1537173641,2,0
1537174596,0,2
1537175736,2,1
1537178190,0,3
1537182868,1,1
1537186239,2,1
1537188153,2,3
1537189509,1,0
1537190712,1,1
1537190936,0,1
1537191748,0,1
1537193028,2,1
1537194149,1,0
1537195542,2,1
1537197265,2,0
1537198964,1,1
1537199788,0,1
1537200918,0,1
1537204471,2,1
1537206929,0,1
1537208143,0,1
1537209634,1,1
1537211119,2,4
1537213368,0,1
1537215269,2,0
1537216962,1,4
1537217790,3,0
1537218873,2,1
1537221393,0,1
1537222469,0,2
1537223684,0,2
1537225546,3,2
1537226915,1,0
1537227767,1,2
1537228595,0,1
1537229678,1,0
1537232744,1,0
1537234129,0,1
1537235789,2,1
1537236941,1,1
1537238573,0,2
1537241740,3,1
1537242946,1,1
1537247736,1,2
1537249371,0,1
1537251279,3,1
1537252953,1,0
1537254876,1,0
1537258539,1,0
1537260987,4,0
1537262066,3,3
1537263290,0,1
1537264529,1,0
1537265744,0,2
1537266521,1,0
1537268199,0,1
1537269274,1,0
1537270492,1,2
1537271790,0,1
1537273714,2,1
1537275402,1,0
1537278051,1,0
1537279838,0,2
1537281759,0,1
1537283138,0,2
1537288835,1,0
1537290334,0,1
1537291840,1,0
1537294187,1,0
1537295396,2,3
1537296989,1,0
1537298143,0,1
1537300589,1,0
1537301684,2,0
1537303535,1,1
1537304188,2,1
1537306948,0,1
1537310141,3,4
1537311335,1,1
1537312467,1,2
1537313317,1,0
1537316928,2,2
1537318537,1,4
1537319739,1,1
1537321231,1,0
1537322448,2,1
1537324963,0,1
1537325802,1,0
1537326887,1,0
1537327717,1,3
1537328572,0,2
1537330075,1,1
1537331458,0,1
1537333009,1,0
1537334146,0,1
1537336949,0,1
1537343788,3,0
1537345740,3,0
1537348484,0,1
1537349734,0,1
1537351184,1,1
1537352446,0,1
1537353642,0,1
1537354600,0,1
1537362945,0,2
1537364558,3,0
1537367328,4,3
1537369145,2,3
1537370083,2,0
1537372595,2,0
1537373667,1,1
1537375885,0,2
1537377040,1,1
1537378241,1,1
1537380634,1,0
1537382554,2,0
1537383942,1,1
1537385730,1,2
1537387473,1,3
1537392916,0,1
1537397790,4,1
1537398881,0,1
1537400563,0,1
1537401405,1,0
1537402482,1,0
1537403392,1,2
1537404153,0,1
1537406922,2,0
1537408596,1,1
1537411252,1,1
1537412747,1,2
1537414549,2,0
1537415792,1,0
1537418551,1,3
1537419945,0,1
1537422051,0,2
1537424145,0,1
1537425017,1,0
1537428644,1,2
1537429834,0,1
1537431034,0,1
1537433492,2,0
1537440156,1,1
1537442741,2,0
1537443751,0,2
1537445453,1,3
1537447241,2,1
1537448204,0,3
1537450536,0,1
1537451744,2,0
1537458185,1,0
1537459421,3,1
1537461341,2,2
1537462542,0,1
1537463742,0,2
1537465004,2,2
1537466128,0,1
1537467276,0,1
1537468541,2,1
1537469801,1,0
1537470939,1,1
1537472549,1,1
1537474470,1,1
1537475902,1,1
1537477001,1,0
1537478141,0,2
1537480237,1,0
1537481452,1,1
1537483353,2,0
1537484741,1,0
1537486520,1,1
1537488651,1,2
1537489779,0,2
1537490572,0,1
1537491392,3,1
1537492539,0,5
1537494042,1,0
1537495832,1,2
1537496940,1,0
1537497754,1,0
1537499680,3,1
1537500531,0,1
1537502193,2,1
1537504136,1,2
1537505806,2,0
1537506950,2,0
1537508550,0,1
1537509764,1,0
1537510471,1,1
1537512039,0,1
1537514820,1,0
1537515934,0,3
1537517666,1,4
1537520736,0,2
1537523138,0,1
1537524237,2,1
1537525740,3,0
1537527394,2,0
1537530525,0,1
1537533765,0,1
1537534599,0,1
1537535668,1,1
1537536937,0,1
1537538679,0,3
1537539275,1,0
1537540948,1,4
1537542867,1,0
1537544560,0,2
1537545754,1,5
1537548149,0,1
1537550080,1,1
1537553736,1,1
1537556187,1,0
1537560284,0,1
1537563933,0,1
1537564468,1,1
1537566993,0,1
1537568081,0,1
1537571137,1,1
1537572517,1,1
1537575021,1,1
1537576219,0,2
1537577411,1,0
1537579739,2,0
1537580563,1,0
1537581815,0,1
1537584044,0,3
1537585007,1,1
1537586142,1,1
1537587345,0,1
1537592205,1,0
1537596642,1,1
1537597781,0,1
1537600546,1,0
1537601734,0,2
1537602916,3,0
1537604074,0,1
1537606600,2,0
1537607672,1,0
1537608829,1,1
1537610639,0,1
1537616131,0,1
1537617338,1,0
1537621555,0,3
1537622934,1,0
1537626533,0,2
1537627360,1,0
1537629267,1,1
1537630962,0,2
1537631791,1,0
1537632867,0,1
1537633736,1,0
1537635035,0,1
1537638157,0,2
1537641250,2,0
1537643666,3,0
1537645349,4,1
1537647035,1,2
1537649734,2,1
1537650875,2,0
1537652138,2,2
1537653330,1,0
1537655384,3,2
1537658077,0,3
1537661682,2,0
1537663362,2,0
1537664203,1,1
1537665344,1,1
1537666519,0,1
1537668461,2,3
1537669847,0,1
1537672484,1,2
1537674932,1,2
1537677764,0,1
1537679024,1,0
1537680649,1,0
1537692987,2,0
1537694137,0,2
1537695762,0,1
1537698528,1,0
1537700188,1,0
1537702959,0,1
1537704873,2,2
1537707349,4,0
1537708489,1,0
1537710337,0,3
1537712067,2,1
1537713749,2,3
1537715027,1,0
1537715681,1,1
1537716534,0,1
1537718199,1,0
1537719341,0,1
1537721732,1,0
1537724555,2,1
1537726079,0,1
1537730934,1,0
1537735046,1,0
1537736188,0,1
1537738958,1,0
1537739793,1,1
1537742440,0,2
1537743946,2,1
1537745142,0,1
1537746344,3,0
1537748080,1,3
1537749275,1,0
1537750530,2,0
1537751739,0,2
1537752892,1,1
1537754201,0,1
1537756136,1,1
1537756955,0,1
1537758878,0,1
1537759741,0,1
1537761039,2,1
1537762479,1,0
1537763330,2,1
1537765537,0,1
1537766733,2,1
1537767753,0,1
1537768946,2,0
1537770047,0,1
1537770582,0,1
1537773266,2,3
1537774950,1,2
1537776114,0,2
1537777713,1,0
1537779042,3,0
1537780241,0,2
1537782150,0,1
1537785754,1,0
1537787141,0,2
1537789349,1,0
1537792135,0,2
1537793587,2,0
1537794954,1,0
1537797391,1,0
1537798520,1,0
1537799719,1,0
1537802137,0,1
1537804653,0,2
1537805683,1,0
1537806944,1,0
1537807372,0,1
1537808188,1,1
1537810128,1,0
1537810966,0,1
1537814128,0,6
1537818990,1,0
1537820076,0,1
1537821768,3,6
1537822599,2,2
1537823682,0,1
1537825348,0,2
1537828138,1,1
1537830335,0,2
1537831736,2,0
1537832550,0,1
1537835748,0,2
1537837540,2,0
1537839770,1,0
1537843246,1,0
1537844740,0,1
1537846849,2,0
1537848645,1,1
1537850566,0,1
1537852472,0,2
1537853771,49,0
1537855850,0,13
1537857755,1,4
1537859143,0,4
1537860637,0,2
1537863040,1,0
1537864844,1,1
1537866115,0,3
1537866878,0,1
1537868556,0,1
1537870238,1,2
