DateTime,AddedIPs,RemovedIPs
1537217777,5,2
1537218857,38,31
1537219698,11,2
1537221378,31,39
1537222456,16,44
1537223671,21,45
1537224137,17,0
1537225522,18,40
1537226898,13,1
1537227753,17,91
1537228576,13,1
1537229662,19,33
1537230921,21,60
1537232722,18,42
1537234106,18,3
1537237233,36,84
1537238548,28,72
1537239868,17,25
1537241720,48,33
1537242927,9,14
1537244122,20,31
1537245268,14,45
1537246582,16,16
1537247717,14,28
1537249342,9,73
1537250188,14,0
1537251258,6,32
1537252941,39,55
1537253775,10,1
1537254855,19,18
1537256130,35,50
1537257390,44,27
1537258521,32,33
1537259302,16,1
1537260975,59,38
1537262055,29,41
1537263278,36,39
1537264517,25,0
1537265727,26,42
1537266503,34,0
1537268182,26,75
1537269257,19,32
1537270480,16,43
1537271764,22,22
1537273701,50,34
1537275382,36,77
1537276463,17,32
1537278029,31,47
1537279820,28,86
1537281741,30,59
1537283121,28,35
1537284321,30,2
1537286400,295,74
1537287621,19,3
1537288822,88,52
1537290316,130,41
1537291821,11,39
1537292541,4,9
1537294176,23,29
1537295320,13,1
1537296464,21,52
1537296976,15,0
1537298120,22,41
1537298900,14,0
1537300854,24,86
1537301661,15,0
1537303518,54,57
1537304174,9,1
1537306100,25,28
1537306936,38,26
1537308227,16,28
1537308859,17,3
1537310128,18,23
1537311318,20,14
1537312454,10,19
1537313295,9,3
1537314980,20,18
1537316910,39,27
1537318520,20,33
1537319720,17,28
1537321217,17,22
1537322390,8,20
1537323257,17,8
1537324944,25,28
1537325786,12,0
1537326868,26,27
1537327701,6,0
1537328546,9,38
1537330059,31,25
1537331433,21,28
1537332991,24,10
1537334124,25,21
1537335754,16,40
1537336912,18,17
1537338024,7,0
1537339221,19,32
1537339340,0,14
1537340599,16,32
1537341917,10,0
1537343775,17,32
1537345703,14,73
1537347388,27,56
1537348461,12,26
1537349720,13,34
1537351163,37,26
1537352420,8,3
1537353622,29,29
1537354584,16,4
1537355723,11,18
1537357342,22,40
1537358914,18,17
1537359269,6,0
1537360104,16,1
1537361778,24,40
1537362922,22,15
1537364540,15,28
1537365375,34,2
1537367299,18,23
1537369081,16,29
1537370061,9,32
1537370899,18,2
1537372577,10,26
1537373655,22,39
1537374498,47,1
1537375862,64,28
1537377027,55,17
1537378221,35,26
1537380617,49,27
1537382541,36,29
1537383921,37,37
1537385716,30,28
1537386135,10,6
1537387257,17,20
1537388899,32,1
1537390220,17,44
1537391656,24,43
1537392899,17,21
1537394115,12,11
1537395256,41,27
1537396101,12,1
1537397777,29,36
1537398858,15,22
1537400543,32,40
1537401387,10,0
1537402461,17,18
1537403313,4,0
1537404976,90,22
1537406902,107,15
1537408578,54,30
1537409721,32,27
1537411225,42,32
1537412727,57,26
1537414525,42,28
1537415778,47,10
1537416919,12,17
1537418536,55,30
1537419921,27,15
1537420458,6,1
1537422031,37,38
1537422998,16,17
1537424120,26,24
1537424919,22,2
1537426215,27,40
1537427426,37,73
1537428627,35,54
1537429815,26,1
1537431018,25,68
1537432227,36,56
1537433469,28,13
1537434858,42,27
1537438223,90,88
1537440140,60,34
1537441521,40,21
1537442717,29,3
1537443738,60,45
1537445655,47,38
1537447228,31,32
1537448193,31,16
1537449319,23,35
1537450523,29,30
1537452053,33,45
1537453221,20,4
1537453699,11,1
1537455016,55,36
1537456217,164,27
1537457332,69,3
1537458143,10,57
1537459385,30,19
1537460056,12,1
1537461323,34,20
1537462518,23,1
1537463719,23,24
1537464981,19,27
1537466114,22,0
1537467260,28,23
1537468522,14,22
1537469778,16,20
