DateTime,AddedIPs,RemovedIPs
1537429173,7,22
1537430133,6,21
1537431334,16,20
1537432294,9,16
1537433253,17,11
1537434213,16,18
1537435654,32,31
1537436373,11,10
1537437092,7,9
1537438053,16,10
1537439013,17,15
1537439973,13,9
1537440934,19,15
1537441892,13,4
1537442853,14,15
1537443813,12,17
1537444833,15,9
1537445733,18,6
1537446693,16,10
1537447653,12,7
1537448614,9,10
1537449573,12,7
1537450532,18,7
1537451494,6,9
1537452454,5,6
1537453412,9,9
1537454372,7,9
1537455334,6,10
1537456293,8,13
1537457253,9,4
1537458213,2,6
1537459173,13,15
1537460133,12,12
1537461092,8,8
1537462053,6,7
1537463013,6,8
1537463973,14,11
1537464693,8,3
1537465413,3,4
1537466133,3,5
1537466854,5,8
1537467813,8,8
1537468773,8,8
1537469733,5,10
1537470693,8,10
1537471653,12,7
1537472613,11,14
1537473633,10,10
1537474533,6,4
1537475492,3,6
1537476452,5,7
1537477413,10,10
1537478372,7,8
1537479093,5,5
1537479813,4,6
1537480534,5,5
1537481254,6,9
1537482214,7,9
1537483174,2,15
1537484132,5,6
1537485092,8,3
1537486053,4,5
1537487014,5,8
1537487972,2,8
1537488933,6,8
1537489895,9,6
1537490612,9,9
1537491332,6,6
1537492053,8,7
1537492772,7,3
1537493733,8,7
1537494693,7,5
1537495654,7,9
1537497573,16,14
1537498293,9,6
1537499012,4,5
1537499973,5,6
1537500693,9,8
1537501412,4,4
1537502373,3,1
1537503093,1,7
1537503813,2,6
1537504535,4,10
1537505252,6,2
1537505973,3,14
1537506694,2,10
1537507653,7,14
1537508614,6,7
1537510054,9,16
1537511014,5,8
1537511973,7,7
1537512932,13,10
1537513893,9,8
1537514853,7,14
1537515814,4,4
1537516534,11,10
1537517252,11,9
1537518694,23,14
1537519413,11,6
1537520613,15,11
1537521813,10,12
1537522534,8,12
1537523733,12,10
1537524693,12,11
1537525652,8,16
1537526614,11,10
1537528052,11,17
1537529014,10,10
1537529973,8,7
1537530933,10,15
1537531894,5,13
1537532854,6,10
1537533812,12,13
1537534772,14,11
1537535733,14,9
1537536692,9,282
1537537652,7,6
1537538613,12,4
1537539573,9,8
1537540536,7,6
1537541493,10,4
1537542453,5,4
1537543413,11,10
1537544374,10,5
1537545092,4,4
1537545813,13,10
1537546533,6,8
1537547493,6,11
1537548213,13,1
1537548932,8,3
1537549653,6,6
1537550613,19,11
1537551332,2,6
1537552054,7,2
1537553012,5,3
