DateTime,AddedIPs,RemovedIPs
1535191924,116,122
1535195763,76,71
1535201523,83,66
1535205362,130,107
1535211124,77,67
1535216883,79,62
1535219043,113,118
1535225763,75,67
1535227683,85,76
1535233443,64,74
1535237283,58,95
1535241123,54,98
1535243043,77,114
1535250724,138,127
1535254563,73,95
1535258404,76,121
1535260324,76,79
1535266083,156,98
1535274243,123,95
1535280004,67,58
1535283843,77,59
1535287683,129,98
1535293443,78,68
1535300164,126,142
1535304243,85,65
1535310242,87,60
1535314083,136,143
1535319845,119,169
1535327523,56,104
1535331363,137,142
1535336164,71,84
1535343843,136,168
1535347683,89,96
1535354407,151,120
1535358243,67,68
1535364962,154,92
1535372642,113,114
1535379363,79,55
1535381283,120,126
1535388964,77,76
1535390883,141,147
1535397603,113,74
1535405282,172,179
1535410083,96,210
1535417763,111,101
1535422563,109,125
1535427362,74,101
1535431203,150,178
1535438883,140,107
1535444642,87,65
1535449209,83,64
1535453045,119,95
1535460723,126,109
1535468410,79,66
1535472243,131,129
1535478243,87,70
1535480163,105,83
1535485923,111,87
1535489763,120,171
1535496483,83,112
1535500323,148,197
1535507043,115,145
1535514723,165,197
1535520484,90,84
1535525284,159,113
1535532963,140,103
1535541123,67,77
1535543043,88,73
1535546886,132,106
1535552882,72,82
1535557923,68,61
1535559843,68,67
1535565843,134,109
1535569924,93,88
1535575923,141,167
1535584804,113,195
1535590563,138,146
1535598484,126,168
1535607363,164,179
1535611209,145,104
1535617924,82,59
1535623683,145,94
1535629445,79,79
1535633283,73,60
1535635206,81,71
1535642404,84,68
1535644323,121,123
1535650082,84,79
1535654883,98,80
1535658724,142,137
1535667363,126,180
1535673124,62,120
1535676964,135,156
1535683683,75,69
1535685608,76,98
1535691364,147,178
1535700243,161,114
1535706963,135,111
1535711043,92,63
1535717044,108,103
1535724724,144,119
1535730725,81,92
1535734563,140,140
1535741283,153,135
1535748964,119,138
1535756643,115,177
1535764331,196,165
1535769123,126,81
1535772963,73,95
1535776805,134,179
1535784484,156,103
1535790243,80,45
1535796963,86,45
1535798883,79,73
1535800804,81,59
1535804643,81,73
1535808483,76,101
1535814243,98,80
1535818084,152,112
1535826003,124,131
1535831764,66,80
1535836564,148,134
1535842325,60,85
1535844243,59,105
1535848084,105,93
1535853843,110,149
1535859613,66,93
1535863444,92,110
1535867284,141,135
1535873046,66,53
1535879763,124,85
1535885523,135,91
1535892484,82,77
1535896323,89,77
1535898244,82,72
1535902324,84,64
1535908324,150,135
1535916005,127,128
1535919845,111,76
1535923683,83,103
1535928482,65,121
1535930885,74,131
1535935683,133,179
1535944562,140,166
1535952244,166,173
1535956086,91,75
1535960883,133,127
1535966643,83,71
1535970485,93,61
1535975283,129,104
1535984885,138,104
1535989684,166,102
1535997363,126,105
1536001215,165,136
1536006963,109,103
1536012722,78,99
1536014643,62,122
1536018724,60,140
1536020645,114,127
1536027364,112,130
1536031208,90,95
1536036962,162,170
1536043923,99,66
1536047764,81,70
1536052805,128,120
1536060483,131,116
1536067204,123,98
1536072965,122,134
1536077763,90,71
1536083522,165,131
1536089283,90,88
1536095283,99,81
1536097203,93,89
1536101043,64,131
1536102962,65,95
1536106809,114,139
1536110644,56,101
1536117365,113,87
1536121210,158,208
1536129125,191,136
1536132963,127,118
1536142564,118,102
1536149772,124,98
1536155522,70,59
1536159364,77,65
1536164165,116,113
1536170164,152,128
1536176882,84,71
1536180725,91,69
1536182643,76,99
1536188643,104,198
1536194406,102,100
1536198243,60,79
1536204007,141,155
1536208804,88,120
1536212652,81,88
1536216484,100,69
1536222249,153,124
1536226083,78,57
1536230883,142,112
1536236648,65,76
1536240484,77,71
1536245283,69,70
1536249123,155,124
1536254163,86,82
1536258004,109,80
1536263764,82,64
1536265683,84,72
1536270484,77,102
1536274322,74,104
1536279362,58,133
1536281283,90,106
1536287051,108,126
1536293764,155,167
1536298563,76,91
1536304323,144,120
1536312008,133,97
1536315843,63,53
1536322565,128,105
1536330243,121,102
1536337203,112,107
1536342963,81,74
1536344884,86,79
1536351604,143,122
