DateTime,Entries,UniqueIPs
1536680913,5169,5262
1536682829,5177,5270
1536684737,5192,5285
1536686683,5210,5304
1536688590,5207,5301
1536692429,5215,5309
1536694341,5213,5307
1536696275,5201,5298
1536698183,5202,5299
1536700108,5206,5304
1536702016,5214,5313
1536703940,5227,5327
1536705861,5224,5325
1536707781,5234,5333
1536709700,5247,5346
1536711614,5250,5350
1536713559,5253,5353
1536715466,5270,5370
1536717380,5280,5381
1536719291,5289,5390
1536721251,5289,5391
1536723139,5306,5408
1536725084,5313,5415
1536726986,5318,5420
1536728915,5328,5430
1536732754,5303,5405
1536734656,5330,5432
1536736605,5333,5437
1536738505,5365,5470
1536740414,5368,5473
1536742337,5387,5492
1536744274,5401,5506
1536748100,5395,5500
1536750031,5388,5493
1536751947,5378,5482
1536753863,5389,5493
1536759615,5376,5481
1536763470,5383,5488
1536765373,5392,5497
1536767306,5395,5498
1536774978,5357,5461
1536778837,5353,5457
1536782670,5349,5453
1536784572,5376,5481
1536786519,5381,5486
1536788427,5382,5487
1536790343,5380,5486
1536792253,5386,5492
1536794204,5402,5508
1536796094,5423,5530
1536798036,5435,5542
1536799954,5435,5542
1536801882,5442,5549
1536803781,5440,5547
1536805695,5462,5569
1536809555,5458,5565
1536813398,5428,5535
1536817232,5410,5521
1536819150,5410,5521
1536823232,5414,5525
1536825148,5423,5534
1536827067,5419,5530
1536828995,5435,5546
1536831142,5442,5553
1536834968,5433,5544
1536836903,5430,5542
1536839059,5426,5539
1536841002,5448,5561
1536842894,5452,5566
1536848658,5423,5535
1536850576,5426,5536
1536854428,5426,5538
1536856342,5433,5545
1536858273,5437,5549
1536860196,5443,5556
1536864012,5455,5568
1536865935,5465,5578
1536867868,5467,5579
1536869782,5470,5582
1536871951,5480,5592
1536873854,5496,5609
1536875783,5498,5611
1536879670,5491,5604
1536881536,5502,5615
1536887323,5472,5587
1536889229,5471,5586
1536891151,5467,5582
1536895017,5443,5558
1536902678,5391,5505
1536904583,5393,5507
1536908439,5401,5515
1536910598,5411,5526
1536914438,5417,5533
1536916347,5424,5540
1536918259,5420,5536
1536920198,5426,5542
1536922095,5426,5542
1536924041,5438,5554
1536925941,5441,5557
1536928114,5450,5566
1536931953,5453,5570
1536933864,5442,5559
1536941790,5407,5524
1536945616,5407,5524
1536947560,5415,5532
1536949456,5433,5550
1536955236,5409,5526
1536957145,5404,5521
1536959081,5396,5514
1536960996,5375,5493
1536962902,5372,5489
1536965318,5378,5494
1536967459,5391,5506
1536969384,5374,5489
1536971297,5383,5498
1536975142,5373,5488
1536977078,5370,5486
1536978984,5359,5475
1536980925,5350,5466
1536982818,5343,5458
1536986653,5316,5430
1536990492,5304,5418
1536992657,5319,5432
1536994580,5314,5426
1536996500,5314,5421
1536998436,5317,5425
1537000347,5315,5423
1537009944,5268,5372
1537011862,5269,5374
1537017861,5214,5314
1537021695,5209,5310
1537025545,5183,5284
1537031558,5138,5239
1537035401,5102,5202
1537037292,5106,5207
1537039239,5106,5209
1537041142,5094,5196
1537043070,5101,5203
1537044975,5094,5196
1537048839,5056,5159
1537050759,5040,5143
1537052664,5045,5148
1537056523,5047,5150
1537058437,5037,5140
1537060344,5042,5146
1537062273,5064,5167
1537064182,5062,5166
1537066096,5052,5155
1537068025,5055,5159
1537069944,5049,5153
1537071872,5049,5155
1537075703,5041,5147
1537077640,5032,5138
1537083394,4967,5072
1537087226,4954,5060
1537089147,4953,5061
1537091315,4952,5059
1537093242,4950,5057
1537097076,4925,5031
1537098984,4902,5008
1537100918,4890,4996
1537104757,4892,4998
1537106667,4875,4982
1537108605,4875,4982
1537110517,4865,4972
1537112434,4866,4971
1537114388,4860,4965
1537116264,4865,4971
1537118193,4886,4992
1537120345,4868,4974
1537122250,4896,5003
