DateTime,AddedIPs,RemovedIPs
1537387484,81,65
1537388414,50,73
1537389388,82,94
1537390338,56,67
1537391323,84,61
1537392258,64,56
1537393217,73,72
1537394178,64,79
1537395146,78,99
1537396093,83,76
1537397065,126,82
1537398029,102,96
1537398989,80,87
1537399940,115,97
1537400899,86,70
1537401875,96,98
1537402819,115,70
1537403784,91,80
1537404753,87,78
1537405711,77,69
1537406671,101,76
1537407624,71,67
1537408588,83,68
1537409540,80,70
1537410498,69,63
1537411456,88,67
1537412444,78,50
1537413380,90,58
1537414360,83,53
1537415331,104,41
1537416271,95,58
1537417218,79,54
1537418178,93,62
1537419158,73,55
1537420099,95,49
1537421059,55,46
1537422017,59,38
1537422996,78,80
1537423958,53,52
1537424892,87,72
1537425868,89,77
1537426841,81,65
1537427799,86,63
1537428740,82,77
1537429702,89,75
1537430668,78,64
1537431861,82,68
1537432819,103,98
1537433782,72,65
1537434751,90,66
1537435711,95,71
1537436655,95,61
1537437640,89,94
1537438584,82,167
1537439545,73,98
1537440501,82,81
1537441472,78,62
1537442434,78,85
1537443388,103,104
1537444359,71,83
1537445308,93,81
1537446269,95,68
1537447224,67,70
1537448182,78,62
1537449147,103,70
1537450092,89,63
1537451064,99,67
1537452018,83,65
1537452993,80,71
1537453939,86,73
1537454911,78,72
1537455869,69,64
1537456815,64,64
1537457785,76,92
1537458743,65,68
1537459742,79,82
1537460663,74,84
1537461629,85,92
1537462579,80,92
1537463548,76,78
1537464495,65,75
1537465475,81,79
1537466440,74,69
1537467390,86,91
1537468343,89,97
1537469298,70,75
1537470266,1366,129
1537471227,91,82
1537472188,84,86
1537473138,78,65
1537474102,69,91
1537475070,60,89
1537476022,84,75
1537476977,93,88
1537477947,69,100
1537478891,69,78
1537479879,65,102
1537480823,70,65
1537481786,70,60
1537482742,82,74
1537483701,77,61
1537484658,72,89
1537485638,57,82
1537486593,86,90
1537487562,88,82
1537488503,64,7
1537489460,78,87
1537490422,79,77
1537491394,68,64
1537492345,80,73
1537493308,79,70
1537494260,78,58
1537495237,69,50
1537496209,83,68
1537497653,94,144
1537498571,77,44
1537499540,85,76
1537500494,76,70
1537501480,75,77
1537502447,66,57
1537503381,76,60
1537504344,72,87
1537505315,63,59
1537506257,77,83
1537507251,53,71
1537508190,91,60
1537509157,58,51
1537510112,59,79
1537511075,75,86
1537512033,99,112
1537512997,96,100
1537513956,51,8
1537514911,93,149
1537515878,70,80
1537516827,68,3
1537517785,81,89
1537518757,80,163
1537519702,81,5
1537520794,82,115
1537521869,72,69
1537522816,74,74
1537523796,70,88
1537524756,87,76
1537525708,82,88
1537526675,78,74
1537527643,76,63
1537528586,77,81
1537529543,73,67
1537530498,72,72
1537531486,76,78
1537532428,71,4
1537533382,77,75
1537534348,81,128
1537535308,77,90
1537536261,83,55
1537537222,72,37
1537538192,91,127
1537539152,88,84
1537540094,72,66
1537541058,84,6
1537542034,117,172
1537542991,78,7
1537543942,84,93
1537545158,92,81
1537546127,80,58
1537547060,107,88
1537548011,85,80
1537548985,95,85
1537549931,69,69
1537551148,106,133
1537552108,85,68
1537553085,85,68
1537554011,100,81
1537554977,89,65
1537555952,79,78
1537556896,623,1378
1537557854,69,71
1537558815,60,75
1537559789,69,76
1537560741,60,55
1537561689,72,80
1537562684,83,69
1537563624,72,68
1537564583,69,78
1537565536,79,71
1537566499,77,44
1537567485,74,75
1537568412,75,76
1537569393,77,60
1537570341,80,79
1537571298,92,74
1537572265,93,65
1537573216,50,8
1537574183,65,60
1537575141,75,170
1537576092,74,13
1537577076,67,168
1537578264,76,70
1537579213,86,83
1537580925,114,121
1537581858,66,8
1537582830,101,134
1537583790,77,68
1537584738,53,6
1537585697,73,62
1537586657,66,55
1537587618,73,71
1537588591,79,115
1537589561,61,53
1537590496,70,23
1537591456,66,71
1537592430,71,92
1537593377,80,3
1537594355,87,125
1537595297,66,12
1537596267,79,38
1537597223,72,70
1537598182,82,54
1537599138,75,49
1537600109,67,59
1537601056,76,59
1537602028,57,58
1537602975,61,66
1537603948,76,40
1537604893,87,66
1537605864,56,55
1537606840,52,48
1537607786,63,62
1537608740,82,58
1537609697,55,54
1537610677,50,43
1537611616,63,62
1537612582,59,56
1537613543,76,54
1537614497,90,75
1537615464,92,58
1537616413,70,70
1537617377,78,65
1537618361,72,57
1537619293,83,71
1537620257,71,69
1537621236,93,60
1537622188,70,66
1537623140,67,58
1537624094,60,73
1537625067,68,76
1537626011,75,48
1537626990,65,63
1537627951,62,68
1537628899,74,67
1537629857,55,64
1537630816,75,56
1537631775,55,60
1537632774,76,91
1537633694,64,17
1537634657,73,51
1537635638,72,52
1537636583,59,72
1537637544,77,80
1537638503,58,53
1537639464,74,69
1537640416,69,43
1537641381,72,62
1537642336,56,63
1537643321,69,60
1537644255,62,66
1537645215,75,54
1537646192,71,61
1537647135,70,63
1537648092,81,66
1537649078,67,60
1537650023,40,73
1537650992,66,51
1537651947,74,89
1537652894,65,76
1537653878,75,72
1537654812,48,61
1537655776,74,84
1537656739,65,60
1537657700,56,60
1537658654,58,82
1537659617,66,63
1537660578,63,66
1537661540,65,62
1537662497,53,72
1537663462,65,84
1537664436,59,67
1537665390,61,70
1537666342,78,62
1537667295,66,81
1537668262,89,58
1537669264,49,94
1537670182,74,51
1537671137,61,61
1537672110,69,57
1537673059,60,56
1537674019,45,56
1537674976,57,55
1537675946,59,54
1537676898,39,56
1537677875,64,53
1537678821,65,62
1537679782,71,71
1537680745,88,80
1537681700,69,46
1537682667,63,54
1537683621,71,56
1537684593,68,67
1537685541,60,50
1537686497,69,48
1537687463,81,61
1537688415,57,53
1537689376,64,60
1537690342,56,51
1537691297,59,46
1537692261,71,59
1537693238,64,64
1537694192,58,67
1537695139,86,61
1537696100,70,80
1537697063,63,55
