DateTime,AddedIPs,RemovedIPs
1537387482,14,19
1537388411,4,18
1537389386,7,23
1537390336,9,20
1537391321,11,14
1537392255,11,13
1537393215,1,15
1537394176,14,17
1537395144,2,22
1537396091,15,25
1537397063,15,14
1537398026,16,20
1537398987,11,27
1537399938,15,16
1537400897,18,19
1537401874,13,38
1537402816,39,24
1537403782,18,28
1537404751,30,38
1537405708,27,17
1537406668,28,14
1537407622,29,14
1537408586,23,12
1537409538,23,19
1537410496,13,23
1537411454,16,14
1537412441,16,18
1537413378,22,0
1537414357,20,0
1537415329,34,0
1537416269,18,0
1537417216,22,0
1537418175,18,0
1537419155,19,0
1537420097,21,0
1537421056,14,0
1537422014,17,0
1537422994,21,0
1537423955,11,0
1537424890,20,0
1537425865,16,0
1537426839,17,0
1537427797,15,0
1537428738,25,2
1537429700,19,12
1537430664,16,8
1537431857,14,6
1537432817,12,25
1537433780,15,13
1537434748,15,22
1537435708,22,23
1537436652,19,13
1537437638,18,63
1537438583,13,155
1537439543,4,71
1537440498,18,45
1537441469,13,34
1537442431,17,34
1537443385,12,21
1537444357,13,17
1537445306,18,17
1537446267,14,14
1537447222,12,16
1537448180,23,14
1537449145,14,19
1537450090,10,14
1537451061,11,12
1537452016,32,11
1537452991,19,16
1537453937,20,14
1537454908,14,20
1537455866,18,16
1537456813,7,9
1537457783,12,29
1537458741,12,13
1537459740,12,43
1537460661,15,44
1537461621,8,37
1537462577,18,37
1537463546,17,37
1537464492,9,23
1537465472,17,20
1537466438,15,14
1537467386,18,27
1537468341,15,21
1537469296,10,16
1537470264,16,31
1537471224,10,16
1537472186,10,18
1537473136,8,18
1537474100,11,25
1537475067,12,24
1537476020,15,19
1537476974,9,16
1537477945,11,22
1537478888,11,13
1537479876,9,35
1537480821,6,20
1537481784,12,24
1537482740,13,26
1537483700,26,29
1537484656,10,25
1537485635,11,36
1537486591,22,39
1537487561,23,40
1537488501,26,0
1537489458,32,44
1537490420,37,25
1537491392,26,36
1537492343,37,36
1537493305,31,26
1537494258,24,28
1537495234,31,22
1537496207,32,34
1537497651,31,56
1537498570,20,10
1537499538,19,22
1537500491,16,15
1537501478,24,22
1537502445,25,16
1537503379,24,27
1537504342,8,26
1537505314,14,21
1537506255,16,21
1537507250,14,15
1537508188,12,7
1537509153,10,12
1537510109,21,27
1537511073,18,34
1537512031,27,60
1537512995,29,38
1537513954,15,0
1537514909,18,44
1537515876,15,8
1537516824,25,0
1537517783,33,34
1537518755,21,45
1537519700,21,0
1537520792,16,35
1537521867,21,29
1537522813,20,17
1537523792,19,29
1537524754,18,11
1537525706,24,25
1537526673,20,17
1537527641,16,16
1537528583,14,15
1537529541,17,12
1537530496,10,20
1537531484,20,18
1537532426,23,0
1537533380,19,13
1537534345,15,35
1537535306,8,20
1537536257,22,30
1537537220,18,33
1537538190,21,20
1537539149,11,9
1537540092,9,16
