DateTime,Entries,UniqueIPs
1537387482,11616,11748
1537388411,11602,11734
1537389386,11586,11718
1537390336,11575,11707
1537391321,11572,11704
1537392255,11570,11702
1537393215,11556,11688
1537394176,11553,11685
1537395144,11533,11665
1537396091,11523,11655
1537397063,11524,11656
1537398026,11520,11652
1537398987,11505,11636
1537399938,11504,11635
1537400897,11503,11634
1537401874,11478,11609
1537402816,11492,11624
1537403782,11481,11614
1537404751,11473,11606
1537405708,11484,11616
1537406668,11498,11630
1537407622,11513,11645
1537408586,11524,11656
1537409538,11528,11660
1537410496,11518,11650
1537411454,11521,11652
1537412441,11519,11650
1537413378,11541,11672
1537414357,11560,11692
1537415329,11594,11726
1537416269,11612,11744
1537417216,11634,11766
1537418175,11652,11784
1537419155,11671,11803
1537420097,11692,11824
1537421056,11706,11838
1537422014,11723,11855
1537422994,11744,11876
1537423955,11755,11887
1537424890,11775,11907
1537425865,11791,11923
1537426839,11808,11940
1537427797,11823,11955
1537428738,11846,11978
1537429700,11853,11985
1537430664,11861,11993
1537431857,11868,12001
1537432817,11855,11988
1537433780,11857,11990
1537434748,11850,11983
1537435708,11849,11982
1537436652,11855,11988
1537437638,11810,11943
1537438583,11670,11801
1537439543,11603,11734
1537440498,11576,11707
1537441469,11555,11686
1537442431,11539,11669
1537443385,11530,11660
1537444357,11526,11656
1537445306,11527,11657
1537446267,11527,11657
1537447222,11523,11653
1537448180,11532,11662
1537449145,11527,11657
1537450090,11523,11653
1537451061,11523,11652
1537452016,11546,11673
1537452991,11549,11676
1537453937,11557,11682
1537454908,11551,11676
1537455866,11554,11678
1537456813,11552,11676
1537457783,11535,11659
1537458741,11534,11658
1537459740,11526,11627
1537460661,11509,11598
1537461621,11486,11569
1537462577,11468,11550
1537463546,11448,11530
1537464492,11437,11516
1537465472,11435,11513
1537466438,11436,11514
1537467386,11427,11505
1537468341,11421,11499
1537469296,11416,11493
1537470264,11401,11478
1537471224,11395,11472
1537472186,11387,11464
1537473136,11377,11454
1537474100,11363,11440
1537475067,11351,11428
1537476020,11347,11424
1537476974,11340,11417
1537477945,11329,11406
1537478888,11327,11404
1537479876,11301,11378
1537480821,11287,11364
1537481784,11274,11352
1537482740,11261,11339
1537483700,11258,11336
1537484656,11243,11321
1537485635,11218,11296
1537486591,11202,11279
1537487561,11185,11262
1537488501,11211,11288
1537489458,11199,11276
1537490420,11211,11288
1537491392,11201,11278
1537492343,11201,11279
1537493305,11206,11284
1537494258,11202,11280
1537495234,11211,11289
1537496207,11209,11287
1537497651,11184,11262
1537498570,11194,11272
1537499538,11191,11269
1537500491,11192,11270
1537501478,11194,11272
1537502445,11203,11281
1537503379,11200,11278
1537504342,11182,11260
1537505314,11175,11253
1537506255,11170,11248
1537507250,11169,11247
1537508188,11174,11252
1537509153,11172,11250
1537510109,11166,11244
1537511073,11150,11228
1537512031,11118,11195
1537512995,11109,11186
1537513954,11124,11201
1537514909,11099,11175
1537515876,11106,11182
1537516824,11131,11207
1537517783,11130,11206
1537518755,11106,11182
1537519700,11127,11203
1537520792,11108,11184
1537521867,11100,11176
1537522813,11103,11179
1537523792,11093,11169
1537524754,11100,11176
1537525706,11099,11175
1537526673,11102,11178
1537527641,11102,11178
1537528583,11102,11177
1537529541,11107,11182
1537530496,11098,11172
1537531484,11100,11174
1537532426,11123,11197
1537533380,11129,11203
1537534345,11109,11183
1537535306,11097,11171
1537536257,11089,11163
1537537220,11074,11148
1537538190,11075,11149
1537539149,11077,11151
1537540092,11070,11144
1537541055,11082,11156
1537542032,11056,11129
1537542989,11074,11147
1537543940,11075,11148
1537545157,11082,11155
1537546125,11075,11145
1537547058,11057,11126
1537548009,11039,11106
1537548983,11027,11093
1537549929,11019,11085
1537551146,11009,11074
1537552107,11004,11069
1537553083,10989,11054
1537554008,10989,11054
1537554975,10995,11060
1537555949,10988,11053
1537556893,10984,11049
1537557851,10987,11052
1537558812,10984,11049
1537559786,10976,11042
1537560739,10976,11042
1537561688,10971,11037
1537562682,10966,11033
1537563621,10962,11029
1537564581,10950,11017
1537565535,10953,11019
1537566498,10950,11016
1537567483,10945,11011
1537568409,10942,11008
1537569391,10939,11005
1537570339,10932,10998
1537571296,10905,10971
1537572262,10898,10964
1537573214,10917,10983
1537574181,10921,10987
1537575140,10868,10934
1537576090,10893,10959
1537577073,10836,10902
1537578261,10838,10904
1537579210,10851,10917
1537580923,10857,10924
1537581855,10875,10942
1537582827,10860,10927
1537583788,10850,10917
1537584737,10865,10933
1537585696,10869,10937
1537586655,10876,10944
1537587616,10885,10953
1537588588,10872,10939
1537589559,10864,10933
1537590494,10875,10944
1537591454,10866,10935
1537592428,10846,10915
1537593375,10870,10939
1537594353,10863,10932
1537595295,10878,10947
1537596264,10898,10967
1537597221,10879,10947
1537598180,10877,10946
1537599136,10889,10958
1537600108,10886,10955
1537601053,10898,10969
1537602027,10896,10967
1537602973,10904,10976
1537603946,10912,10983
1537604891,10923,10995
1537605861,10924,10996
1537606838,10947,11019
1537607784,10937,11009
1537608738,10947,11019
1537609695,10951,11023
1537610674,10952,11024
1537611614,10957,11029
1537612581,10957,11029
1537613541,10956,11028
1537614495,10960,11032
1537615462,10985,11057
1537616411,10982,11054
1537617375,10987,11059
1537618359,10997,11069
1537619290,10990,11062
1537620255,10991,11063
1537621234,10999,11071
1537622186,10998,11070
1537623138,11004,11076
1537624092,11001,11073
1537625065,11019,11091
1537626010,11022,11095
1537626988,11031,11103
1537627949,11027,11099
1537628897,11028,11100
1537629855,11037,11108
1537630815,11038,11109
1537631774,11033,11104
1537632772,11003,11064
1537633692,11012,11073
1537634655,11014,11063
1537635637,11008,11054
1537636581,10995,11042
1537637541,10983,11029
1537638502,10969,11015
1537639463,10971,11016
1537640413,10975,11019
1537641379,10969,11013
1537642333,10961,11003
1537643318,10964,11005
1537644253,10973,11014
1537645212,10971,11012
1537646190,10966,11007
1537647133,10973,11014
1537648090,10974,11015
1537649076,10974,11014
1537650021,10968,11008
1537650990,10964,11004
1537651945,10963,11004
1537652892,10956,10997
1537653876,10960,11001
1537654811,10966,11007
1537655774,10968,11009
1537656736,10966,11007
1537657698,10970,11011
1537658652,10956,10996
1537659615,10952,10990
1537660576,10950,10988
1537661538,10954,10992
1537662495,10955,10993
1537663460,10953,10991
1537664434,10934,10972
1537665389,10932,10970
1537666340,10939,10976
1537667293,10929,10966
1537668261,10932,10969
1537669261,10930,10967
1537670180,10937,10974
1537671135,10925,10962
1537672107,10928,10964
1537673057,10936,10972
1537674016,10930,10966
1537674974,10912,10948
1537675943,10920,10956
1537676896,10912,10948
1537677873,10926,10962
1537678819,10930,10966
1537679780,10926,10962
1537680742,10927,10964
1537681698,10934,10971
1537682664,10940,10979
1537683619,10940,10978
1537684591,10943,10981
1537685539,10943,10981
1537686496,10946,10984
1537687461,10952,10990
1537688413,10947,10985
1537689373,10945,10984
1537690340,10941,10980
1537691294,10950,10990
1537692258,10941,10983
1537693236,10953,10995
1537694190,10957,10999
1537695138,10957,10999
1537696098,10945,10987
1537697062,10938,10980
1537698016,10948,10990
1537698970,10947,10989
1537699934,10953,10995
1537700894,10945,10987
1537701854,10946,10988
1537702810,10946,10988
1537703787,10950,10992
1537704744,10954,10996
1537705694,10954,10997
1537706652,10952,10995
1537707640,10964,11007
1537708582,10959,11002
1537709540,10963,11006
1537710510,10963,11006
1537711460,10964,11006
1537712413,10963,11005
1537713393,10979,11021
1537714356,10978,11020
1537715295,10977,11019
1537716255,10985,11028
1537717213,10986,11029
1537718172,10990,11034
1537719174,10992,11036
1537720094,10996,11039
1537721061,10994,11037
1537722031,10993,11036
1537722985,10983,11026
1537723936,10990,11033
1537724897,10984,11027
1537725867,10984,11027
1537726815,10996,11039
1537727770,10994,11037
1537728752,10997,11040
1537729694,10994,11037
1537730656,11016,11059
1537731613,11028,11071
1537732590,11029,11072
1537733779,11033,11076
1537734744,11034,11077
1537735695,11043,11086
1537736665,11052,11095
1537737609,11060,11103
1537738591,11067,11110
1537739531,11080,11123
1537740499,11079,11122
1537741451,11086,11130
1537742416,11104,11148
1537743390,11112,11156
1537744335,11111,11155
1537745289,11107,11151
1537746256,11089,11133
1537747224,11084,11128
1537748192,11096,11140
1537749136,11098,11142
1537750105,11084,11128
1537751059,11088,11132
1537752012,11081,11125
1537752991,11079,11123
1537753936,11086,11130
1537754895,11092,11136
1537755854,11105,11149
1537756822,11128,11172
1537757792,11127,11171
1537758737,11143,11187
1537759690,11132,11176
1537760672,11148,11192
1537761628,11141,11185
1537762578,11152,11196
1537763544,11140,11184
1537764493,11158,11202
1537765457,11169,11213
1537766422,11158,11202
1537767383,11165,11209
1537768333,11181,11225
1537769299,11164,11208
1537770258,11189,11233
1537771213,11204,11248
1537772173,11211,11255
1537773141,11221,11266
1537774089,11222,11267
1537775061,11220,11265
1537776034,11233,11278
1537776987,11235,11280
1537777940,11244,11289
1537778894,11242,11287
1537779882,11252,11297
1537780813,11271,11316
1537781780,11265,11310
1537782835,11264,11309
1537783933,11272,11317
1537785148,11287,11332
1537786099,11271,11316
1537787059,11274,11319
1537788011,11264,11309
1537788987,11261,11306
1537789965,11255,11300
1537790919,11247,11292
1537791850,11245,11290
1537792816,11255,11300
1537793792,11265,11310
1537794767,11274,11319
1537795692,11277,11322
1537796652,11275,11320
1537797623,11274,11319
1537798585,11282,11326
1537799538,11303,11347
1537800495,11325,11369
1537801467,11309,11353
1537802417,11322,11366
1537803388,11326,11371
1537804339,11339,11384
1537805348,11330,11375
1537806276,11347,11392
1537807236,11354,11399
1537808175,11374,11419
1537809402,11373,11419
1537810351,11379,11425
1537811291,11385,11431
1537812272,11391,11437
1537813484,11405,11452
1537814412,11416,11463
1537815368,11429,11476
1537816349,11441,11488
1537817291,11448,11495
1537818263,11454,11501
1537819212,11459,11506
1537820179,11447,11494
1537821144,11460,11507
1537822090,11454,11501
1537823073,11458,11505
1537824013,11468,11515
1537824976,11468,11515
1537825951,11471,11518
1537826894,11468,11515
1537827853,11475,11523
1537828816,11484,11532
1537829786,11496,11544
1537830758,11503,11552
1537831689,11511,11560
1537832663,11532,11581
1537833623,11511,11560
1537834591,11507,11556
1537835537,11525,11574
1537836502,11529,11578
1537837467,11534,11583
1537838408,11537,11586
1537839399,11555,11604
1537840338,11561,11609
1537841301,11566,11613
1537842251,11568,11615
1537843213,11558,11605
1537844183,11584,11631
1537845135,11658,11705
1537846102,11654,11702
1537847068,11656,11704
1537848027,11645,11693
1537848985,11651,11699
1537849939,11666,11714
1537850892,11653,11701
1537851881,11649,11697
1537852837,11667,11715
1537853800,11674,11722
1537854734,11678,11726
1537855707,11666,11714
1537856663,11681,11729
1537857624,11679,11727
1537858574,11686,11734
1537859547,11688,11736
1537860489,11690,11738
1537861457,11687,11735
1537862453,11696,11744
1537863387,11697,11745
1537864340,11733,11781
1537865291,11757,11805
1537866277,11762,11810
1537867216,11827,11875
1537868170,11861,11909
1537869149,11876,11924
1537870336,11888,11936
