DateTime,AddedIPs,RemovedIPs
1537387482,14,11
1537388411,4,9
1537389386,7,9
1537390336,9,5
1537391321,11,13
1537392255,11,14
1537393215,1,14
1537394176,14,18
1537395144,2,19
1537396091,15,8
1537397063,15,17
1537398026,16,26
1537398987,11,13
1537399938,15,13
1537400897,18,8
1537401874,13,23
1537402816,39,17
1537403782,18,15
1537404751,30,18
1537405708,27,24
1537406668,28,14
1537407622,29,4
1537408586,23,15
1537409538,23,13
1537410496,13,18
1537411454,16,11
1537412441,16,14
1537413378,22,20
1537414357,20,13
1537415329,34,14
1537416269,18,8
1537417216,22,25
1537418175,18,20
1537419155,19,24
1537420097,21,9
1537421056,14,14
1537422014,17,19
1537422994,21,12
1537423955,11,27
1537424890,20,15
1537425865,16,24
1537426839,17,20
1537427797,15,17
1537428738,25,16
1537429700,19,14
1537430664,16,17
1537431857,14,21
1537432817,12,17
1537433780,15,16
1537434748,15,20
1537435708,22,15
1537436652,19,9
1537437638,18,12
1537438583,13,15
1537439543,4,11
1537440498,18,13
1537441469,13,11
1537442431,17,9
1537443385,12,19
1537444357,13,11
1537445306,18,10
1537446267,14,8
1537447222,12,12
1537448180,23,20
1537449145,14,7
1537450090,10,9
1537451061,11,13
1537452016,32,16
1537452991,19,16
1537453937,20,7
1537454908,14,7
1537455866,18,7
1537456813,7,10
1537457783,12,14
1537458741,12,13
1537459740,12,13
1537460661,15,16
1537461621,8,8
1537462577,18,11
1537463546,17,13
1537464492,9,7
1537465472,17,12
1537466438,15,6
1537467386,18,9
1537468341,15,9
1537469296,10,10
1537470264,16,13
1537471224,10,12
1537472186,10,9
1537473136,8,8
1537474100,11,17
1537475067,12,10
1537476020,15,14
1537476974,9,12
1537477945,11,10
1537478888,11,10
1537479876,9,7
1537480821,6,11
1537481784,12,12
1537482740,13,16
1537483700,26,34
1537484656,10,25
1537485635,11,22
1537486591,22,22
1537487561,23,34
1537488501,26,33
1537489458,32,38
1537490420,37,36
1537491392,26,29
1537492343,37,34
1537493305,31,23
1537494258,24,14
1537495234,31,25
1537496207,32,11
1537497651,31,22
1537498570,20,18
1537499538,19,16
1537500491,16,14
1537501478,24,15
1537502445,25,19
1537503379,24,13
1537504342,8,4
1537505314,14,18
1537506255,16,21
1537507250,14,21
1537508188,12,17
1537509153,10,24
1537510109,21,14
1537511073,18,12
1537512031,27,11
1537512995,29,15
1537513954,15,24
1537514909,18,22
1537515876,15,12
1537516824,25,19
1537517783,33,19
1537518755,21,18
1537519700,21,13
1537520792,16,12
1537521867,21,15
1537522813,20,13
1537523792,19,26
1537524754,18,20
1537525706,24,17
1537526673,20,9
1537527641,16,16
1537528583,14,17
1537529541,17,14
1537530496,10,10
1537531484,20,7
1537532426,23,12
1537533380,19,10
1537534345,15,10
1537535306,8,7
1537536257,22,12
1537537220,18,6
1537538190,21,19
1537539149,11,8
1537540092,9,19
1537541055,12,8
1537542032,17,15
1537542989,18,12
1537543940,16,12
1537545157,21,19
1537546125,7,15
1537547058,15,12
1537548009,11,20
1537548983,22,16
1537549929,10,16
1537551146,24,17
1537552107,15,11
1537553083,12,10
1537554008,21,13
1537554975,25,14
1537555949,15,13
1537556893,12,7
1537557851,18,11
1537558812,11,12
1537559786,10,14
1537560739,12,16
1537561688,16,15
1537562682,15,6
1537563621,8,9
1537564581,10,14
1537565535,21,12
1537566498,12,7
1537567483,10,9
1537568409,22,18
1537569391,14,14
1537570339,16,10
1537571296,12,17
1537572262,18,26
1537573214,19,9
1537574181,23,44
1537575140,20,30
1537576090,25,22
1537577073,22,28
1537578261,35,43
1537579210,27,40
1537580923,49,44
1537581855,18,26
1537582827,24,27
1537583788,17,24
1537584737,16,23
1537585696,20,20
1537586655,19,21
1537587616,26,36
1537588588,18,16
1537589559,12,14
1537590494,11,6
1537591454,15,14
1537592428,14,8
1537593375,24,20
1537594353,29,16
1537595295,15,15
1537596264,29,10
1537597221,21,30
1537598180,18,20
1537599136,26,26
1537600108,18,22
1537601053,36,18
1537602027,13,6
1537602973,25,29
1537603946,20,32
1537604891,23,25
1537605861,15,15
1537606838,27,23
1537607784,9,11
1537608738,29,34
1537609695,17,25
1537610674,18,17
1537611614,20,21
1537612581,15,24
1537613541,24,19
1537614495,16,13
1537615462,38,10
1537616411,17,14
1537617375,22,21
1537618359,21,25
1537619290,14,16
1537620255,21,17
1537621234,22,24
1537622186,17,15
1537623138,20,16
1537624092,11,11
1537625065,23,13
1537626010,20,16
1537626988,22,30
1537627949,24,17
1537628897,17,11
1537629855,23,13
1537630815,12,6
1537631774,16,22
1537632772,16,17
1537633692,9,17
1537634655,20,22
1537635637,15,21
1537636581,24,13
1537637541,19,26
1537638502,8,9
1537639463,22,13
1537640413,19,23
1537641379,13,17
1537642333,8,17
1537643318,18,12
1537644253,22,19
1537645212,14,8
1537646190,28,13
1537647133,23,13
1537648090,19,16
1537649076,8,5
1537650021,13,9
1537650990,14,21
1537651945,20,20
1537652892,10,18
1537653876,18,15
1537654811,15,19
1537655774,12,14
1537656736,12,13
1537657698,16,10
1537658652,14,11
1537659615,24,20
1537660576,21,24
1537661538,30,43
1537662495,20,23
1537663460,28,24
1537664434,16,35
1537665389,30,24
1537666340,23,34
1537667293,20,24
1537668261,23,21
1537669261,22,28
1537670180,25,16
1537671135,18,11
1537672107,23,24
1537673057,19,14
1537674016,12,30
1537674974,17,18
1537675943,22,18
1537676896,7,14
1537677873,20,19
1537678819,14,21
1537679780,25,15
1537680742,23,19
1537681698,20,18
1537682664,23,31
1537683619,30,25
1537684591,19,18
1537685539,15,15
1537686496,20,15
1537687461,21,24
1537688413,16,11
1537689373,21,9
1537690340,11,15
1537691294,14,23
1537692258,15,12
1537693236,23,22
1537694190,22,31
1537695138,19,17
1537696098,18,14
1537697062,14,23
1537698016,21,15
1537698970,16,39
1537699934,16,22
1537700894,10,18
1537701854,18,33
1537702810,23,21
1537703787,14,22
1537704744,17,11
1537705694,12,21
1537706652,15,30
1537707640,21,22
1537708582,12,19
1537709540,19,15
1537710510,15,16
1537711460,16,21
1537712413,14,20
1537713393,20,21
1537714356,12,21
1537715295,8,16
1537716255,20,22
1537717213,11,19
1537718172,18,14
1537719174,18,19
1537720094,15,16
1537721061,14,19
1537722031,10,17
1537722985,8,13
1537723936,14,13
1537724897,12,12
1537725867,15,13
1537726815,21,16
1537727770,12,13
1537728752,11,15
1537729694,10,20
1537730656,30,18
1537731613,23,15
1537732590,16,24
1537733779,16,19
1537734744,11,17
1537735695,17,8
1537736665,17,12
1537737609,17,18
1537738591,11,8
1537739531,23,12
1537740499,12,14
1537741451,21,18
1537742416,27,10
1537743390,18,21
1537744335,16,22
1537745289,9,17
1537746256,12,22
1537747224,14,26
1537748192,20,29
1537749136,28,25
1537750105,13,23
1537751059,33,22
1537752012,19,23
1537752991,14,27
1537753936,17,29
1537754895,14,31
1537755854,29,19
1537756822,23,28
1537757792,19,20
1537758737,16,21
1537759690,24,14
1537760672,16,13
1537761628,21,34
1537762578,11,21
1537763544,20,17
1537764493,18,14
1537765457,19,18
1537766422,13,14
1537767383,17,14
1537768333,29,15
1537769299,18,22
1537770258,25,23
1537771213,25,17
1537772173,16,16
1537773141,24,8
1537774089,11,17
1537775061,20,6
1537776034,13,15
1537776987,21,24
1537777940,23,21
1537778894,15,12
1537779882,18,17
1537780813,19,16
1537781780,10,20
1537782835,23,16
1537783933,23,21
1537785148,23,30
1537786099,11,13
1537787059,16,28
1537788011,8,23
1537788987,15,32
1537789965,11,28
1537790919,15,16
1537791850,14,19
1537792816,24,25
1537793792,20,30
1537794767,25,15
1537795692,16,14
1537796652,17,20
1537797623,11,19
1537798585,28,18
1537799538,29,15
