DateTime,Entries,UniqueIPs
1537387482,975,975
1537388411,970,970
1537389386,968,968
1537390336,972,972
1537391321,970,970
1537392255,967,967
1537393215,954,954
1537394176,950,950
1537395144,933,933
1537396091,940,940
1537397063,938,938
1537398026,928,928
1537398987,926,926
1537399938,928,928
1537400897,938,938
1537401874,928,928
1537402816,950,950
1537403782,953,953
1537404751,965,965
1537405708,968,968
1537406668,982,982
1537407622,1007,1007
1537408586,1015,1015
1537409538,1025,1025
1537410496,1020,1020
1537411454,1025,1025
1537412441,1027,1027
1537413378,1029,1029
1537414357,1036,1036
1537415329,1056,1056
1537416269,1066,1066
1537417216,1063,1063
1537418175,1061,1061
1537419155,1056,1056
1537420097,1068,1068
1537421056,1068,1068
1537422014,1066,1066
1537422994,1075,1075
1537423955,1059,1059
1537424890,1064,1064
1537425865,1056,1056
1537426839,1053,1053
1537427797,1051,1051
1537428738,1060,1060
1537429700,1065,1065
1537430664,1064,1064
1537431857,1057,1057
1537432817,1052,1052
1537433780,1051,1051
1537434748,1046,1046
1537435708,1053,1053
1537436652,1063,1063
1537437638,1069,1069
1537438583,1067,1067
1537439543,1060,1060
1537440498,1065,1065
1537441469,1067,1067
1537442431,1075,1075
1537443385,1068,1068
1537444357,1070,1070
1537445306,1078,1078
1537446267,1084,1084
1537447222,1084,1084
1537448180,1087,1087
1537449145,1094,1094
1537450090,1095,1095
1537451061,1093,1093
1537452016,1109,1109
1537452991,1112,1112
1537453937,1125,1125
1537454908,1132,1132
1537455866,1143,1143
1537456813,1140,1140
1537457783,1138,1138
1537458741,1137,1137
1537459740,1136,1136
1537460661,1135,1135
1537461621,1135,1135
1537462577,1142,1142
1537463546,1146,1146
1537464492,1148,1148
1537465472,1153,1153
1537466438,1162,1162
1537467386,1171,1171
1537468341,1177,1177
1537469296,1177,1177
1537470264,1180,1180
1537471224,1178,1178
1537472186,1179,1179
1537473136,1179,1179
1537474100,1173,1173
1537475067,1175,1175
1537476020,1176,1176
1537476974,1173,1173
1537477945,1174,1174
1537478888,1175,1175
1537479876,1177,1177
1537480821,1172,1172
1537481784,1172,1172
1537482740,1169,1169
1537483700,1161,1161
1537484656,1146,1146
