DateTime,AddedIPs,RemovedIPs
1537387484,228,466
1537388414,216,0
1537389388,268,224
1537390338,210,210
1537391323,238,348
1537392258,235,0
1537393217,225,445
1537394178,202,0
1537395146,251,167
1537396093,237,200
1537397065,269,474
1537398029,242,0
1537398989,195,408
1537399940,308,0
1537400899,223,475
1537401875,239,0
1537402819,243,201
1537403784,235,204
1537404753,238,215
1537405711,211,208
1537406671,257,249
1537407624,221,206
1537408588,224,208
1537409540,199,217
1537410498,194,205
1537411456,231,211
1537412444,199,212
1537413380,196,179
1537414360,216,213
1537415331,212,237
1537416271,226,186
1537417218,201,219
1537418178,246,218
1537419158,211,224
1537420099,245,220
1537421059,178,224
1537422017,177,207
1537422996,214,241
1537423958,215,282
1537424892,256,248
1537425868,213,328
1537426841,235,274
1537427799,233,237
1537428740,289,231
1537429702,253,244
1537430668,209,244
1537431861,232,248
1537432819,255,258
1537433782,220,250
1537434751,241,0
1537435711,241,497
1537436655,234,0
1537437640,204,477
1537438584,278,0
1537439545,236,238
1537440501,246,254
1537441472,218,222
1537442434,198,273
1537443388,252,249
1537444359,226,229
1537445308,257,244
1537446269,257,218
1537447224,248,230
1537448182,232,221
1537449147,242,252
1537450092,216,209
1537451064,225,239
1537452018,228,228
1537452993,227,238
1537453939,213,239
1537454911,198,235
1537455869,183,260
1537456815,181,300
1537457785,205,289
1537458743,182,282
1537459742,202,245
1537460663,215,261
1537461629,205,269
1537462579,195,196
1537463548,223,210
1537464495,218,213
1537465475,240,229
1537466440,196,214
1537467390,230,212
1537468343,275,210
1537469298,212,224
1537470266,1431,1927
1537471227,251,235
1537472188,246,252
1537473138,212,240
1537474102,237,230
1537475070,231,228
1537476022,233,269
1537476977,243,213
1537477947,211,220
1537478891,206,272
1537479879,218,242
1537480823,274,200
1537481786,241,208
1537482742,256,228
1537483701,225,196
1537484658,244,242
1537485638,244,152
1537486593,242,259
1537487562,235,223
1537488503,236,225
1537489460,242,190
1537490422,231,220
1537491394,226,200
1537492345,221,170
1537493308,211,216
1537494260,207,230
1537495237,199,219
1537496209,210,182
1537497653,217,191
1537498571,254,230
1537499540,212,193
1537500494,187,224
1537501480,199,184
1537502447,210,191
1537503381,208,226
1537504344,193,217
1537505315,203,240
1537506257,219,215
1537507251,217,247
1537508190,268,217
1537509157,236,191
1537510112,194,206
1537511075,215,213
1537512033,251,237
1537512997,232,217
1537513956,222,235
1537514911,208,254
1537515878,203,298
1537516827,212,237
1537517785,202,246
1537518757,234,234
1537519702,216,285
1537520794,219,266
1537521869,211,261
1537522816,223,275
1537523796,200,239
1537524756,261,246
1537525708,246,281
1537526675,222,280
1537527643,240,266
1537528586,259,247
1537529543,246,229
1537530498,220,263
1537531486,208,242
1537532428,216,269
1537533382,246,254
1537534348,221,263
1537535308,236,249
1537536261,238,274
1537537222,245,254
1537538192,252,217
1537539152,253,207
1537540094,272,224
1537541058,228,249
1537542034,290,242
1537542991,260,207
1537543942,242,212
1537545158,241,464
1537546127,262,0
1537547060,253,219
1537548011,217,238
1537548985,243,436
1537549931,233,0
1537551148,247,457
1537552108,249,240
1537553085,269,218
1537554011,258,244
1537554977,248,275
1537555952,276,212
1537556896,735,1423
1537557854,274,233
1537558815,203,266
1537559789,220,236
1537560741,223,262
1537561689,240,243
1537562684,248,266
1537563624,257,245
1537564583,219,220
1537565536,244,199
1537566499,227,216
1537567485,207,276
