DateTime,AddedIPs,RemovedIPs
1537387484,1242,1242
1537388414,1198,1198
1537389388,1226,1226
1537390338,1269,1269
1537391323,1261,1261
1537392258,1258,1258
1537393217,1233,1233
1537394178,1231,1231
1537395146,1242,1242
1537396093,1225,1225
1537397065,1273,1273
1537398029,1247,1247
1537398989,1225,1225
1537399940,1249,1249
1537400899,1251,1251
1537401875,1250,1250
1537402819,1232,1232
1537403784,1218,1218
1537404753,1251,1251
1537405711,1262,1262
1537406671,1262,1262
1537407624,1289,1289
1537408588,1285,1285
1537409540,1263,1263
1537410498,1234,1234
1537411456,1258,1258
1537412444,1269,1269
1537413380,1254,1254
1537414360,1272,1272
1537415331,1294,1294
1537416271,1347,1347
1537417218,1295,1295
1537418178,1290,1290
1537419158,1300,1300
1537420099,1368,1368
1537421059,1324,1324
1537422017,1290,1290
1537422996,1321,1321
1537423958,1292,1292
1537424892,1320,1320
1537425868,1267,1267
1537426841,1284,1284
1537427799,1329,1329
1537428740,1320,1320
1537429702,1310,1310
1537430668,1316,1316
1537431861,1315,1315
1537432819,1308,1308
1537433782,1287,1287
1537434751,1331,1331
1537435711,1322,1322
1537436655,1285,1285
1537437640,1282,1282
1537438584,1313,1313
1537439545,1299,1299
1537440501,1314,1314
1537441472,1263,1263
1537442434,1285,1285
1537443388,1277,1277
1537444359,1267,1267
1537445308,1288,1288
1537446269,1267,1267
1537447224,1277,1277
1537448182,1270,1270
1537449147,1303,1303
1537450092,1293,1293
1537451064,1258,1258
1537452018,1286,1286
1537452993,1258,1258
1537453939,1285,1285
1537454911,1259,1259
1537455869,1235,1235
1537456815,1251,1251
1537457785,1278,1278
1537458743,1236,1236
1537459742,1197,1197
1537460663,1187,1187
1537461629,1224,1224
1537462579,1194,1194
1537463548,1234,1234
1537464495,1210,1210
1537465475,1201,1201
1537466440,1180,1180
1537467390,1245,1245
1537468343,1281,1281
1537469298,1276,1276
1537470266,1676,1676
1537471227,1678,1678
1537472188,1236,1236
1537473138,1274,1274
1537474102,1305,1305
1537475070,1283,1283
1537476022,1232,1232
1537476977,1251,1251
1537477947,1243,1243
1537478891,1212,1212
1537479879,1188,1188
1537480823,1232,1232
1537481786,1307,1307
1537482742,1271,1271
1537483701,1246,1246
1537484658,1266,1266
1537485638,1259,1259
1537486593,1244,1244
1537487562,1253,1253
1537488503,1269,1269
1537489460,1238,1238
1537490422,1263,1263
1537491394,1229,1229
1537492345,1250,1250
1537493308,1233,1233
1537494260,1243,1243
1537495237,1257,1257
1537496209,1249,1249
1537497653,1249,1249
1537498571,1263,1263
1537499540,1255,1255
1537500494,1212,1212
1537501480,1217,1217
1537502447,1251,1251
1537503381,1233,1233
1537504344,1230,1230
1537505315,1254,1254
1537506257,1306,1306
1537507251,1310,1310
1537508190,1319,1319
1537509157,1332,1332
1537510112,1303,1303
1537511075,1241,1241
1537512033,1224,1224
1537512997,1272,1272
1537513956,1264,1264
1537514911,1290,1290
1537515878,1294,1294
1537516827,1266,1266
1537517785,1232,1232
1537518757,1280,1280
1537519702,1263,1263
1537520794,1217,1217
1537521869,1207,1207
1537522816,1227,1227
1537523796,1239,1239
1537524756,1255,1255
1537525708,1272,1272
1537526675,1243,1243
1537527643,1206,1206
1537528586,1253,1253
1537529543,1232,1232
1537530498,1243,1243
1537531486,1256,1256
1537532428,1180,1180
1537533382,1187,1187
1537534348,1251,1251
1537535308,1195,1195
1537536261,1228,1228
1537537222,1209,1209
1537538192,1224,1224
1537539152,1243,1243
1537540094,1262,1262
1537541058,1255,1255
1537542034,1248,1248
1537542991,1280,1280
1537543942,1223,1223
1537545158,1197,1197
1537546127,1176,1176
1537547060,1206,1206
1537548011,1205,1205
1537548985,1182,1182
1537549931,1202,1202
1537551148,1201,1201
1537552108,1182,1182
1537553085,1160,1160
1537554011,1161,1161
1537554977,1173,1173
1537555952,1217,1217
1537556896,1356,1356
1537557854,1364,1364
1537558815,1218,1218
1537559789,1237,1237
1537560741,1282,1282
1537561689,1264,1264
1537562684,1264,1264
1537563624,1286,1286
1537564583,1282,1282
1537565536,1275,1275
1537566499,1272,1272
1537567485,1218,1218
1537568412,1217,1217
1537569393,1263,1263
1537570341,1273,1273
1537571298,1247,1247
1537572265,1278,1278
1537573216,1221,1221
1537574183,1198,1198
1537575141,1201,1201
1537576092,1222,1222
1537577076,1233,1233
1537578264,1218,1218
1537579213,1218,1218
1537580925,1286,1286
1537581858,1275,1275
1537582830,1292,1292
1537583790,1291,1291
1537584738,1246,1246
1537585697,1285,1285
1537586657,1278,1278
1537587618,1294,1294
1537588591,1309,1309
1537589561,1267,1267
1537590496,1306,1306
1537591456,1272,1272
1537592430,1313,1313
1537593377,1307,1307
1537594355,1286,1286
1537595297,1283,1283
1537596267,1316,1316
1537597223,1286,1286
1537598182,1302,1302
1537599138,1280,1280
1537600109,1250,1250
1537601056,1229,1229
1537602028,1235,1235
1537602975,1248,1248
1537603948,1298,1298
1537604893,1304,1304
1537605864,1274,1274
1537606840,1262,1262
1537607786,1291,1291
1537608740,1312,1312
1537609697,1250,1250
1537610677,1249,1249
1537611616,1225,1225
1537612582,1281,1281
1537613543,1262,1262
1537614497,1252,1252
1537615464,1250,1250
1537616413,1219,1219
1537617377,1237,1237
1537618361,1275,1275
1537619293,1256,1256
1537620257,1209,1209
1537621236,1275,1275
1537622188,1272,1272
1537623140,1255,1255
1537624094,1259,1259
1537625067,1227,1227
1537626011,1242,1242
1537626990,1224,1224
1537627951,1264,1264
1537628899,1238,1238
1537629857,1244,1244
1537630816,1270,1270
1537631775,1307,1307
1537632774,1332,1332
1537633694,1292,1292
1537634657,1277,1277
1537635638,1263,1263
1537636583,1290,1290
1537637544,1274,1274
1537638503,1269,1269
1537639464,1237,1237
1537640416,1219,1219
1537641381,1228,1228
1537642336,1222,1222
1537643321,1254,1254
1537644255,1243,1243
1537645215,1235,1235
1537646192,1220,1220
1537647135,1245,1245
1537648092,1240,1240
1537649078,1231,1231
1537650023,1212,1212
1537650992,1221,1221
1537651947,1214,1214
1537652894,1200,1200
1537653878,1212,1212
1537654812,1252,1252
1537655776,1237,1237
1537656739,1192,1192
1537657700,1217,1217
1537658654,1258,1258
1537659617,1281,1281
1537660578,1267,1267
1537661540,1249,1249
1537662497,1262,1262
1537663462,1263,1263
1537664436,1225,1225
1537665390,1258,1258
1537666342,1276,1276
1537667295,1283,1283
1537668262,1248,1248
1537669264,1297,1297
1537670182,1303,1303
1537671137,1296,1296
1537672110,1301,1301
1537673059,1329,1329
1537674019,1271,1271
1537674976,1280,1280
1537675946,1309,1309
1537676898,1299,1299
1537677875,1314,1314
1537678821,1305,1305
1537679782,1328,1328
1537680745,1313,1313
1537681700,1332,1332
1537682667,1336,1336
1537683621,1316,1316
1537684593,1326,1326
1537685541,1374,1374
1537686497,1349,1349
1537687463,1339,1339
1537688415,1308,1308
1537689376,1325,1325
1537690342,1298,1298
1537691297,1282,1282
1537692261,1260,1260
1537693238,1292,1292
1537694192,1249,1249
1537695139,1248,1248
1537696100,1231,1231
1537697063,1295,1295
1537698017,1297,1297
1537698972,1286,1286
1537699937,1308,1308
1537700896,1301,1301
1537701856,1338,1338
1537702812,1305,1305
1537703789,1280,1280
1537704746,1325,1325
1537705696,1358,1358
1537706655,1318,1318
1537707642,1301,1301
1537708583,1353,1353
1537709541,1320,1320
1537710512,1302,1302
1537711462,1271,1271
1537712416,1281,1281
1537713395,1283,1283
1537714358,1298,1298
1537715297,1288,1288
1537716258,1261,1261
1537717214,1305,1305
1537718174,1289,1289
1537719175,1353,1353
1537720096,1333,1333
1537721064,1342,1342
1537722032,1307,1307
1537722987,1326,1326
1537723937,1305,1305
1537724899,1323,1323
1537725869,1335,1335
1537726817,1273,1273
1537727772,1288,1288
1537728754,1302,1302
1537729697,1373,1373
1537730659,1379,1379
1537731615,1313,1313
1537732591,1326,1326
1537733781,1305,1305
1537734746,1316,1316
1537735698,1345,1345
1537736667,1336,1336
1537737612,1332,1332
1537738593,1317,1317
1537739532,1334,1334
1537740501,1370,1370
1537741454,1317,1317
1537742419,1341,1341
1537743392,1353,1353
1537744337,1317,1317
1537745291,1319,1319
1537746257,1354,1354
1537747226,1371,1371
1537748193,1366,1366
1537749138,1365,1365
1537750106,1288,1288
1537751062,1331,1331
1537752015,1366,1366
1537752993,1327,1327
1537753937,1322,1322
1537754898,1331,1331
1537755856,1280,1280
1537756824,1333,1333
1537757794,1352,1352
1537758739,1358,1358
1537759692,1353,1353
1537760673,1355,1355
1537761630,1382,1382
1537762581,1418,1418
1537763545,1392,1392
1537764494,1411,1411
1537765459,1391,1391
1537766424,1438,1438
1537767385,1451,1451
1537768335,1385,1385
1537769301,1346,1346
1537770260,1365,1365
1537771215,1346,1346
1537772175,1326,1326
1537773143,1385,1385
1537774092,1407,1407
1537775064,1382,1382
1537776036,1332,1332
1537776989,1350,1350
1537777941,1332,1332
1537778896,1332,1332
1537779884,1344,1344
1537780816,1265,1265
1537781782,1269,1269
1537782837,1288,1288
1537783935,1329,1329
1537785151,1329,1329
1537786101,1286,1286
1537787062,1297,1297
1537788012,1325,1325
1537788989,1247,1247
1537789966,1290,1290
1537790921,1325,1325
1537791853,1311,1311
1537792818,1299,1299
1537793793,1312,1312
1537794769,1344,1344
1537795693,1304,1304
1537796655,1299,1299
1537797625,1316,1316
1537798588,1351,1351
1537799540,1264,1264
1537800497,1287,1287
1537801469,1276,1276
1537802419,1309,1309
1537803390,1278,1278
1537804341,1297,1297
1537805350,1328,1328
1537806278,1317,1317
1537807238,1275,1275
1537808177,1313,1313
1537809404,1331,1331
1537810353,1322,1322
1537811294,1383,1383
1537812275,1305,1305
1537813486,1327,1327
1537814414,1333,1333
1537815371,1309,1309
1537816352,1293,1293
