DateTime,AddedIPs,RemovedIPs
1535007618,2,0
1535011220,2,1
1535014818,0,1
1535018420,1,1
1535032818,1,0
1535040019,2,0
1535047219,1,0
1535054417,1,0
1535058022,3,3
1535061618,1,0
1535068818,1,1
1535072419,1,1
1535077285,1,0
1535083284,32,1
1535093318,3,0
1535100529,2,0
1535101292,1,0
1535104821,1,1
1535108420,1,1
1535112021,2,1
1535130020,0,2
1535133621,2,0
1535140822,1,0
1535144422,3,1
1535148023,0,1
1535151622,0,1
1535155222,1,0
1535162423,2,0
1535166022,0,1
1535169622,0,1
1535176822,1,0
1535180422,0,1
1535187622,0,1
1535191222,0,1
1535198422,0,8
1535202020,0,25
1535212820,0,1
1535216431,1,0
1535220021,2,0
1535223620,1,0
1535230821,5,0
1535234431,2,0
1535238024,0,1
1535245221,0,2
1535248823,0,1
1535256019,1,0
1535263224,0,1
1535266820,0,1
1535281226,0,2
1535284821,0,5
1535292020,0,2
1535320819,1,0
1535324420,30,1
1535328030,1,0
1535331630,0,1
1535356825,0,1
1535360422,0,1
1535371222,1,0
1535382022,0,1
1535396422,1,1
1535400021,0,5
1535414421,1,1
1535418022,2,0
1535421629,1,0
1535439624,0,4
1535443223,1,0
1535450425,0,1
1535457624,1,0
1535464821,0,2
1535468420,3,17
1535472021,4,9
1535475621,2,0
1535479220,1,1
1535482820,0,1
1535486421,0,1
1535490019,0,2
1535493618,0,3
1535497221,2,0
1535504429,0,5
1535508018,1,2
1535515220,0,1
1535522420,0,1
1535526019,1,1
1535529620,1,0
1535540421,2,1
1535547621,0,4
1535558420,0,2
1535562020,0,1
1535565627,2,0
1535580021,2,1
1535587220,1,0
1535590822,1,0
1535594422,19,1
1535601623,1,1
1535605224,3,0
1535616025,0,1
1535619623,2,0
1535623222,1,0
1535634027,1,0
1535637623,2,0
1535644822,1,1
1535652030,0,1
1535655622,1,0
1535659225,0,1
1535662832,2,1
1535666422,0,3
1535670029,1,0
1535677222,0,1
1535680823,1,1
1535684421,2,21
1535688021,1,1
1535691622,3,0
1535695224,1,0
1535698828,0,1
1535702421,1,4
1535706021,1,0
1535709630,1,1
1535720421,3,0
1535727623,0,2
1535731232,1,0
1535742019,1,0
1535745621,3,1
1535749221,2,2
1535752821,2,1
1535760021,1,1
1535763621,0,1
1535767221,2,0
1535774428,1,0
1535817622,1,0
1535821222,3,1
1535824822,0,2
1535832023,2,0
1535835629,0,3
1535839222,0,2
1535842823,1,0
1535846424,3,0
1535850022,5,0
1535853622,4,0
1535857223,7,0
1535860823,7,1
1535864426,1,0
1535868023,3,0
1535871623,1,0
1535875223,4,0
1535878824,15,0
1535882425,16,0
1535889625,0,1
1535896826,9,0
1535900426,3,0
1535904026,3,0
1535907626,9,0
1535911228,7,0
1535922027,1,0
1535925626,0,1
1535929226,0,27
1535954425,1,1
1535958025,1,0
1535994027,1,0
1536001235,0,1
1536004822,0,1
1536008424,1,0
1536012025,6,0
1536015627,19,0
1536022829,3,2
1536026430,38,0
1536030029,1,1
1536033630,6,0
1536037230,1,1
1536040830,1,1
1536044430,2,0
1536048031,3,0
1536051629,1,1
1536055233,5,0
1536058831,2,0
1536062432,0,1
1536066032,1,0
1536069630,1,1
1536073241,0,2
1536076830,0,2
1536080430,2,1
1536084030,0,1
1536087631,2,0
1536091231,1,0
1536094831,1,0
1536098430,3,1
1536102032,3,0
1536109233,3,0
1536112831,2,0
1536120031,5,1
1536127235,1,0
1536134431,2,1
1536138031,2,1
1536141627,0,1
1536145233,6,1
1536156034,0,1
1536159631,2,0
1536163231,3,0
1536166832,1,0
1536170431,0,3
1536174035,1,0
1536181232,1,0
1536184832,3,2
1536188432,2,0
1536192032,1,1
1536195631,0,1
1536199237,0,22
1536206431,0,5
1536210037,0,2
1536217231,1,0
1536224431,0,3
1536231630,0,1
1536235230,0,2
1536253232,1,0
1536264030,3,1
1536267633,25,1
1536271232,0,1
1536274832,5,1
1536278432,6,0
1536285632,0,1
1536289232,0,5
1536292830,1,2
1536296433,1,2
1536300032,1,0
1536303631,0,1
1536307233,1,2
1536310831,0,2
1536314433,1,1
1536318027,1,1
1536321635,1,1
1536325231,0,4
1536328827,1,3
1536332432,0,5
