DateTime,AddedIPs,RemovedIPs
1536070423,96,118
1536074021,59,92
1536077624,47,77
1536081228,59,69
1536084830,109,60
1536088432,48,71
1536092030,55,66
1536095630,72,63
1536099224,39,64
1536102839,37,36
1536106450,82,42
1536110044,77,47
1536113639,53,54
1536117232,42,57
1536120834,29,35
1536128020,74,108
1536131631,63,47
1536135225,34,71
1536138825,54,59
1536142416,48,71
1536146009,33,44
1536149621,71,62
1536153224,77,124
1536156817,63,50
1536160423,49,57
1536164020,40,58
1536167618,64,57
1536171211,59,48
1536174823,81,48
1536178424,39,50
1536182032,61,101
1536185625,64,81
1536189226,122,51
1536192830,73,85
1536196422,51,83
1536200015,69,42
1536203627,84,60
1536207227,34,41
1536210822,43,78
1536214420,42,50
1536218017,56,39
1536221613,56,41
1536225217,60,84
1536228814,97,127
1536232413,37,59
1536236016,50,52
1536239620,103,46
1536243221,100,38
1536246828,74,62
1536250434,63,58
1536254040,63,46
1536257622,46,122
1536261230,42,49
1536264828,66,82
1536268425,50,96
1536272026,73,106
1536275609,37,99
1536279225,48,39
1536282822,63,44
1536286418,63,38
1536290020,66,57
1536293623,45,54
1536297218,34,26
1536300808,32,67
1536304407,45,42
1536308022,53,50
1536311613,43,56
1536315217,64,63
1536318816,43,84
1536322408,41,67
1536326013,49,49
1536329608,62,52
1536333214,92,62
1536336813,77,65
1536340420,49,59
1536344016,51,70
1536347622,92,41
1536351223,58,52
1536354822,76,41
1536358415,55,71
1536362017,60,78
1536365615,32,41
1536369220,42,47
1536372813,82,46
1536376410,80,47
1536380011,50,66
1536383610,40,51
1536387202,35,41
1536390812,77,57
1536394414,58,64
1536398015,48,53
1536401613,33,76
1536405208,52,78
1536408818,37,63
1536412404,33,41
1536416016,109,35
1536419610,82,34
1536423223,77,58
1536426823,40,63
1536430418,62,45
1536434032,71,51
1536437624,45,141
1536441225,76,32
1536444827,44,64
1536448424,89,62
1536452030,44,76
1536455623,96,44
1536459222,72,50
1536462824,102,43
1536466428,70,54
1536470023,34,53
1536473626,42,51
1536477219,35,59
1536480813,34,56
1536484425,58,45
1536488025,46,50
1536491624,61,47
1536495221,35,73
1536498815,36,51
1536502415,33,32
1536506015,84,33
1536509621,72,37
1536513220,46,70
1536516822,53,39
1536520423,46,54
1536524020,43,41
1536527632,62,39
1536531229,51,46
1536534827,37,68
1536538417,53,81
1536542023,48,60
1536545621,58,59
1536549222,68,43
1536552814,62,43
1536556419,55,86
1536560017,44,72
1536563619,82,66
1536567214,24,68
1536570812,71,49
1536574415,53,40
1536578014,33,79
1536581618,107,89
1536585205,40,83
1536588813,55,48
1536592408,66,73
1536596009,64,50
1536599609,71,63
1536603211,41,82
1536606794,25,41
1536610406,50,74
1536614008,50,54
1536617611,72,54
1536621212,74,93
1536624814,120,79
1536628407,55,71
1536632008,54,37
1536635613,69,42
1536639210,55,94
1536642808,77,74
1536646411,46,58
1536650004,53,76
1536653618,31,73
1536657194,40,80
1536660813,90,76
1536664396,38,144
1536668003,47,116
1536671598,50,80
1536675203,26,65
1536678798,48,53
1536682414,92,54
1536686027,96,54
1536689618,71,110
1536693221,70,62
1536696811,35,61
1536700418,56,80
1536704009,63,44
1536707593,72,42
1536711197,41,67
1536714793,59,80
1536718394,49,49
1536721991,42,44
1536725595,73,39
1536729198,67,33
1536732798,58,58
1536736396,46,65
1536739986,47,34
1536743595,28,57
1536747191,57,54
1536750798,55,44
1536754389,30,71
1536757989,54,83
1536761588,32,66
1536765184,67,53
1536768793,72,44
1536772393,56,65
1536775998,81,57
1536779600,61,66
1536783195,39,37
1536786792,42,63
1536790390,39,73
1536793991,58,54
1536797593,51,68
1536801200,59,56
1536804788,50,70
1536808386,36,79
1536811991,79,44
1536815576,76,53
1536819187,111,43
1536822796,71,63
1536826386,45,51
1536829990,32,61
1536833584,30,95
1536837200,62,48
1536840789,41,47
1536844388,36,102
1536847986,55,102
1536851580,36,84
1536855197,79,61
1536858791,84,74
1536862402,78,44
1536865991,69,50
1536869608,34,66
1536873213,67,42
1536876797,32,74
1536880403,53,48
1536884004,51,45
1536887588,25,60
1536891187,50,68
1536894797,33,67
1536898364,39,44
1536901986,64,44
1536905593,67,42
1536909172,59,48
1536912782,53,46
1536916377,40,52
1536919978,71,70
1536923577,83,43
1536927183,66,45
1536930792,56,61
1536934379,57,68
1536937981,39,79
1536941578,34,65
